"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"hsa-miR-590-3p",14.9358007486885,-1.54464082761083,0.602504961137914,-2.56369810581071,0.0103563580550799,0.0593654791892584
"hsa-miR-338-3p",0.16412894128279,-0.531588847795825,0.749348670924597,-0.709401201899664,0.478075542122278,NA
"hsa-miR-513a-1-5p",0,NA,NA,NA,NA,NA
"hsa-miR-6738-5p",0,NA,NA,NA,NA,NA
"hsa-let-7f-2-5p",11321.500734187,-0.407071422533498,0.361290118929664,-1.12671617961616,0.259862499456014,0.517104778411813
"hsa-miR-133a-1-3p",0.16412894128279,-0.531588847795825,0.749348670924597,-0.709401201899664,0.478075542122278,NA
"hsa-miR-4474-5p",0,NA,NA,NA,NA,NA
"hsa-miR-30c-2-3p",14.0983178682555,-0.033723492571633,0.629379442002005,-0.0535821323689273,0.957268092363279,0.984380260556574
"hsa-miR-5585-5p",0,NA,NA,NA,NA,NA
"hsa-miR-1254-1-5p",4.68523826831415,-0.776401990953314,0.763576406930203,-1.01679672643982,0.309250139736491,0.570908396066355
"hsa-miR-520e-3p",0,NA,NA,NA,NA,NA
"hsa-miR-6073-3p",0,NA,NA,NA,NA,NA
"hsa-miR-3198-2-3p",0,NA,NA,NA,NA,NA
"hsa-miR-6888-3p",0.2205196385971,-0.602525438399121,0.774265012966665,-0.778190191095542,0.436456898566243,NA
"hsa-miR-2467-5p",0,NA,NA,NA,NA,NA
"hsa-miR-590-5p",0.0735065461990333,-0.438297319682144,0.717772781221849,-0.610635191454376,0.541441119632025,NA
"hsa-miR-6811-5p",0.213641086489638,0.0740202083751613,0.786705730944358,0.0940888129622594,0.925038606920521,NA
"hsa-miR-4485-3p",6.96992646336594,0.159687308742348,0.774405882873723,0.206206218565603,0.836629830521035,0.937984145116816
"hsa-miR-4706-3p",0,NA,NA,NA,NA,NA
"hsa-miR-1273d-3p",2.35895011324684,-2.50274778196311,0.975017969543429,-2.56687349376245,0.0102620043568422,0.0593654791892584
"hsa-miR-215-3p",0,NA,NA,NA,NA,NA
"hsa-miR-3680-1-3p",0,NA,NA,NA,NA,NA
"hsa-miR-890-3p",0,NA,NA,NA,NA,NA
"hsa-miR-6764-5p",0,NA,NA,NA,NA,NA
"hsa-miR-548as-5p",0,NA,NA,NA,NA,NA
"hsa-miR-6824-3p",0,NA,NA,NA,NA,NA
"hsa-miR-3690-1-5p",0,NA,NA,NA,NA,NA
"hsa-miR-9-3-3p",3.31066970870569,0.18722862714058,0.938590625630647,0.199478475522574,0.841888479049063,0.937984145116816
"hsa-miR-6854-3p",0.16412894128279,-0.531588847795825,0.749348670924597,-0.709401201899664,0.478075542122278,NA
"hsa-miR-8485-3p",1.47716047154511,-1.59250909613647,0.985879650998786,-1.61531794932892,0.106241858557913,NA
"hsa-miR-7109-5p",0,NA,NA,NA,NA,NA
"hsa-miR-3127-3p",0.353810386034779,0.801387884589486,0.893963673938267,0.896443455089234,0.370015967355013,NA
"hsa-miR-510-5p",0,NA,NA,NA,NA,NA
"hsa-miR-7107-3p",0,NA,NA,NA,NA,NA
"hsa-miR-4510-5p",0.807679445168245,0.700655043356296,1.01244619101,0.692041759431511,0.488911104662459,NA
"hsa-miR-548a-3-3p",0,NA,NA,NA,NA,NA
"hsa-miR-3679-5p",0.76152216559356,0.456705654522879,1.02096367761915,0.447328014242291,0.654638242856832,NA
"hsa-miR-548m-5p",0,NA,NA,NA,NA,NA
"hsa-miR-195-5p",1.64018131127027,0.00100728496563527,1.01024615776031,0.000997068840992569,0.999204454297529,NA
"hsa-miR-5693-3p",0,NA,NA,NA,NA,NA
"hsa-miR-544b-5p",0,NA,NA,NA,NA,NA
"hsa-miR-548i-4-3p",0,NA,NA,NA,NA,NA
"hsa-miR-6894-5p",0,NA,NA,NA,NA,NA
"hsa-miR-6798-5p",0,NA,NA,NA,NA,NA
"hsa-miR-622-3p",0,NA,NA,NA,NA,NA
"hsa-miR-1270-5p",1.2950153602812,-1.69186741302418,1.02025804371013,-1.65827402533556,0.0972621692948191,NA
"hsa-miR-3176-3p",0.87171495409781,0.577791673070011,1.02190930511454,0.565404062942011,0.571798961685567,NA
"hsa-miR-588-5p",0,NA,NA,NA,NA,NA
"hsa-miR-3677-5p",0.350420761148079,0.386274501657724,0.935761531119058,0.412791602146528,0.679759304724321,NA
"hsa-miR-548ba-3p",0.16412894128279,-0.531588847795825,0.749348670924597,-0.709401201899664,0.478075542122278,NA
"hsa-miR-4636-5p",0,NA,NA,NA,NA,NA
"hsa-miR-136-3p",0.640011324656161,-0.850510452778892,0.861558864544945,-0.987176254321417,0.323556240546687,NA
"hsa-miR-6510-5p",0,NA,NA,NA,NA,NA
"hsa-miR-551b-5p",0.213675845744175,0.469595693748597,0.776951792837792,0.604407761301912,0.545572576956713,NA
"hsa-let-7a-2-3p",19.4024364985558,0.860926922935505,0.607761352677199,1.41655424311386,0.156613294486734,0.407493572079848
"hsa-miR-4663-5p",0,NA,NA,NA,NA,NA
"hsa-miR-422a-5p",16.6890271032783,0.346046395484745,0.51824922384377,0.667721975381217,0.504311079809656,0.754556693523902
"hsa-miR-4662b-5p",0,NA,NA,NA,NA,NA
"hsa-miR-1302-10-5p",0,NA,NA,NA,NA,NA
"hsa-miR-3175-5p",0,NA,NA,NA,NA,NA
"hsa-miR-3115-5p",0.287182391943208,0.234681645758387,0.837413706521094,0.280245766137906,0.779288956504014,NA
"hsa-miR-548i-3-3p",0,NA,NA,NA,NA,NA
"hsa-miR-7109-3p",0,NA,NA,NA,NA,NA
"hsa-miR-5194-3p",0,NA,NA,NA,NA,NA
"hsa-miR-1911-5p",0,NA,NA,NA,NA,NA
"hsa-miR-3122-5p",0,NA,NA,NA,NA,NA
"hsa-miR-4474-3p",0,NA,NA,NA,NA,NA
"hsa-miR-4536-1-3p",0,NA,NA,NA,NA,NA
"hsa-miR-6848-3p",0,NA,NA,NA,NA,NA
"hsa-miR-4795-5p",0,NA,NA,NA,NA,NA
"hsa-miR-3653-5p",1.50869120602538,-1.0448547446482,1.01838874553013,-1.02598811036968,0.304897188417212,NA
"hsa-miR-1287-3p",0,NA,NA,NA,NA,NA
"hsa-miR-3135b-3p",0.548777521162679,-1.35410625330547,0.967648400387441,-1.39937838244066,0.161699545920886,NA
"hsa-miR-3670-4-3p",0,NA,NA,NA,NA,NA
"hsa-miR-4327-5p",0,NA,NA,NA,NA,NA
"hsa-miR-1227-3p",0.353775626780242,0.32607024458208,0.866127852899674,0.3764689514261,0.706568293749551,NA
"hsa-miR-7854-5p",2.12714728676222,0.850300667782022,0.945625442797774,0.899193940114683,0.368549367572531,0.630845233212848
"hsa-miR-548au-3p",0,NA,NA,NA,NA,NA
"hsa-miR-4734-3p",0.280269080581209,0.511210663219384,0.786043694326416,0.650359091879053,0.515460295181678,NA
"hsa-miR-5188-3p",0,NA,NA,NA,NA,NA
"hsa-miR-1255b-2-5p",0.287147632688671,-0.0971263723210527,0.837820863876,-0.115927373629392,0.907710100936446,NA
"hsa-miR-448-3p",0.106837922872087,0.334950830192297,0.740452779992826,0.452359474152481,0.651010036928479,NA
"hsa-miR-3116-1-5p",0,NA,NA,NA,NA,NA
"hsa-miR-20a-5p",1455.02381200432,-0.974731149265905,0.357195740767439,-2.72884314681828,0.00635569267540846,0.0428555277541827
"hsa-miR-2909-3p",0,NA,NA,NA,NA,NA
"hsa-miR-6134-3p",0.310210832367562,0.687514276414436,0.864254979044336,0.795499352719571,0.426323087330479,NA
"hsa-miR-1255a-5p",2.46396427178451,0.10852838645198,0.915841109614206,0.118501326608605,0.905670444021891,0.960451485175227
"hsa-miR-320b-1-3p",507.298367907381,0.659955239734495,0.664157388418389,0.993672962527901,0.320382109908202,0.578876873134118
"hsa-miR-5000-5p",0.420403620871813,0.630436216381752,0.820369858785587,0.768478034182047,0.442203235711062,NA
"hsa-miR-1343-3p",1.11377057011369,-1.55687570410072,1.02169041567817,-1.52382334238431,0.127552846881337,NA
"hsa-miR-3158-2-5p",0,NA,NA,NA,NA,NA
