,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
hsa-miR-363-3p,37.90834785,-3.17149123,0.474583055,-6.682689569,2.35E-11,3.45E-08
hsa-miR-574-5p,95.44792164,1.864740302,0.417261783,4.46899375,7.86E-06,0.00577232
hsa-miR-7641-2-3p,389.0279396,-1.311925681,0.412862785,-3.177631234,0.001484835,0.727074081
hsa-let-7f-2-5p,27287.43179,-0.484992583,0.440005315,-1.102242555,0.270356236,0.924750891
hsa-miR-30c-2-3p,39.4715563,-0.345951541,0.504066082,-0.6863218,0.492510205,0.924750891
hsa-miR-5585-5p,0.240886341,-0.171588316,0.265458994,-0.646383509,0.518031018,0.924750891
hsa-miR-6888-3p,1.166649329,0.454579187,0.503082005,0.903588643,0.366213565,0.924750891
hsa-miR-590-5p,0.833872531,-0.31396166,0.410634129,-0.764577608,0.444523107,0.924750891
hsa-miR-6824-3p,0.12939383,-0.145686206,0.250724888,-0.58106001,0.56120001,0.924750891
hsa-miR-8485-3p,2.266192123,0.25407473,0.309444714,0.821066635,0.411608314,0.924750891
hsa-miR-7109-5p,0.193483721,0.170357244,0.260139049,0.654869944,0.512551493,0.924750891
hsa-miR-3127-3p,0.622049078,-0.472121794,0.403824995,-1.169124744,0.242353376,0.924750891
hsa-miR-548a-3-3p,1.361820686,-0.967330938,0.507525952,-1.905973347,0.056653664,0.924750891
hsa-miR-195-5p,9.654645893,-1.015373812,0.562370392,-1.805525018,0.070992564,0.924750891
hsa-miR-548i-4-3p,0.123163812,-0.143399418,0.249800407,-0.574055982,0.565929919,0.924750891
hsa-miR-6894-5p,0.123163812,-0.143399418,0.249800407,-0.574055982,0.565929919,0.924750891
hsa-miR-622-3p,0.123163812,-0.143399418,0.249800407,-0.574055982,0.565929919,0.924750891
hsa-miR-1270-5p,1.944456994,0.89164383,0.521924348,1.708377532,0.087566314,0.924750891
hsa-miR-588-5p,0.240886341,-0.171588316,0.265458994,-0.646383509,0.518031018,0.924750891
hsa-miR-3677-5p,0.851773849,-0.403643212,0.448956068,-0.899070624,0.368615044,0.924750891
hsa-miR-4636-5p,0.370280171,-0.292869356,0.335363262,-0.873289919,0.382505074,0.924750891
hsa-let-7a-2-3p,27.30961805,0.361763183,0.441324578,0.819721359,0.412374971,0.924750891
hsa-miR-422a-5p,15.18217745,0.43107736,0.459081215,0.939000217,0.347730633,0.924750891
hsa-miR-3115-5p,0.111213508,0.147116964,0.248279987,0.592544593,0.553485969,0.924750891
