"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"hsa-miR-363-3p",25.87496142,-2.746897722,0.431024038,-6.372957137,1.85e-10,6.79e-08
"hsa-miR-146a-5p",31.88480704,-1.259887303,0.431916235,-2.916971397,0.003534482,0.323405088
"hsa-miR-629-5p",45.47456319,0.989833031,0.381412941,2.595174215,0.009454298,0.432534152
"hsa-miR-582-3p",24.18222225,0.959147084,0.408467818,2.34815827,0.018866503,0.451178835
"hsa-miR-20b-5p",14.15144377,-1.059393799,0.443781021,-2.387199429,0.016977279,0.451178835
"hsa-miR-149-5p",47.39652757,0.807859134,0.371650055,2.173709173,0.029726983,0.485469491
"hsa-miR-221-5p",348.9340566,0.860678092,0.381662516,2.255076295,0.02412854,0.485469491
"hsa-miR-221-3p",4142.281674,0.844011348,0.390414378,2.161834693,0.03063092,0.485469491
"hsa-miR-17-5p",1073.718791,-0.901346416,0.402902714,-2.237131654,0.025277737,0.485469491
"hsa-miR-125b-2-3p",29.80983847,-0.937120413,0.435331059,-2.152661508,0.031345291,0.485469491
"hsa-miR-19a-3p",275.8208438,-0.872670417,0.418939681,-2.083045502,0.037247076,0.504904811
"hsa-miR-574-3p",34.89511906,0.899003336,0.428813157,2.096491959,0.036038572,0.504904811
"hsa-miR-148a-5p",158.580803,-0.737070674,0.384936802,-1.914783597,0.055520107,0.597657624
"hsa-miR-222-3p",3753.70644,0.727026379,0.395057776,1.840303933,0.065723628,0.62595285
"hsa-miR-10b-5p",2932.346021,-0.75036838,0.412602903,-1.818621181,0.068969244,0.631068583
"hsa-miR-205-5p",10467.49629,-0.64581982,0.36239035,-1.782110974,0.074731137,0.646262904
"hsa-miR-31-5p",857.8042174,-0.703414418,0.421896908,-1.667266112,0.095461502,0.713038974
"hsa-miR-148a-3p",16273.80234,-0.59429874,0.367268992,-1.618156592,0.105628855,0.755636781
"hsa-miR-503-5p",198.8250952,-0.53713508,0.379589249,-1.415042921,0.157055912,0.958041064
"hsa-miR-183-5p",1950.501402,0.492477488,0.372341449,1.322650187,0.185951736,0.998209757
"hsa-let-7d-3p",119.2043875,-0.052142413,0.361078296,-0.144407497,0.885178697,0.999793736
"hsa-miR-93-5p",844.6032142,-0.104167842,0.372435232,-0.279693845,0.779712401,0.999793736
"hsa-miR-502-3p",35.23329224,-0.397981905,0.400732843,-0.993135231,0.320644057,0.999793736
"hsa-miR-500a-3p",57.86262581,-0.261411363,0.379163027,-0.689443179,0.490544419,0.999793736
"hsa-let-7i-5p",6169.961007,-0.162491375,0.413507047,-0.392959144,0.694349658,0.999793736
"hsa-miR-1307-3p",421.8262955,0.095754542,0.353383627,0.27096485,0.786418067,0.999793736
"hsa-miR-27a-5p",98.06854844,0.127903755,0.37721483,0.339074037,0.734553956,0.999793736
"hsa-miR-361-5p",77.91226255,-0.085911346,0.383560533,-0.2239838,0.822769909,0.999793736
"hsa-miR-4664-3p",16.62073848,-0.372704863,0.44399041,-0.839443497,0.401220484,0.999793736
"hsa-let-7e-5p",1247.593738,-0.049286803,0.398993671,-0.123527782,0.901689176,0.999793736
"hsa-miR-532-5p",1049.470307,-0.118930557,0.368170808,-0.323030928,0.74667182,0.999793736
"hsa-miR-186-5p",416.3900197,0.041339864,0.374327585,0.110437664,0.912062284,0.999793736
"hsa-miR-98-5p",713.3593173,-0.257384257,0.376228365,-0.684117097,0.493901227,0.999793736
"hsa-miR-185-5p",182.8049113,-0.333923796,0.41134803,-0.81177925,0.416918311,0.999793736
