,Cell,Exo,
hsa-let-7b-5p,0.203684062,0.731740817,0.528056755
hsa-let-7d-3p,-0.052142413,-0.971783086,-0.919640673
hsa-let-7d-5p,-0.0327598,-7.873329477,-7.840569677
hsa-let-7e-5p,-0.049286803,-14.61509658,-14.56580978
hsa-let-7g-5p,-0.173981697,-1.164081915,-0.990100218
hsa-let-7i-5p,-0.162491375,-1.636292406,-1.473801031
hsa-miR-106b-3p,0.093508611,6.192403232,6.098894621
hsa-miR-10a-3p,0.170399737,-2.22350041,-2.393900147
hsa-miR-10b-5p,-0.75036838,1.549092698,2.299461078
hsa-miR-125a-3p,0.137076375,3.694364189,3.557287814
hsa-miR-125a-5p,-0.136954677,3.544569449,3.681524126
hsa-miR-125b-2-3p,-0.937120413,0.660567967,1.59768838
hsa-miR-1307-3p,0.095754542,-1.672537267,-1.768291809
hsa-miR-140-3p,-0.431024147,-1.71868184,-1.287657693
hsa-miR-146a-5p,-1.259887303,1.216898053,2.476785356
hsa-miR-148a-3p,-0.59429874,2.629257957,3.223556697
hsa-miR-148a-5p,-0.737070674,0.604866815,1.341937489
hsa-miR-148b-3p,0.079437663,-5.468865442,-5.548303105
hsa-miR-149-5p,0.807859134,1.19129574,0.383436606
hsa-miR-151a-3p,0.306078209,-0.726278593,-1.032356802
hsa-miR-15b-5p,-0.312056126,-0.069282066,0.24277406
hsa-miR-16-2-3p,0.093049562,-8.360914305,-8.453963867
hsa-miR-17-5p,-0.901346416,0.367177769,1.268524185
hsa-miR-181a-2-3p,0.198692766,0.625440838,0.426748072
hsa-miR-182-5p,0.362231315,1.47118207,1.108950755
hsa-miR-183-5p,0.492477488,0.668632857,0.176155369
hsa-miR-185-5p,-0.333923796,-1.657631339,-1.323707543
hsa-miR-186-5p,0.041339864,-10.75345405,-10.79479391
hsa-miR-191-5p,-0.00051296,-115.2377515,-115.2372385
hsa-miR-196b-5p,0.120255855,5.366879426,5.246623571
hsa-miR-19a-3p,-0.872670417,1.607100569,2.479770986
hsa-miR-200a-3p,-0.140930595,8.679144546,8.820075141
hsa-miR-200a-5p,0.140848299,0.570943672,0.430095373
hsa-miR-200b-3p,0.136640797,0.722754757,0.58611396
hsa-miR-205-5p,-0.64581982,-0.069255676,0.576564144
hsa-miR-20b-5p,-1.059393799,1.845505087,2.904898886
hsa-miR-221-3p,0.844011348,0.692245875,-0.151765473
hsa-miR-221-5p,0.860678092,0.502813098,-0.357864994
hsa-miR-222-3p,0.727026379,1.533390614,0.806364235
hsa-miR-22-3p,0.140531931,-3.476790972,-3.617322903
hsa-miR-25-3p,0.336213799,0.063211073,-0.273002726
hsa-miR-26b-5p,0.277807066,1.835717523,1.557910457
hsa-miR-27a-3p,0.136160779,-1.856733516,-1.992894295
hsa-miR-27a-5p,0.127903755,6.028795894,5.900892139
hsa-miR-28-3p,0.018950862,19.13575952,19.11680866
hsa-miR-30a-3p,0.084924834,0.336800917,0.251876083
hsa-miR-30a-5p,-0.19898583,4.759548999,4.958534829
hsa-miR-30b-5p,-0.220798023,-0.827025367,-0.606227344
hsa-miR-30e-3p,0.074395044,7.020143156,6.945748112
hsa-miR-30e-5p,0.21105169,-2.307813219,-2.518864909
hsa-miR-31-5p,-0.703414418,-0.203148867,0.500265551
hsa-miR-32-5p,-0.002677832,169.034082,169.0367598
hsa-miR-339-5p,-0.157641983,-3.654378117,-3.496736134
hsa-miR-340-5p,-0.124281165,3.431943215,3.55622438
hsa-miR-361-5p,-0.085911346,-6.783533912,-6.697622566
hsa-miR-362-5p,0.158887343,0.437772013,0.27888467
hsa-miR-363-3p,-2.746897722,0.991486767,3.738384489
hsa-miR-374a-3p,-0.323958521,0.653478147,0.977436668
hsa-miR-374a-5p,0.130311922,1.763426565,1.633114643
hsa-miR-450b-5p,-0.500889223,1.199557538,1.700446761
hsa-miR-4664-3p,-0.372704863,-0.606558871,-0.233854008
hsa-miR-500a-3p,-0.261411363,0.728205602,0.989616965
hsa-miR-502-3p,-0.397981905,0.65247715,1.050459055
hsa-miR-503-5p,-0.53713508,0.346505829,0.883640909
hsa-miR-532-5p,-0.118930557,1.920049378,2.038979935
hsa-miR-542-3p,-0.477815532,0.950367834,1.428183366
hsa-miR-574-3p,0.899003336,1.783785949,0.884782613
hsa-miR-582-3p,0.959147084,0.862211907,-0.096935177
hsa-miR-589-5p,0.23734779,1.036721353,0.799373563
hsa-miR-629-5p,0.989833031,0.615043953,-0.374789078
hsa-miR-671-5p,0.443387658,1.363358982,0.919971324
hsa-miR-769-5p,0.009346857,41.00372799,40.99438113
hsa-miR-877-5p,0.132697299,7.492004182,7.359306883
hsa-miR-92b-3p,-0.071180661,-1.19022841,-1.119047749
hsa-miR-93-5p,-0.104167842,-0.65214899,-0.547981148
hsa-miR-98-5p,-0.257384257,2.890740412,3.148124669
hsa-miR-99a-5p,0.18144246,-1.153256266,-1.334698726
hsa-miR-99b-3p,-0.158974908,0.764807324,0.923782232
