Row Labels,Sum of FoldChange
hsa-let-7b-5p,0.731740817
hsa-let-7d-3p,-0.971783086
hsa-let-7d-5p,-7.873329477
hsa-let-7e-5p,-14.61509658
hsa-let-7g-5p,-1.164081915
hsa-let-7i-5p,-1.636292406
hsa-miR-106b-3p,6.192403232
hsa-miR-10a-3p,-2.22350041
hsa-miR-10b-5p,1.549092698
hsa-miR-125a-3p,3.694364189
hsa-miR-125a-5p,3.544569449
hsa-miR-125b-2-3p,0.660567967
hsa-miR-1307-3p,-1.672537267
hsa-miR-140-3p,-1.71868184
hsa-miR-146a-5p,1.216898053
hsa-miR-148a-3p,2.629257957
hsa-miR-148a-5p,0.604866815
hsa-miR-148b-3p,-5.468865442
hsa-miR-149-5p,1.19129574
hsa-miR-151a-3p,-0.726278593
hsa-miR-15b-5p,-0.069282066
hsa-miR-16-2-3p,-8.360914305
hsa-miR-17-5p,0.367177769
hsa-miR-181a-2-3p,0.625440838
hsa-miR-182-5p,1.47118207
hsa-miR-183-5p,0.668632857
hsa-miR-185-5p,-1.657631339
hsa-miR-186-5p,-10.75345405
hsa-miR-191-5p,-115.2377515
hsa-miR-196b-5p,5.366879426
hsa-miR-19a-3p,1.607100569
hsa-miR-200a-3p,8.679144546
hsa-miR-200a-5p,0.570943672
hsa-miR-200b-3p,0.722754757
hsa-miR-205-5p,-0.069255676
hsa-miR-20b-5p,1.845505087
hsa-miR-221-3p,0.692245875
hsa-miR-221-5p,0.502813098
hsa-miR-222-3p,1.533390614
hsa-miR-22-3p,-3.476790972
hsa-miR-25-3p,0.063211073
hsa-miR-26b-5p,1.835717523
hsa-miR-27a-3p,-1.856733516
hsa-miR-27a-5p,6.028795894
hsa-miR-28-3p,19.13575952
hsa-miR-30a-3p,0.336800917
hsa-miR-30a-5p,4.759548999
hsa-miR-30b-5p,-0.827025367
hsa-miR-30e-3p,7.020143156
hsa-miR-30e-5p,-2.307813219
hsa-miR-31-5p,-0.203148867
hsa-miR-32-5p,169.034082
hsa-miR-339-5p,-3.654378117
hsa-miR-340-5p,3.431943215
hsa-miR-361-5p,-6.783533912
hsa-miR-362-5p,0.437772013
hsa-miR-363-3p,0.991486767
hsa-miR-374a-3p,0.653478147
hsa-miR-374a-5p,1.763426565
hsa-miR-450b-5p,1.199557538
hsa-miR-4664-3p,-0.606558871
hsa-miR-500a-3p,0.728205602
hsa-miR-502-3p,0.65247715
hsa-miR-503-5p,0.346505829
hsa-miR-532-5p,1.920049378
hsa-miR-542-3p,0.950367834
hsa-miR-574-3p,1.783785949
hsa-miR-582-3p,0.862211907
hsa-miR-589-5p,1.036721353
hsa-miR-629-5p,0.615043953
hsa-miR-671-5p,1.363358982
hsa-miR-769-5p,41.00372799
hsa-miR-877-5p,7.492004182
hsa-miR-92b-3p,-1.19022841
hsa-miR-93-5p,-0.65214899
hsa-miR-98-5p,2.890740412
hsa-miR-99a-5p,-1.153256266
hsa-miR-99b-3p,0.764807324
Grand Total,128.8396469
