,FCval.cut,Freq,,,
1,"[-15,-14.95)",0,,-15,0
2,"[-14.95,-14.9)",0,,-14.95,0
3,"[-14.9,-14.85)",0,,-14.9,0
4,"[-14.85,-14.8)",0,,-14.85,0
5,"[-14.8,-14.75)",0,,-14.8,0
6,"[-14.75,-14.7)",0,,-14.75,0
7,"[-14.7,-14.65)",0,,-14.7,0
8,"[-14.65,-14.6)",1,,-14.65,1
9,"[-14.6,-14.55)",0,,-14.6,0
10,"[-14.55,-14.5)",0,,-14.55,0
11,"[-14.5,-14.45)",0,,-14.5,0
12,"[-14.45,-14.4)",0,,-14.45,0
13,"[-14.4,-14.35)",0,,-14.4,0
14,"[-14.35,-14.3)",0,,-14.35,0
15,"[-14.3,-14.25)",0,,-14.3,0
16,"[-14.25,-14.2)",0,,-14.25,0
17,"[-14.2,-14.15)",0,,-14.2,0
18,"[-14.15,-14.1)",0,,-14.15,0
19,"[-14.1,-14.05)",0,,-14.1,0
20,"[-14.05,-14)",0,,-14.05,0
21,"[-14,-13.95)",0,,-14,0
22,"[-13.95,-13.9)",0,,-13.95,0
23,"[-13.9,-13.85)",0,,-13.9,0
24,"[-13.85,-13.8)",0,,-13.85,0
25,"[-13.8,-13.75)",0,,-13.8,0
26,"[-13.75,-13.7)",0,,-13.75,0
27,"[-13.7,-13.65)",0,,-13.7,0
28,"[-13.65,-13.6)",0,,-13.65,0
29,"[-13.6,-13.55)",0,,-13.6,0
30,"[-13.55,-13.5)",0,,-13.55,0
31,"[-13.5,-13.45)",0,,-13.5,0
32,"[-13.45,-13.4)",0,,-13.45,0
33,"[-13.4,-13.35)",0,,-13.4,0
34,"[-13.35,-13.3)",0,,-13.35,0
35,"[-13.3,-13.25)",0,,-13.3,0
36,"[-13.25,-13.2)",0,,-13.25,0
37,"[-13.2,-13.15)",0,,-13.2,0
38,"[-13.15,-13.1)",0,,-13.15,0
39,"[-13.1,-13.05)",0,,-13.1,0
40,"[-13.05,-13)",0,,-13.05,0
41,"[-13,-12.95)",0,,-13,0
42,"[-12.95,-12.9)",0,,-12.95,0
43,"[-12.9,-12.85)",0,,-12.9,0
44,"[-12.85,-12.8)",0,,-12.85,0
45,"[-12.8,-12.75)",0,,-12.8,0
46,"[-12.75,-12.7)",0,,-12.75,0
47,"[-12.7,-12.65)",0,,-12.7,0
48,"[-12.65,-12.6)",0,,-12.65,0
49,"[-12.6,-12.55)",0,,-12.6,0
50,"[-12.55,-12.5)",0,,-12.55,0
51,"[-12.5,-12.45)",0,,-12.5,0
52,"[-12.45,-12.4)",0,,-12.45,0
53,"[-12.4,-12.35)",0,,-12.4,0
54,"[-12.35,-12.3)",0,,-12.35,0
55,"[-12.3,-12.25)",0,,-12.3,0
