,fcval.cut,Freq,
1,"[-15,-14)",1,-15
2,"[-14,-13)",0,-14
3,"[-13,-12)",0,-13
4,"[-12,-11)",0,-12
5,"[-11,-10)",1,-11
6,"[-10,-9)",0,-10
7,"[-9,-8)",1,-9
8,"[-8,-7)",1,-8
9,"[-7,-6)",1,-7
10,"[-6,-5)",1,-6
11,"[-5,-4)",0,-5
12,"[-4,-3)",2,-4
13,"[-3,-2)",2,-3
14,"[-2,-1)",8,-2
15,"[-1,0)",8,-1
16,"[0,1)",22,0
17,"[1,2)",14,1
18,"[2,3)",2,2
19,"[3,4)",3,3
20,"[4,5)",1,4
21,"[5,6)",1,5
22,"[6,7)",2,6
23,"[7,8)",2,7
24,"[8,9)",1,8
25,"[9,10)",0,9
26,"[10,11)",0,10
27,"[11,12)",0,11
28,"[12,13)",0,12
29,"[13,14)",0,13
30,"[14,15)",0,14
