"","Name"
"1",">hsa-miR-576-3p MIMAT0004796"
"2",">hsa-miR-140-5p MIMAT0000431"
"3",">hsa-miR-522-5p MIMAT0005451"
"4",">hsa-miR-1298-5p MIMAT0005800"
"5",">hsa-miR-133a-3p MIMAT0000427"
"6",">hsa-miR-4743-3p MIMAT0022978"
"7",">hsa-miR-557 MIMAT0003221"
"8",">hsa-miR-548ao-3p MIMAT0021030"
"9",">hsa-miR-5088-5p MIMAT0021080"
"10",">hsa-miR-4649-5p MIMAT0019711"
"11",">hsa-miR-665 MIMAT0004952"
"12",">hsa-miR-3622b-3p MIMAT0018006"
"13",">hsa-miR-4493 MIMAT0019028"
"14",">hsa-miR-1250-5p MIMAT0005902"
"15",">hsa-miR-3622a-5p MIMAT0018003"
"16",">hsa-miR-381-3p MIMAT0000736"
"17",">hsa-miR-4709-3p MIMAT0019812"
"18",">hsa-miR-7159-5p MIMAT0028228"
"19",">hsa-miR-6738-5p MIMAT0027377"
"20",">hsa-miR-374b-3p MIMAT0004956"
"21",">hsa-miR-6874-3p MIMAT0027649"
"22",">hsa-miR-448 MIMAT0001532"
"23",">hsa-miR-548s MIMAT0014987"
"24",">hsa-miR-515-5p MIMAT0002826"
"25",">hsa-miR-6891-5p MIMAT0027682"
"26",">hsa-miR-3940-5p MIMAT0019229"
"27",">hsa-miR-431-3p MIMAT0004757"
"28",">hsa-miR-6832-5p MIMAT0027564"
"29",">hsa-miR-103a-2-5p MIMAT0009196"
"30",">hsa-miR-6877-5p MIMAT0027654"
"31",">hsa-miR-1298-3p MIMAT0026641"
"32",">hsa-miR-3682-5p MIMAT0019222"
"33",">hsa-miR-3155a MIMAT0015029"
"34",">hsa-miR-5089-5p MIMAT0021081"
"35",">hsa-miR-648 MIMAT0003318"
"36",">hsa-miR-367-5p MIMAT0004686"
"37",">hsa-miR-6740-5p MIMAT0027381"
"38",">hsa-miR-450a-2-3p MIMAT0031074"
"39",">hsa-miR-6793-3p MIMAT0027487"
"40",">hsa-miR-3622a-3p MIMAT0018004"
"41",">hsa-miR-541-5p MIMAT0004919"
"42",">hsa-miR-6515-3p MIMAT0025487"
"43",">hsa-miR-1276 MIMAT0005930"
"44",">hsa-miR-6499-3p MIMAT0025451"
"45",">hsa-miR-2276-3p MIMAT0011775"
