"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"hsa-miR-147b",17.1177736633526,-0.742888119545456,0.74504239574636,-0.997108518638398,0.318711838576132,0.664746948833299
"hsa-miR-20b-5p",3.11968871415273,-1.73648599285922,1.0377399864865,-1.67333437611716,0.0942614887304354,0.529637195087348
"hsa-miR-215",29.9235755647439,-0.647212922162105,0.707639434430437,-0.914608331124214,0.360397283499471,0.688031177589899
"hsa-miR-363-3p",22.0384949742151,-3.32132639513771,0.688907881885981,-4.82114732966201,1.42734886861982e-06,0.000119897304964065
"hsa-miR-4664-3p",65.9889778033914,-2.31559787342697,0.825988921727032,-2.80342485536654,NA,NA
"hsa-miR-125b-2-3p",28.0545116053488,-1.36457144071536,0.668817753224407,-2.0402739522638,0.0413230476619929,0.529637195087348
"hsa-miR-651",38.4608630036866,1.05073802623548,0.68506414594399,1.53378049698924,0.125083662551641,0.529637195087348
"hsa-miR-582-3p",92.7143918236629,-2.6702522618311,0.907350579788632,-2.94291128623419,NA,NA
"hsa-miR-181a-2-3p",32.8895425749184,-1.06083509817287,0.711349891638726,-1.49129860093046,0.135883116104086,0.529637195087348
"hsa-miR-500a-3p",49.378074270087,-0.734161060667378,0.61254201980678,-1.19854807821831,0.23070371768727,0.602869949812901
"hsa-miR-671-5p",5.73585031280384,0.767953448031573,0.909769208573067,0.844118970827858,0.398602927757558,0.702072245169764
"hsa-miR-450b-5p",101.438156992456,-0.756613082117289,0.646594565892587,-1.17015069725003,0.24194032953314,0.602869949812901
"hsa-miR-196a-5p",70.7401898739239,0.138404841496658,0.769863551273944,0.179778405235097,0.857326537509752,0.96592150572208
"hsa-miR-149-5p",22.9045259757182,1.21008097493744,0.699773817058914,1.72924585835936,0.0837651020496903,0.529637195087348
"hsa-miR-19a-3p",50.8391832114669,-1.03165443022425,0.724842110952648,-1.42328158730784,0.154654542430688,0.529637195087348
"hsa-miR-374a-3p",61.6601542258578,0.0480395534664324,0.630682392552932,0.0761707541445285,0.939283249885562,0.96592150572208
"hsa-miR-502-3p",36.3492449554172,0.0892344363812539,0.665871018840024,0.134011593621696,0.8933934067486,0.96592150572208
"hsa-miR-542-3p",114.286017673101,-1.29705144479719,0.660983295458354,-1.96230593679037,0.0497268764419679,0.529637195087348
"hsa-miR-128",800.986793559828,0.294107197774657,1.08760806638216,0.270416528587343,0.786839825641796,0.96592150572208
