,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
hsa-let-7d-5p,5.448221933,-1.766495493,0.599084479,-2.948658421,0.003191565,0.998458272
hsa-miR-374a-3p,8.592267126,-1.372814106,0.571526534,-2.402012899,0.016305133,0.998458272
hsa-miR-6131-3p,143.2514839,1.379939409,0.592166006,2.330325272,0.019788966,0.998458272
hsa-miR-378b-3p,8.420282614,-1.361512104,0.602553563,-2.259570246,0.023847936,0.998458272
hsa-miR-30e-3p,31.44056939,-1.121315774,0.510015323,-2.198592324,0.027906923,0.998458272
hsa-miR-151a-5p,20.55909768,-1.182149098,0.544704826,-2.170256332,0.029987433,0.998458272
hsa-miR-16-2-5p,92.43162348,1.08701797,0.503007038,2.161039285,0.030692305,0.998458272
hsa-miR-4488-5p,2.184096341,-1.250086343,0.606969574,-2.059553555,0.03944124,0.998458272
hsa-miR-451a-5p,3.541079455,-1.174627514,0.603331578,-1.946902095,0.051546473,0.998458272
hsa-miR-3613-5p,28.23216159,-1.025191182,0.528926778,-1.938247834,0.052592993,0.998458272
hsa-miR-1291-5p,2.174517584,1.149382013,0.596425098,1.927118789,0.053964828,0.998458272
hsa-miR-181a-1-3p,5.893117532,-1.110827725,0.593817495,-1.870655098,0.061392902,0.998458272
hsa-miR-6516-3p,3.664811949,1.128910182,0.605496831,1.864436153,0.06226048,0.998458272
hsa-miR-4791-5p,23.37189436,1.081578721,0.605006831,1.787713237,0.073822285,0.998458272
hsa-miR-499a-5p,6.101882404,1.041678088,0.598678721,1.739961771,0.081865731,0.998458272
hsa-miR-362-5p,7.642130739,-0.969753035,0.565701711,-1.714248014,0.086483186,0.998458272
hsa-miR-143-3p,36.66047789,-0.880745053,0.519626555,-1.694957745,0.090083437,0.998458272
hsa-miR-16-1-5p,69.6543611,0.882314555,0.523559486,1.685223131,0.09194553,0.998458272
hsa-miR-8485-3p,9.852584083,1.014047523,0.602316143,1.683580186,0.092262831,0.998458272
hsa-miR-140-5p,26.13855583,0.848903687,0.508774466,1.668526516,0.095211253,0.998458272
hsa-miR-708-3p,17.71277977,-0.912978388,0.555428139,-1.64373809,0.100230314,0.998458272
hsa-miR-450a-2-5p,19.17631,-0.860787015,0.524412717,-1.641430473,0.100708089,0.998458272
hsa-miR-450a-1-5p,19.17631,-0.860787015,0.524412717,-1.641430473,0.100708089,0.998458272
hsa-miR-1285-1-5p,68.08398838,0.985072921,0.601684354,1.637192183,0.10159032,0.998458272
hsa-miR-148a-3p,9465.298056,-0.850134615,0.522467653,-1.627152627,0.103704686,0.998458272
hsa-miR-320e-3p,39.17868347,0.785878118,0.486059606,1.616834866,0.105913931,0.998458272
hsa-miR-1180-3p,128.9829707,-0.864157613,0.534750327,-1.616002027,0.106093875,0.998458272
hsa-miR-5096-5p,153.9995185,0.967518869,0.602286952,1.606408484,0.108184188,0.998458272
hsa-miR-548ad-5p,5.51630647,0.932205641,0.591283257,1.576580481,0.114892087,0.998458272
hsa-let-7e-5p,26.15690404,-0.798814774,0.507851526,-1.57292975,0.115735086,0.998458272
hsa-miR-1296-5p,6.796197847,-0.920429087,0.586848383,-1.568427405,0.11678142,0.998458272
hsa-miR-548d-1-5p,8.869272534,0.912469991,0.587905828,1.552068286,0.120645885,0.998458272
hsa-miR-548d-2-5p,8.869272534,0.912469991,0.587905828,1.552068286,0.120645885,0.998458272
hsa-miR-144-3p,1.999587959,-0.922397673,0.594803312,-1.550760822,0.120959013,0.998458272
hsa-miR-215-5p,19.07001656,0.846167721,0.549735931,1.539225788,0.123749184,0.998458272
hsa-miR-3135b-3p,5.089134588,0.935209152,0.607741136,1.538828122,0.123846262,0.998458272
hsa-miR-218-1-3p,2.01481108,0.930152455,0.607803872,1.530349669,0.1259302,0.998458272
