,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
hsa-miR-378b-3p,12.50486307,1.856618769,0.612245188,3.032475884,0.002425565,0.806739858
hsa-miR-3182-5p,1100.304884,-1.64437475,0.566375415,-2.90333003,0.003692173,0.806739858
hsa-miR-215-5p,36.5031375,-1.334455906,0.528399641,-2.525467095,0.01155446,0.989993056
hsa-let-7f-2-3p,5.030752264,1.445420714,0.612436883,2.360113761,0.018269332,0.989993056
hsa-miR-1291-5p,4.005408171,-1.323601718,0.612473634,-2.161075422,0.030689514,0.989993056
hsa-miR-4791-5p,32.55702461,-1.207010058,0.566000709,-2.132523934,0.032963799,0.989993056
hsa-miR-6723-3p,3.563768089,-1.178549507,0.598608583,-1.968814917,0.048974349,0.989993056
hsa-miR-346-5p,5.020399077,1.159540423,0.607112359,1.909927224,0.056142584,0.989993056
hsa-miR-30b-5p,28.80453324,-0.960091355,0.513086131,-1.871208938,0.061316126,0.989993056
hsa-miR-6131-3p,152.3715346,-1.060944933,0.576746536,-1.839534124,0.065836664,0.989993056
hsa-miR-129-2-5p,21.53809034,1.018999486,0.564482097,1.80519363,0.071044387,0.989993056
hsa-miR-129-1-5p,21.53809034,1.018999486,0.564482097,1.80519363,0.071044387,0.989993056
hsa-miR-548h-1-5p,7.914604167,1.052472604,0.591319533,1.779871195,0.075097043,0.989993056
hsa-miR-548h-4-5p,7.914604167,1.052472604,0.591319533,1.779871195,0.075097043,0.989993056
hsa-miR-548h-5-5p,7.914604167,1.052472604,0.591319533,1.779871195,0.075097043,0.989993056
hsa-miR-548h-3-5p,7.914604167,1.052472604,0.591319533,1.779871195,0.075097043,0.989993056
hsa-miR-548h-2-5p,7.914604167,1.052472604,0.591319533,1.779871195,0.075097043,0.989993056
hsa-miR-193b-5p,3.85891086,1.08734951,0.611977869,1.776779138,0.075604586,0.989993056
hsa-miR-1273c-3p,4.655421348,1.041431765,0.602638011,1.728121602,0.083966425,0.989993056
hsa-miR-200a-3p,164.5621956,-1.043537886,0.610839721,-1.708366122,0.087568429,0.989993056
hsa-miR-122-5p,205.3148098,0.939979909,0.559537819,1.679922029,0.092972487,0.989993056
hsa-let-7f-2-5p,607.9777326,-0.80394295,0.489375833,-1.642792505,0.100425871,0.989993056
hsa-let-7f-1-5p,598.8629915,-0.79840795,0.488696288,-1.633750797,0.102311187,0.989993056
hsa-miR-320b-1-3p,389.8740346,0.892031744,0.549035285,1.624725712,0.104221016,0.989993056
hsa-miR-1250-5p,21.12422704,0.87366106,0.538452094,1.622541855,0.104687379,0.989993056
hsa-miR-5096-5p,185.9036131,-0.986903375,0.61173785,-1.613278261,0.106684067,0.989993056
hsa-miR-192-5p,197.151234,-0.860813005,0.534166625,-1.611506532,0.107069365,0.989993056
hsa-miR-423-5p,438.1996904,0.849880049,0.528293618,1.608726699,0.107676115,0.989993056
hsa-miR-1973-3p,0.874485369,0.824216545,0.517863475,1.591571106,0.111481107,0.989993056
hsa-let-7g-5p,324.9511343,-0.77363891,0.486943503,-1.588765237,0.112113404,0.989993056
hsa-miR-200b-3p,164.3423333,-0.958246485,0.605998688,-1.58126825,0.113816716,0.989993056
hsa-miR-574-5p,19.68320083,0.959696419,0.606966983,1.581134468,0.113847295,0.989993056
hsa-miR-21-3p,12.45905789,-0.907667737,0.576216497,-1.575219978,0.115205677,0.989993056
hsa-miR-194-2-5p,22.94776232,-0.911012481,0.583092541,-1.562380611,0.118198352,0.989993056
hsa-miR-1290-3p,7.348286104,0.905976596,0.580683265,1.56019064,0.118714837,0.989993056
hsa-miR-429-3p,72.82826435,-0.934076047,0.611070002,-1.528590905,0.126365892,0.989993056
hsa-miR-550a-2-5p,4.588994601,-0.908880629,0.608484093,-1.493680179,0.135259232,0.989993056
hsa-miR-550a-1-5p,4.588994601,-0.908880629,0.608484093,-1.493680179,0.135259232,0.989993056
hsa-miR-224-5p,117.7970313,0.707815018,0.48493205,1.459616905,0.144395391,0.989993056
hsa-miR-641-5p,8.944864241,-0.866173398,0.599339111,-1.445214206,0.148397727,0.989993056
hsa-miR-148a-3p,14108.74198,0.786146968,0.551108946,1.426481958,0.153729271,0.989993056
hsa-miR-148b-5p,7.040252523,-0.8598483,0.602834883,-1.426341315,0.153769844,0.989993056
hsa-miR-320b-2-3p,445.5134007,0.734125289,0.530356575,1.384210781,0.166293923,0.989993056
hsa-miR-1908-5p,2.952907148,0.845813238,0.6119151,1.382239525,0.166898168,0.989993056
hsa-miR-550a-3-5p,3.094307123,-0.834447059,0.612556078,-1.362237824,0.173122842,0.989993056
hsa-miR-4326-5p,4.427825978,-0.823203066,0.605113122,-1.360411857,0.173699628,0.989993056
hsa-miR-29b-1-3p,10.70527532,-0.785885554,0.581346117,-1.351837626,0.176427265,0.989993056
hsa-miR-324-3p,13.57684433,-0.723061852,0.540387456,-1.33804337,0.180882299,0.989993056
hsa-miR-676-3p,14.24512808,0.724995806,0.542418229,1.336599264,0.181353479,0.989993056
hsa-miR-92a-2-3p,6390.970656,0.614995152,0.462185302,1.330624643,0.18331255,0.989993056
