,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
hsa-let-7d-5p,8.610978457,-1.816073367,0.532066907,-3.413242472,0.000641948,0.281173218
hsa-miR-1226-3p,4.560385003,-1.208523618,0.531508125,-2.273763205,0.022980228,0.971325232
hsa-miR-30e-3p,34.52579958,-1.053931282,0.465648824,-2.263360772,0.023613459,0.971325232
hsa-miR-151a-5p,25.57050691,-1.147777163,0.515331853,-2.227258333,0.025930014,0.971325232
hsa-miR-4485-3p,9.300205607,-1.147329778,0.534506903,-2.146520036,0.031831512,0.971325232
hsa-miR-221-5p,8.55458323,-1.077855189,0.50816181,-2.121086568,0.033914518,0.971325232
hsa-miR-4488-5p,3.798836948,-1.086726219,0.516962899,-2.102135803,0.035541381,0.971325232
hsa-miR-374a-3p,8.992330381,-1.086745807,0.529615316,-2.051953133,0.040174217,0.971325232
hsa-miR-98-5p,10.51631716,-1.026873321,0.508616823,-2.018952723,0.043492134,0.971325232
hsa-miR-129-2-5p,12.13159231,1.011704913,0.502230912,2.01442183,0.043965264,0.971325232
hsa-miR-129-1-5p,12.13159231,1.011704913,0.502230912,2.01442183,0.043965264,0.971325232
hsa-miR-374b-3p,5.805905891,-1.022418568,0.53472958,-1.912029193,0.05587245,0.971325232
hsa-miR-566-5p,2.683353842,0.991175984,0.52835115,1.875979608,0.06065808,0.971325232
hsa-miR-200a-3p,105.9626108,-0.970611881,0.520600227,-1.864409253,0.062264255,0.971325232
hsa-miR-4326-5p,2.814377553,-0.971005102,0.534652818,-1.816141371,0.069348689,0.971325232
hsa-let-7e-5p,34.22516281,-0.89772614,0.495112855,-1.813174777,0.069804869,0.971325232
hsa-miR-132-3p,21.94417152,0.87289843,0.486749562,1.793321449,0.07292154,0.971325232
hsa-miR-141-3p,2.494659943,-0.908543984,0.509051471,-1.78477823,0.074297296,0.971325232
hsa-miR-3613-5p,27.86097635,-0.807926816,0.463395721,-1.743492183,0.081247679,0.971325232
hsa-miR-21-3p,7.740385654,-0.906747827,0.530499538,-1.709233962,0.08740762,0.971325232
hsa-miR-362-5p,8.310791507,-0.848444634,0.497473143,-1.705508417,0.088099644,0.971325232
hsa-miR-589-5p,25.90271932,0.74175744,0.445605779,1.664604623,0.095991662,0.971325232
hsa-miR-200a-5p,7.340165687,-0.795863455,0.483009797,-1.647717002,0.099410757,0.971325232
hsa-miR-125b-2-3p,26.1702285,0.755315551,0.464923396,1.624602156,0.104247357,0.971325232
hsa-miR-31-5p,33.0131078,-0.754442406,0.466855934,-1.616006891,0.106092823,0.971325232
hsa-miR-3928-3p,2.473294587,0.85209187,0.533286842,1.597811537,0.110084926,0.971325232
hsa-miR-676-3p,8.91770658,0.804640935,0.511621915,1.572725701,0.115782346,0.971325232
hsa-miR-1250-5p,13.62558313,0.813048823,0.517374255,1.571490684,0.116068717,0.971325232
hsa-miR-342-5p,1.375430761,0.814279159,0.519267924,1.568129132,0.116850999,0.971325232
hsa-miR-25-5p,8.85790941,-0.776801052,0.506121394,-1.534811728,0.124830081,0.971325232
hsa-miR-429-3p,46.78862544,-0.776669145,0.506777264,-1.532565093,0.125383048,0.971325232
hsa-miR-548an-5p,3.004771512,0.803573924,0.530334444,1.51522107,0.129716429,0.971325232
hsa-miR-378h-5p,4.637972064,0.792234947,0.52605683,1.505987381,0.132070413,0.971325232
hsa-miR-181a-1-3p,5.34648482,-0.790837056,0.530213081,-1.491545728,0.135818275,0.971325232
hsa-miR-548e-3p,24.88372561,0.735824362,0.499761187,1.472351959,0.140925859,0.971325232
hsa-miR-181d-5p,12.21970393,0.722931654,0.492589234,1.46761562,0.142208663,0.971325232
hsa-miR-192-5p,133.4352349,-0.769174568,0.528842075,-1.454450401,0.145821475,0.971325232
hsa-miR-1273c-3p,2.357755146,0.765404839,0.53444804,1.432140792,0.152103532,0.971325232
hsa-miR-3909-3p,2.011502753,0.754448686,0.530891056,1.421098882,0.155288015,0.971325232
hsa-miR-3135b-3p,6.046267414,0.752823749,0.53189319,1.415366398,0.156961097,0.971325232
hsa-miR-590-3p,9.560753424,-0.722121252,0.516198145,-1.398922602,0.161836194,0.971325232
hsa-miR-29b-1-3p,6.840491791,-0.741566889,0.531524962,-1.39516851,0.162965031,0.971325232
hsa-miR-29b-2-3p,6.717396642,-0.727175307,0.531117502,-1.369142053,0.170954875,0.971325232
