"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"hsa-miR-590-3p",16.4556429078577,-0.640856976871379,0.505674930357317,-1.2673299354954,0.205037340895805,0.996893883742872
"hsa-let-7f-2-5p",843.547555552605,-0.725257630049234,0.465109783557325,-1.55932568113748,0.118919316406345,0.996893883742872
"hsa-miR-30c-2-3p",22.3603804626409,-0.21381571474483,0.536947424133784,-0.39820605358106,0.690478304055698,0.996893883742872
"hsa-miR-1254-1-5p",15.7135452991788,0.8387427015136,0.515011841419692,1.62858915865217,0.103400020844609,0.996893883742872
"hsa-miR-4485-3p",54.4255172349254,0.57646733662331,0.541887610601754,1.06381346490494,NA,NA
"hsa-miR-1273d-3p",15.8392605270366,-0.00200670601179536,0.515471916751572,-0.00389294925015766,0.996893883742872,0.996893883742872
"hsa-miR-9-3-3p",19.2186634702068,0.0418398270898198,0.500314403848218,0.0836270688351258,0.933352944497934,0.996893883742872
"hsa-miR-8485-3p",24.8654393034023,-0.120400944619666,0.402593712547892,-0.299063151924766,0.764891860830043,0.996893883742872
"hsa-miR-195-5p",2.88606623081232,-0.361204445552938,0.500425020372703,-0.721795335660722,0.470420317590103,0.996893883742872
"hsa-miR-3176-3p",7.19782715307693,-0.0950698067737713,0.544384739832578,-0.174637163420506,0.861364745107638,0.996893883742872
"hsa-miR-422a-5p",16.102733031305,0.180642350124702,0.50283316120979,0.35924907913807,0.71940876396916,0.996893883742872
"hsa-miR-4474-3p",3.01592346529946,-0.0904479560231588,0.537891520659162,-0.16815278276244,0.866463085828262,0.996893883742872
"hsa-miR-3135b-3p",6.61006886185511,0.0127561771510196,0.544429009683147,0.0234303773754517,0.981306974011608,0.996893883742872
"hsa-miR-20a-5p",9695.70656424295,0.0711774765420559,0.508138045661769,0.140075078317268,0.888600671060124,0.996893883742872
"hsa-miR-320b-1-3p",486.221547029581,0.735066861740329,0.492831353283422,1.49151805550326,0.135825534421727,0.996893883742872
"hsa-miR-3929-3p",40.6212242960728,-0.00270225467972522,0.540666236793866,-0.00499800893014793,0.996012182442563,0.996893883742872
"hsa-miR-30d-5p",1548.75952942791,-0.347847950911534,0.414821569991091,-0.838548368926439,0.401722794240455,0.996893883742872
"hsa-miR-205-5p",61.5841199367168,-1.91377665162819,0.544562402869116,-3.51433856165088,NA,NA
"hsa-miR-320d-2-3p",67.1034802342564,0.217010704340992,0.506678280947847,0.428300782766982,0.6684321491118,0.996893883742872
"hsa-miR-548an-5p",3.2397924676687,0.0356141830936961,0.535729804467077,0.0664778826877547,0.9469973658094,0.996893883742872
"hsa-miR-204-5p",3.20093138672077,-0.0388982126787907,0.526323580066738,-0.0739055101309701,0.941085571391612,0.996893883742872
"hsa-miR-320b-2-3p",572.177971067428,0.621866837097488,0.472004612021003,1.31750161176352,0.187670541168276,0.996893883742872
"hsa-miR-342-3p",24.15362321671,-0.466380091401858,0.509950630144749,-0.914559300121811,0.360423033371815,0.996893883742872
"hsa-miR-548h-3-3p",9.67983271502317,0.108904384224003,0.524708976657011,0.207551974654306,0.835578806341698,0.996893883742872
