"HEK_Exosome_CAV_1"	"HEK_Exosome_CAV_2"	"HEK_Exosome_CAV_3"	"HEK_Exosome_PN4.11_1"	"HEK_Exosome_PN4.11_2"	"HEK_Exosome_PN4.11_3"	"HEK_Exosome_PRKCA4_1"	"HEK_Exosome_PRKCA4_2"	"HEK_Exosome_PRKCA4_3"	"HEK_Exosome_PRTF_2"	"HEK_Exosome_PRTF_3"	"HEK_Exosome_PTRF_1"	"HEK_Exosome_SDPR_1"	"HEK_Exosome_SDPR_2"	"HEK_Exosome_SDPR_3"
"hsa-miR-590-3p"	30	3	13	28	9	16	18	7	20	6	1	12	27	11	0
"hsa-let-7f-2-5p"	279	95	1533	1693	535	681	313	538	1534	322	36	644	1017	314	53
"hsa-miR-30c-2-3p"	3	0	39	31	27	3	5	24	46	6	0	23	32	2	1
"hsa-miR-1254-1-5p"	6	4	22	19	7	2	16	22	51	7	0	30	16	11	1
"hsa-miR-4485-3p"	1	0	292	17	21	21	1	7	429	6	0	6	12	1	8
"hsa-miR-1273d-3p"	1	1	39	23	10	8	8	14	44	23	0	31	30	3	0
"hsa-miR-9-3-3p"	4	2	53	60	9	4	29	15	36	14	1	107	89	5	1
"hsa-miR-8485-3p"	1	0	34	39	37	0	0	35	21	53	0	19	0	0	8
"hsa-miR-195-5p"	2	1	5	24	0	0	0	3	4	3	0	15	13	0	0
"hsa-miR-3176-3p"	4	2	9	29	4	0	3	12	7	5	0	31	10	7	0
"hsa-miR-422a-5p"	22	1	13	23	7	9	25	17	22	13	0	45	26	8	0
"hsa-miR-4474-3p"	3	1	1	11	1	1	7	1	4	1	0	15	4	0	0
"hsa-miR-3135b-3p"	3	0	21	11	7	0	7	10	4	21	0	26	20	3	1
"hsa-miR-20a-5p"	4824	1115	16953	23259	6974	1342	5707	15157	12244	15078	94	17499	17476	2997	161
"hsa-miR-320b-1-3p"	1224	159	274	731	91	200	1689	276	602	224	9	1299	765	398	51
"hsa-miR-3929-3p"	5	2	81	51	43	5	6	70	53	64	0	83	124	2	1
"hsa-miR-30d-5p"	1003	145	3619	2906	936	960	1399	1094	2895	867	108	2867	1661	315	57
"hsa-miR-205-5p"	0	12	98	51	2	152	2	9	8	1	4	4	11	0	7
"hsa-miR-320d-2-3p"	151	18	62	232	10	22	159	50	76	55	0	301	167	55	8
"hsa-miR-548an-5p"	4	1	5	14	1	0	8	2	4	5	0	36	9	0	0
"hsa-miR-204-5p"	7	0	11	8	0	3	3	0	13	1	0	6	11	1	1
"hsa-miR-320b-2-3p"	1282	172	363	878	157	235	1747	361	765	280	11	1423	868	414	55
"hsa-miR-342-3p"	25	1	30	74	20	6	14	26	24	25	1	25	43	18	1
"hsa-miR-548h-3-3p"	9	3	12	14	4	6	12	11	14	4	0	15	16	10	0
"hsa-miR-744-3p"	12	0	8	12	1	0	13	9	7	8	0	7	10	2	0
"hsa-miR-619-5p"	1	3	39	29	17	2	8	18	47	25	1	24	41	5	2
"hsa-miR-106a-5p"	118	27	511	707	197	58	140	395	391	430	2	488	531	66	3
