,FCval.cut,Freq,
1,"[-15,-14.5)",1,-15
2,"[-14.5,-14)",0,-14.5
3,"[-14,-13.5)",0,-14
4,"[-13.5,-13)",0,-13.5
5,"[-13,-12.5)",0,-13
6,"[-12.5,-12)",0,-12.5
7,"[-12,-11.5)",0,-12
8,"[-11.5,-11)",0,-11.5
9,"[-11,-10.5)",1,-11
10,"[-10.5,-10)",0,-10.5
11,"[-10,-9.5)",0,-10
12,"[-9.5,-9)",0,-9.5
13,"[-9,-8.5)",0,-9
14,"[-8.5,-8)",1,-8.5
15,"[-8,-7.5)",1,-8
16,"[-7.5,-7)",0,-7.5
17,"[-7,-6.5)",1,-7
18,"[-6.5,-6)",0,-6.5
19,"[-6,-5.5)",0,-6
20,"[-5.5,-5)",1,-5.5
21,"[-5,-4.5)",0,-5
22,"[-4.5,-4)",0,-4.5
23,"[-4,-3.5)",1,-4
24,"[-3.5,-3)",1,-3.5
25,"[-3,-2.5)",0,-3
26,"[-2.5,-2)",2,-2.5
27,"[-2,-1.5)",5,-2
28,"[-1.5,-1)",3,-1.5
29,"[-1,-0.5)",5,-1
30,"[-0.5,0)",3,-0.5
31,"[0,0.5)",5,0
32,"[0.5,1)",17,0.5
33,"[1,1.5)",6,1
34,"[1.5,2)",8,1.5
35,"[2,2.5)",0,2
36,"[2.5,3)",2,2.5
37,"[3,3.5)",1,3
38,"[3.5,4)",2,3.5
39,"[4,4.5)",0,4
40,"[4.5,5)",1,4.5
41,"[5,5.5)",1,5
42,"[5.5,6)",0,5.5
43,"[6,6.5)",2,6
44,"[6.5,7)",0,6.5
45,"[7,7.5)",2,7
46,"[7.5,8)",0,7.5
47,"[8,8.5)",0,8
48,"[8.5,9)",1,8.5
49,"[9,9.5)",0,9
50,"[9.5,10)",0,9.5
51,"[10,10.5)",0,10
52,"[10.5,11)",0,10.5
53,"[11,11.5)",0,11
54,"[11.5,12)",0,11.5
55,"[12,12.5)",0,12
56,"[12.5,13)",0,12.5
57,"[13,13.5)",0,13
58,"[13.5,14)",0,13.5
59,"[14,14.5)",0,14
60,"[14.5,15)",0,14.5
