"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"hsa-miR-590-3p",17.0480849781511,0.49585484252199,0.429562990074979,1.15432393846463,0.248367385783153,0.998950020858298
"hsa-let-7f-2-5p",15373.5509055046,-0.40298724002063,0.347767846037458,-1.15878234463696,0.246544915855688,0.998950020858298
"hsa-miR-30c-2-3p",9.05296435958975,0.0917137714331317,0.425379216191419,0.215604730889957,0.829295867816737,0.998950020858298
"hsa-miR-4485-3p",3.56796942372913,0.0936692937660257,0.37720339000049,0.248325694437433,0.803882420211082,0.998950020858298
"hsa-let-7a-2-3p",14.18713388978,-0.0106489024389834,0.429199382078863,-0.0248110852056788,0.980205649065705,0.998950020858298
"hsa-miR-422a-5p",22.6176413671149,0.0532341335998466,0.423919745835517,0.125575970741645,0.900067584926862,0.998950020858298
"hsa-miR-20a-5p",2094.0953040525,-0.71627134491236,0.347856791435809,-2.05909834893804,0.0394848179828252,0.913695398371502
"hsa-miR-320b-1-3p",672.703149968154,0.026834550757315,0.376068391974253,0.0713555069503212,0.943114819610509,0.998950020858298
"hsa-miR-30d-5p",6099.86401102686,-0.359362362484451,0.380128055913834,-0.94537184744372,0.344469069720863,0.998950020858298
"hsa-miR-205-5p",6599.07167514598,-0.204108079356532,0.36782798354631,-0.554900900656556,0.578962445819675,0.998950020858298
"hsa-miR-320d-2-3p",116.160169505124,0.635068554907089,0.375727820809496,1.69023564328787,0.0909828818550313,0.950400322648294
"hsa-miR-320b-2-3p",801.404396675757,-0.0559504327358632,0.356521142361462,-0.15693440328747,0.875296545883532,0.998950020858298
"hsa-miR-342-3p",65.2341614715014,-0.427104117381741,0.386722721658994,-1.10441950643478,0.269411202972805,0.998950020858298
"hsa-miR-24-2-5p",171.962018096195,-0.421923364237592,0.407942628619075,-1.03427132797041,0.301009336902953,0.998950020858298
"hsa-miR-29c-5p",7.26983375603831,0.303289597097078,0.415893629968243,0.729247998148556,0.465849975507026,0.998950020858298
"hsa-miR-664a-5p",7.28832445949349,-0.278304677531792,0.417489687413054,-0.666614495932314,0.505018407347555,0.998950020858298
"hsa-let-7d-3p",178.732346649166,-0.0909408688977354,0.374516339641828,-0.242822166276397,0.80814316319394,0.998950020858298
"hsa-miR-106a-5p",63.4969156247457,-0.670892362617366,0.389267861549333,-1.72347226392421,0.0848031566998226,0.950400322648294
"hsa-miR-15a-5p",11.0372188057491,-0.134629963966041,0.428933392535364,-0.313871492191976,0.753618642961472,0.998950020858298
"hsa-miR-1296-5p",53.6135053732628,0.367590360930423,0.395348434571576,0.929788330460361,0.352480689529662,0.998950020858298
"hsa-miR-93-5p",1089.82600472125,-0.167989238248115,0.35398789293731,-0.4745621011334,0.635099124612971,0.998950020858298
"hsa-miR-502-3p",91.9661581685115,-0.104393621169582,0.378835891436812,-0.275564231186353,0.782882785647297,0.998950020858298
"hsa-miR-151a-5p",881.414599266332,0.57926414723571,0.392371364566408,1.47631606061729,0.139859064593497,0.998950020858298
"hsa-miR-7641-1-3p",85.7397361291498,0.934789297390066,0.389000363004849,2.40305507729928,0.016258738441099,0.538016435687276
"hsa-miR-584-5p",583.653591806531,0.386993329453781,0.360608686213352,1.07316696532601,0.283196209626323,0.998950020858298
"hsa-miR-423-5p",396.067764997248,-0.136599869934663,0.407130856054593,-0.335518342329588,0.737234110609962,0.998950020858298
"hsa-miR-500a-3p",75.401608962036,0.126488435790127,0.385617974976988,0.328014885192205,0.742900407976438,0.998950020858298
"hsa-miR-200c-3p",42.1098829492324,-0.00799764351147,0.411225578098232,-0.0194483124042434,0.98448346995907,0.998950020858298
"hsa-miR-629-5p",150.547843573575,0.49445378653337,0.404071338210259,1.22367943423911,0.221073180799565,0.998950020858298
"hsa-let-7i-5p",8198.04545052348,0.0736138889069414,0.358562756491308,0.205302663409009,0.837335663281086,0.998950020858298
"hsa-miR-135b-5p",211.133665219301,-0.518281100629313,0.394233181104664,-1.31465621228802,0.188625469023024,0.998950020858298
"hsa-miR-486-1-5p",7.10554957828353,-0.329788233099421,0.419567681544679,-0.786019151630731,0.431856267215499,0.998950020858298
"hsa-miR-330-3p",64.2673026471312,-0.262939465231333,0.386452960826217,-0.680391902469013,0.496256346890962,0.998950020858298
"hsa-miR-23a-3p",4364.84751890776,-0.199730895162837,0.348579308371548,-0.572985516828055,0.566654500382879,0.998950020858298
"hsa-miR-374b-3p",16.9743572678496,0.1235031597349,0.427331682976422,0.289010070291733,0.772573671269915,0.998950020858298
