PC3_Exosome_CAV1_23.3	PC3_Exosome_CAV1_4.3	PC3_Exosome_CAV1_6.3	PC3_Exosome_CAV2_23.3	PC3_Exosome_CAV2_4.3	PC3_Exosome_CAV2_6.3	PC3_Exosome_CAV3_23.3	PC3_Exosome_CAV3_4.3	PC3_Exosome_CAV3_6.3	PC3_Exosome_GFP_23.3	PC3_Exosome_GFP_4.3	PC3_Exosome_GFP_6.3			Ex.3rd	
hsa-miR-421-3p	88	82	6	84	121	320	170	75	62	143	148	25	3427.6	1230.25	0.00472722
hsa-miR-324-3p	21	22	3	7	15	39	13	17	3	13	14	1	77.46666667	21.66666667	0.007722123
hsa-miR-330-5p	15	13	2	24	20	23	20	28	9	25	27	2	116	49.33333333	0.013606076
hsa-miR-26b-5p	1542	1541	36	903	614	1698	1866	1035	690	1189	1169	185	445041.4667	43868.91667	0.017283512
hsa-miR-942-5p	9	7	1	1	8	19	4	9	8	20	19	2	67.06666667	44.91666667	0.023981557
hsa-miR-425-3p	108	112	0	130	172	204	176	150	23	148	149	15	4273.466667	496.9166667	0.02434573
hsa-miR-106a-5p	42	35	13	20	24	171	73	15	46	89	101	16	1386.666667	1096.25	0.026866278
hsa-miR-20b-5p	4	0	2	2	1	12	7	1	3	19	16	6	60.96666667	84.25	0.029964599
hsa-miR-625-3p	21	18	1	9	24	93	14	36	13	42	48	5	364.3	224.25	0.037183986
hsa-miR-873-3p	13	11	0	3	10	30	7	11	3	4	6	0	29.86666667	17.66666667	0.038476052
hsa-miR-424-5p	33	35	1	50	41	180	53	71	20	122	110	23	2466.4	2266	0.04127261
hsa-miR-365b-3p	19	28	1	32	44	62	52	29	21	64	60	3	749.3666667	510.25	0.041426632
hsa-miR-365a-3p	19	28	1	32	44	62	52	29	21	64	60	3	749.3666667	510.25	0.041426632
hsa-miR-146b-5p	286	371	31	273	401	326	459	216	248	655	688	121	73111.46667	40602	0.050241956
hsa-miR-363-3p	8	3	2	2	4	1	12	9	13	113	92	7	2584.3	3214	0.056434093
hsa-miR-203a-3p	827	769	7	346	368	649	744	509	219	2052	1802	185	692422.2667	435857.6667	0.058402614
hsa-miR-26a-2-3p	5	8	0	5	0	3	2	2	1	16	13	3	37.1	24.33333333	0.063670822
hsa-miR-16-2-5p	174	155	9	152	220	723	289	131	84	219	203	39	7734.566667	823.5833333	0.067407332
hsa-miR-328-3p	15	18	2	27	50	189	35	35	9	26	27	18	81.86666667	35	0.070232829
hsa-let-7f-1-5p	10610	11821	109	11897	8580	31351	14439	7449	5163	21468	18519	2611	71161177.47	27378281.67	0.071304204
hsa-let-7d-5p	446	462	4	426	663	1951	668	548	284	697	772	97	96032.8	27206.91667	0.073569908
hsa-miR-342-3p	41	52	0	54	66	67	98	37	27	88	90	16	1351.366667	622.9166667	0.073798519
hsa-miR-548x-3p	38	26	0	51	41	28	59	36	16	64	56	0	741.8666667	296	0.074956517
hsa-let-7f-2-5p	10698	11965	110	12063	8713	31926	14688	7532	5249	21915	18763	2655	73730615.07	28968417.58	0.076151441
