,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
hsa-miR-363-3p,33.42066894,-2.408042673,0.484048497,-4.974796301,6.53E-07,0.000235792
hsa-miR-19b-2-3p,316.94362,-1.123407025,0.31568636,-3.558617566,0.000372812,0.045268055
hsa-miR-19b-1-3p,316.8273119,-1.122748462,0.31571151,-3.55624811,0.000376189,0.045268055
hsa-miR-424-5p,58.26426323,-1.255182799,0.385845081,-3.253074513,0.001141636,0.103032609
hsa-miR-19a-3p,99.59344724,-1.202686713,0.380951983,-3.157055916,0.001593708,0.115065705
hsa-miR-20b-5p,9.766024025,-1.519456788,0.527799888,-2.878850152,0.003991279,0.240141971
hsa-miR-148a-3p,35287.97238,-1.200676815,0.443894554,-2.704869444,0.006833124,0.352393963
hsa-miR-20a-5p,1600.02835,-0.812848305,0.306543863,-2.651654149,0.008009854,0.361444667
hsa-miR-6131-3p,243.4172801,-1.333844223,0.52143291,-2.558036127,0.010526516,0.414263731
hsa-miR-30a-5p,8051.681639,-0.744167632,0.294384413,-2.527877155,0.01147545,0.414263731
hsa-miR-98-3p,38.11909027,-0.968567586,0.413452943,-2.34263077,0.019148322,0.584836362
hsa-miR-3182-5p,822.2496687,-1.216503236,0.520546362,-2.336973849,0.019440544,0.584836362
hsa-miR-146a-5p,352.0981742,-1.135147241,0.494305014,-2.296450994,0.021650108,0.601206849
hsa-miR-26b-5p,942.284957,0.695182345,0.307845942,2.258215068,0.023932254,0.617110271
hsa-miR-4448-3p,46.17143692,-1.1719052,0.528418998,-2.217757507,0.026571371,0.639484326
hsa-miR-320d-2-3p,79.99273236,0.717241286,0.368454314,1.946622036,0.051580065,0.658252096
hsa-miR-106a-5p,48.8346526,-0.793067885,0.386906629,-2.049765566,0.040387313,0.658252096
hsa-miR-151a-5p,572.5343718,0.78361906,0.428545495,1.82855512,0.067466281,0.658252096
hsa-miR-574-5p,107.0969769,0.777311686,0.3911448,1.987273473,0.0468921,0.658252096
hsa-miR-92a-1-5p,5.350808831,-1.010780391,0.529921671,-1.907414711,0.056466906,0.658252096
hsa-miR-1301-3p,10.82781246,-0.94358395,0.503017198,-1.875848289,0.060676115,0.658252096
hsa-miR-574-3p,30.61127387,1.015208821,0.469868959,2.160621171,0.030724615,0.658252096
hsa-miR-149-5p,35.37650499,1.015447579,0.476081815,2.132926626,0.032930746,0.658252096
hsa-miR-651-5p,66.74500622,0.949592853,0.473943873,2.0035977,0.045113172,0.658252096
hsa-miR-100-5p,187095.2839,0.657497062,0.345560941,1.902694963,0.05708036,0.658252096
hsa-miR-429-3p,3241.670776,-0.639588209,0.336590382,-1.90019752,0.057407204,0.658252096
hsa-miR-378e-3p,39.56677199,0.798212558,0.433717213,1.840398616,0.065709736,0.658252096
hsa-miR-335-5p,35.41810949,-0.827507499,0.44089097,-1.87689827,0.060532038,0.658252096
hsa-miR-873-3p,5.160873842,1.005727389,0.529447407,1.899579402,0.057488337,0.658252096
hsa-miR-139-5p,36.58953475,-0.90795975,0.493708412,-1.839060725,0.065906255,0.658252096
hsa-miR-200a-3p,10060.47148,-0.935848912,0.448257565,-2.087748175,0.036820557,0.658252096
hsa-miR-320d-1-3p,79.99273236,0.717241286,0.368454314,1.946622036,0.051580065,0.658252096
hsa-miR-146b-5p,369.0710409,-0.650150905,0.317167145,-2.049868392,0.040377275,0.658252096
hsa-miR-424-3p,184.8365153,-0.836394938,0.443800379,-1.884619703,0.0594812,0.658252096
hsa-miR-7704-5p,5.176344249,0.985026884,0.530607351,1.856413941,0.063394579,0.658252096
hsa-miR-10b-5p,3711.926278,-0.878452431,0.435743504,-2.015985145,0.043801529,0.658252096
hsa-miR-660-5p,167.2789763,-0.910894428,0.494642323,-1.84152141,0.065545186,0.658252096
hsa-miR-135b-5p,165.1060917,-0.632754518,0.427327634,-1.480724548,0.13867999,0.848533496
hsa-miR-128-2-3p,1548.41551,0.543326024,0.347035827,1.565619399,0.117437746,0.848533496
hsa-miR-378d-2-5p,104.6800772,0.678031982,0.413202603,1.640918949,0.100814241,0.848533496
hsa-miR-4497-5p,8.314983629,0.789283186,0.524343222,1.505279657,0.132252193,0.848533496
hsa-miR-1307-5p,51.17328693,0.639487434,0.426321905,1.500010735,0.133611622,0.848533496
hsa-miR-615-3p,59.64503061,0.599574042,0.391290366,1.532299527,0.125448538,0.848533496
hsa-miR-4454-5p,116.7728125,0.773999707,0.491359965,1.575219316,0.11520583,0.848533496
hsa-miR-128-1-3p,1578.815596,0.539962843,0.34597473,1.560700239,0.118594495,0.848533496
hsa-miR-378d-1-3p,105.5309816,0.638520427,0.409059117,1.560949015,0.118535781,0.848533496
hsa-miR-1246-5p,1582.211498,0.682469779,0.433984712,1.572566404,0.115819252,0.848533496
hsa-miR-23b-3p,644.2992684,-0.486656532,0.303557087,-1.60317961,0.108895006,0.848533496
hsa-miR-320c-2-3p,114.3685538,0.608974187,0.363792405,1.673960695,0.094138324,0.848533496
hsa-miR-328-3p,25.89512297,-0.788005643,0.50119206,-1.572262824,0.115889611,0.848533496
hsa-miR-222-3p,1586.136988,0.50646281,0.315236998,1.60660967,0.10814002,0.848533496
hsa-miR-203a-3p,893.2535878,-0.605897529,0.369565753,-1.639485055,0.101112281,0.848533496
hsa-miR-194-1-5p,19.84689125,-0.749359812,0.486538838,-1.540184982,0.12351527,0.848533496
hsa-miR-210-3p,90.34031959,0.617738068,0.40701115,1.517742372,0.129079358,0.848533496
hsa-miR-378a-3p,4129.620622,0.477609117,0.321587774,1.485159439,0.137501594,0.848533496
hsa-miR-1273a-3p,20.3058561,-0.790064161,0.527814379,-1.496859867,0.134429725,0.848533496
hsa-miR-324-3p,11.1588124,0.815675724,0.490604516,1.662593183,0.096393897,0.848533496
hsa-miR-141-3p,116.5045979,-0.671222087,0.437507501,-1.534195608,0.124981538,0.848533496
hsa-miR-122-5p,361.4805109,-0.883956122,0.524946807,-1.683896558,0.092201662,0.848533496
hsa-miR-582-3p,13.41579601,0.715305293,0.499729596,1.431384693,0.152319993,0.872817738
hsa-miR-320c-1-3p,168.1561658,0.531023165,0.370840543,1.431944741,0.152159636,0.872817738
hsa-miR-769-5p,121.2206758,0.491336725,0.341981826,1.436733438,0.15079375,0.872817738
hsa-miR-873-5p,17.98486498,0.704975949,0.490313968,1.43780515,0.150489348,0.872817738
hsa-miR-17-5p,539.739524,-0.561628128,0.395103319,-1.421471551,0.155179719,0.8753106
hsa-miR-132-5p,9.678971867,-0.733253678,0.518919341,-1.413039793,0.157644024,0.875530658
hsa-miR-342-3p,49.87652914,-0.521812063,0.38192668,-1.366262401,0.171856618,0.883366335
hsa-miR-1296-5p,33.19876608,0.60212479,0.439598205,1.369716216,0.170775505,0.883366335
hsa-miR-152-3p,66.95334252,-0.554666873,0.402501472,-1.378049306,0.168188066,0.883366335
hsa-miR-98-5p,979.5857081,-0.544967418,0.400567285,-1.360489081,0.173675206,0.883366335
hsa-miR-378c-5p,2146.200132,0.44852801,0.329728699,1.360294117,0.173736869,0.883366335
hsa-miR-1287-5p,16.9249941,0.672202379,0.486292776,1.382299742,0.166879685,0.883366335
hsa-let-7f-2-5p,10904.1797,-0.351433081,0.327671204,-1.072517439,0.283487685,0.887781212
hsa-miR-423-5p,373.8799401,-0.519155628,0.482270214,-1.076482878,0.281711354,0.887781212
hsa-miR-629-5p,101.883331,0.602264964,0.446337232,1.349349597,0.177224702,0.887781212
hsa-miR-365b-3p,25.63459542,-0.572098894,0.465848152,-1.228080204,0.219416861,0.887781212
hsa-miR-181d-5p,206.7968076,-0.495300676,0.398190368,-1.243879099,0.213544063,0.887781212
hsa-miR-365a-3p,25.63459542,-0.572098894,0.465848152,-1.228080204,0.219416861,0.887781212
hsa-miR-301a-5p,10.36347591,-0.571579763,0.499135512,-1.145139444,0.252151398,0.887781212
hsa-miR-3613-5p,51.34701852,0.512517326,0.406135417,1.261937039,0.206971443,0.887781212
hsa-miR-10a-5p,11713.83943,-0.555376102,0.41399079,-1.341518013,0.179752325,0.887781212
hsa-miR-421-3p,83.73573787,-0.374975388,0.35525322,-1.055515806,0.291189485,0.887781212
hsa-miR-93-3p,4.791338129,0.596323956,0.527941253,1.129527106,0.258675542,0.887781212
hsa-let-7a-1-3p,221.7587127,-0.403659008,0.382140229,-1.056311211,0.290826056,0.887781212
hsa-miR-151b-3p,64.89176555,0.630061897,0.512495816,1.229399105,0.218922206,0.887781212
hsa-let-7f-1-3p,17.96843215,-0.59856745,0.46700149,-1.281724927,0.199939158,0.887781212
hsa-miR-378f-3p,36.1837436,0.541517197,0.460560023,1.175779855,0.239682858,0.887781212
hsa-miR-218-1-5p,761.5405821,0.40916917,0.37151364,1.101357058,0.270741287,0.887781212
hsa-miR-21-3p,154.5964204,0.42429185,0.400644961,1.059022055,0.289589735,0.887781212
hsa-miR-4286-5p,10.16589209,0.595017866,0.525881925,1.131466662,0.257858727,0.887781212
hsa-miR-625-3p,21.55251094,-0.564174391,0.44441431,-1.269478454,0.20427047,0.887781212
hsa-miR-27b-5p,8.367142208,-0.570958408,0.523936275,-1.08974781,0.275824249,0.887781212
hsa-let-7a-3-3p,221.5884748,-0.406490426,0.382304432,-1.063263704,0.28766238,0.887781212
hsa-miR-140-3p,84.52899257,0.434392214,0.376011186,1.155264072,0.247982304,0.887781212
hsa-miR-378h-5p,8.59150879,0.622473251,0.507199212,1.227275667,0.219718998,0.887781212
hsa-miR-15b-3p,170.6850471,0.412236385,0.359427792,1.146924067,0.251413005,0.887781212
hsa-miR-381-3p,13.7769895,-0.505398872,0.482719181,-1.046983197,0.295107328,0.887781212
hsa-miR-4521-5p,7.810524456,0.557004087,0.525735297,1.059476299,0.289382918,0.887781212
hsa-miR-125a-5p,677.5996522,-0.460466988,0.432710172,-1.064146436,0.287262368,0.887781212
hsa-let-7f-1-5p,10743.35,-0.342627294,0.32678249,-1.048487311,0.294414145,0.887781212
hsa-miR-16-2-3p,400.4825873,-0.448707217,0.339758611,-1.32066474,0.186613176,0.887781212
hsa-miR-125b-1-5p,1235.593658,0.424365627,0.383889341,1.10543738,0.268970114,0.887781212
hsa-miR-199b-3p,15.76774507,-0.594947441,0.522317947,-1.139052266,0.254681355,0.887781212
hsa-miR-4470-3p,7.127781305,-0.647777333,0.529800412,-1.222681821,0.221449896,0.887781212
hsa-miR-339-5p,55.47314048,0.551187837,0.455469868,1.210152142,0.226220518,0.887781212
hsa-miR-1285-2-3p,4.300760829,0.613408613,0.520863325,1.177676721,0.238925511,0.887781212
hsa-miR-199a-1-3p,15.76774507,-0.594947441,0.522317947,-1.139052266,0.254681355,0.887781212
hsa-miR-1303-3p,4.565047034,0.570014824,0.528579601,1.07838975,0.280859859,0.887781212
hsa-miR-200b-3p,5770.606032,-0.408311646,0.34719713,-1.176022528,0.239585874,0.887781212
hsa-miR-125b-2-5p,1241.993546,0.427086108,0.384433486,1.110949289,0.266590178,0.887781212
hsa-miR-132-3p,25.67592672,-0.573065009,0.431174696,-1.329078478,0.18382208,0.887781212
hsa-miR-194-2-5p,31.6314671,-0.635984565,0.494579274,-1.285910264,0.198474381,0.887781212
hsa-miR-26a-2-3p,8.104412206,-0.549130596,0.513632202,-1.069112478,0.28501899,0.887781212
hsa-miR-199a-2-3p,16.53716189,-0.638013565,0.523769941,-1.218117946,0.223179155,0.887781212
hsa-miR-1273g-3p,38.17820764,-0.521988405,0.461750249,-1.130456142,0.258284069,0.887781212
hsa-miR-125b-2-3p,26.17909766,-0.556456534,0.44116302,-1.261339934,0.207186399,0.887781212
hsa-miR-34a-5p,9.666799336,-0.65852341,0.504820214,-1.30447116,0.192072986,0.887781212
hsa-miR-193a-5p,30.31825446,-0.53218209,0.439841289,-1.209941186,0.226301462,0.887781212
hsa-miR-218-2-5p,761.254036,0.409019532,0.371373693,1.101369157,0.270736023,0.887781212
hsa-miR-197-3p,56.5669375,0.519033115,0.464449651,1.117522888,0.263770819,0.887781212
hsa-miR-499a-5p,27.12159177,-0.537728696,0.444570244,-1.209547206,0.226452687,0.887781212
hsa-miR-92a-1-3p,4341.463402,-0.425454263,0.414325445,-1.02686009,0.304486349,0.893655058
hsa-miR-942-5p,9.108140788,-0.524652466,0.505875925,-1.037116889,0.299681385,0.893655058
hsa-miR-30e-5p,1476.286721,-0.358393443,0.347433857,-1.031544381,0.302285607,0.893655058
hsa-miR-92a-2-3p,4306.226404,-0.422306577,0.414387007,-1.019111531,0.30815002,0.897114173
hsa-miR-106b-3p,242.0606081,0.384972702,0.380881503,1.010741395,0.312140219,0.901460953
hsa-miR-28-3p,276.5001867,0.330394237,0.331347575,0.997122846,0.318704885,0.913114789
hsa-miR-320e-3p,36.31071421,0.409509468,0.420325352,0.974267827,0.329923575,0.937814256
hsa-miR-590-3p,13.65048587,0.400981567,0.512275825,0.782745441,0.433776612,0.970343761
hsa-miR-4485-3p,5.136023028,-0.321161078,0.526640359,-0.609829978,0.541974441,0.970343761
hsa-let-7a-2-3p,8.18832716,0.189827932,0.521319779,0.364129541,0.715761278,0.970343761
hsa-miR-320b-1-3p,549.4546004,-0.202005291,0.409148401,-0.493721326,0.621503002,0.970343761
hsa-miR-30d-5p,4259.93608,-0.281416667,0.409860205,-0.686616227,0.4923246,0.970343761
hsa-miR-205-5p,4605.487453,-0.125739302,0.379029918,-0.33173978,0.74008576,0.970343761
hsa-miR-320b-2-3p,631.6066921,-0.220084691,0.35424625,-0.621275994,0.534418046,0.970343761
hsa-miR-24-2-5p,106.4602009,-0.162496187,0.500512919,-0.324659326,0.745438922,0.970343761
hsa-miR-29c-5p,6.505130072,0.181998305,0.530120312,0.343315095,0.731361426,0.970343761
hsa-miR-664a-5p,6.495744071,-0.498167414,0.52799298,-0.943511435,0.345419369,0.970343761
hsa-let-7d-3p,134.2299278,-0.154163959,0.370141429,-0.416500144,0.677044062,0.970343761
hsa-miR-15a-5p,8.651253985,-0.224939661,0.511458689,-0.439800254,0.660081784,0.970343761
hsa-miR-584-5p,427.5288034,0.330446988,0.352549262,0.937307274,0.348600522,0.970343761
hsa-miR-486-1-5p,4.079678501,-0.248035244,0.530288574,-0.467736353,0.639973141,0.970343761
hsa-miR-330-3p,48.52487755,-0.332637274,0.379869822,-0.875661227,0.381214229,0.970343761
hsa-miR-23a-3p,3089.001148,-0.148683782,0.320482211,-0.463937706,0.642692377,0.970343761
hsa-miR-374b-3p,11.30916462,0.22683782,0.492658196,0.46043651,0.645202934,0.970343761
hsa-miR-548ay-5p,6.655877043,0.357901961,0.525914965,0.680531996,0.496167669,0.970343761
hsa-let-7f-2-3p,51.76377352,-0.399619043,0.438709962,-0.910895757,0.362350302,0.970343761
hsa-miR-1260b-5p,5.221659378,0.297082505,0.529962076,0.560573141,0.575088566,0.970343761
hsa-miR-129-2-5p,10.88466167,-0.435901666,0.528369964,-0.824993273,0.40937541,0.970343761
