"","PTRF_exo_counts","C1_1","C1_2","GFP1","GFP2","GFP3","var"
"hsa-miR-671-5p",7,7,4,13,6,0,15.6570104992993
"hsa-miR-877-5p",17,15,10,17,13,2,33.4787986228304
"hsa-miR-6087",21,19,12,24,14,4,53.7247867707368
"hsa-miR-20b-5p",0,4,0,19,16,6,55.3089688692952
"hsa-miR-582-3p",6,16,35,21,14,1,120.721377189003
"hsa-miR-362-5p",12,21,30,30,42,8,151.886726400909
"hsa-miR-147b",0,25,30,26,33,6,160.168643796401
"hsa-miR-1269a",19,29,40,32,36,5,165.700998125192
"hsa-miR-125a-3p",24,38,30,30,49,11,180.722316139326
"hsa-miR-181a-2-3p",6,39,27,39,31,7,200.106047527764
"hsa-miR-4664-3p",5,21,38,25,41,2,224.100282957376
"hsa-miR-125b-2-3p",5,27,18,36,53,10,270.887821634611
"hsa-miR-574-3p",40,72,50,45,25,2,502.042668745074
"hsa-miR-215",1,65,36,42,59,8,580.168303369515
"hsa-miR-589-5p",17,47,69,51,87,9,781.145545124623
"hsa-miR-149-5p",8,86,53,52,20,4,854.041394977075
"hsa-miR-484",15,94,59,67,83,14,1023.19532810124
"hsa-miR-500a-3p",7,66,77,61,102,19,1128.75785816635
"hsa-miR-152",16,56,63,115,89,28,1223.94520329481
"hsa-miR-374a-5p",17,58,87,103,78,6,1326.97841208598
"hsa-miR-339-5p",18,107,74,107,56,6,1597.24613784497
"hsa-miR-15b-5p",20,69,43,132,61,8,1641.38320890627
"hsa-miR-502-3p",10,85,70,98,122,17,1747.94246988676
"hsa-miR-363-3p",1,8,3,113,92,7,2192.14882536842
"hsa-miR-148a-5p",14,99,65,143,113,29,2196.75371049419
"hsa-miR-10a-3p",12,84,43,98,140,13,2206.14431075091
"hsa-miR-140-3p",53,133,119,81,146,20,2285.81446945809
"hsa-miR-361-5p",43,136,98,122,137,12,2499.81051650846
"hsa-miR-421",22,88,82,143,148,25,2615.48625732059
"hsa-miR-27a-5p",78,86,65,182,54,10,2777.04630689989
"hsa-miR-221-5p",78,93,201,102,176,51,3352.30782592115
"hsa-miR-196b-5p",76,167,161,162,172,30,3661.91437034686
"hsa-miR-651",5,59,200,32,78,16,4259.26233737109
"hsa-miR-185-5p",68,163,131,208,156,19,4403.10486079137
"hsa-miR-1180",33,131,206,101,179,37,4535.45282979804
"hsa-miR-769-5p",29,183,185,131,182,29,5098.52460022427
"hsa-miR-32-5p",14,125,94,222,150,25,5251.98116433518
"hsa-miR-629-5p",35,200,132,58,207,20,5829.6310977025
"hsa-miR-374a-3p",9,66,224,100,194,35,6335.73506314837
"hsa-let-7d-3p",54,151,154,145,286,41,6835.91691461046
"hsa-miR-196a-5p",8,156,201,188,243,27,8069.7393529093
"hsa-miR-542-3p",11,99,162,137,280,26,8193.73168339884
"hsa-miR-30b-5p",39,180,203,258,226,19,8832.19314915693
"hsa-miR-19a-3p",9,54,70,163,300,29,10038.2263115482
"hsa-miR-92b-3p",47,232,224,217,320,45,10951.3597832488
"hsa-miR-503-5p",14,200,228,267,317,23,13836.6024344461
"hsa-miR-181d",35,148,243,218,432,83,16945.3136279149
"hsa-miR-450b-5p",8,117,224,156,441,35,20601.8990659356
"hsa-miR-106b-3p",115,293,429,420,335,38,23462.5584901745
"hsa-miR-28-3p",91,343,447,308,428,74,24134.5231835274
"hsa-let-7c",17,224,437,230,426,90,24956.0031505588
"hsa-miR-31-5p",67,306,326,487,345,35,26572.6734274087
"hsa-miR-3615",27,339,345,528,252,95,28746.358468562
"hsa-miR-1307-3p",64,310,387,542,378,83,30782.5679205342
"hsa-miR-30e-3p",165,313,620,428,442,93,34651.3619077407
"hsa-let-7e-5p",461,436,523,659,608,141,39734.9992758555
"hsa-miR-99b-3p",64,370,518,498,609,89,46822.5206026954
"hsa-miR-30a-3p",140,397,418,495,749,95,51180.4240470632
"hsa-let-7d-5p",234,446,462,697,772,97,61287.5929755464
"hsa-miR-200a-5p",166,516,604,872,551,138,70554.9855114906
"hsa-miR-16-2-3p",22,374,418,626,973,95,103045.239649383
"hsa-miR-146a-5p",17,91,288,199,993,194,104717.06285715
"hsa-miR-340-5p",28,402,747,330,1173,141,150099.304550935
"hsa-miR-125a-5p",138,618,666,1458,569,264,181194.968250365
"hsa-miR-17-5p",177,522,456,1391,802,125,184282.989396439
"hsa-miR-186-5p",104,670,1071,642,1386,342,190485.980657424
"hsa-miR-93-5p",256,851,950,1472,1159,155,231875.984033536
"hsa-miR-99a-5p",41,1225,1390,1521,1054,283,325396.171096037
"hsa-miR-26b-5p",199,1542,1541,1189,1169,185,342353.801078261
"hsa-miR-375",168,1663,2578,851,1276,608,625387.72023509
"hsa-miR-98-5p",140,520,1310,1710,2367,232,672517.708270812
"hsa-miR-532-5p",164,1111,1765,1048,2573,313,690682.00306866
"hsa-miR-25-3p",381,1753,2311,2116,2214,497,706370.538063214
"hsa-miR-222-3p",1648,1966,2922,1887,2366,345,763024.184921024
"hsa-miR-183-5p",584,1912,2351,2663,1827,401,787180.782064604
"hsa-miR-320a",539,1639,2059,2455,2700,595,789114.45194922
"hsa-miR-30e-5p",254,1454,1588,1709,2977,523,812196.785014722
"hsa-miR-128",12,2457,2452,1432,2852,329,1220443.11933551
"hsa-miR-148b-3p",227,1554,2395,1665,3668,600,1320390.61437011
