,x
HEK_Exosome_CAV_1,193016
HEK_Exosome_CAV_2,33837
HEK_Exosome_CAV_3,335420
HEK_Exosome_PN4.11_1,364588
HEK_Exosome_PN4.11_2,81159
HEK_Exosome_PN4.11_3,96405
HEK_Exosome_PRKCA4_1,300623
HEK_Exosome_PRKCA4_2,133303
HEK_Exosome_PRKCA4_3,292307
HEK_Exosome_PRTF_2,115616
HEK_Exosome_PRTF_3,4039
HEK_Exosome_PTRF_1,451414
HEK_Exosome_SDPR_1,357538
HEK_Exosome_SDPR_2,114003
HEK_Exosome_SDPR_3,16758
PC3_Exosome_CAV1_23.3,853151
PC3_Exosome_CAV1_4.3,1095882
PC3_Exosome_CAV1_6.3,14163
PC3_Exosome_CAV2_23.3,1125218
PC3_Exosome_CAV2_4.3,1058848
PC3_Exosome_CAV2_6.3,1233674
PC3_Exosome_CAV3_23.3,1340834
PC3_Exosome_CAV3_4.3,801452
PC3_Exosome_CAV3_6.3,433720
PC3_Exosome_GFP_23.3,1183636
PC3_Exosome_GFP_4.3,1037123
PC3_Exosome_GFP_6.3,215275
,
,
,
