,genes,logFC,logCPM,PValue,FDR
1677,hsa-let-7d-5p,-2.961802402,6.868659819,0.001519969,1
2365,hsa-miR-378b-3p,-3.599784606,6.07514368,0.008881841,1
2256,hsa-miR-451a-5p,-1.839819143,6.019258165,0.014498913,1
1711,hsa-miR-30e-3p,-1.286430851,9.074034078,0.021940411,1
594,hsa-miR-6131-3p,2.234018257,10.73638381,0.02265081,1
754,hsa-miR-374a-3p,-1.904446609,7.228290921,0.023707893,1
418,hsa-miR-1226-3p,-3.046250804,6.04939149,0.024164636,1
1506,hsa-miR-181a-1-3p,-1.531802936,6.769373857,0.028945756,1
2583,hsa-miR-499a-5p,1.797691964,6.282555872,0.030345604,1
1310,hsa-miR-362-5p,-1.291269368,6.956413823,0.031882559,1
911,hsa-miR-218-1-3p,1.886709743,5.47215156,0.039695256,1
2265,hsa-miR-4488-5p,-2.934353696,5.614821243,0.040173277,1
2373,hsa-miR-1291-5p,2.812727054,5.78199906,0.049944244,1
