,genes,logFC,logCPM,PValue,FDR
1677,hsa-let-7d-5p,-3.565060686,6.868659819,0.000187729,0.149056662
2265,hsa-miR-4488-5p,-3.678828405,5.614821243,0.009729199,1
1711,hsa-miR-30e-3p,-1.398030324,9.074034078,0.01484623,1
754,hsa-miR-374a-3p,-1.88128083,7.228290921,0.017539496,1
1624,hsa-miR-221-5p,-1.591195937,6.852969772,0.019351604,1
418,hsa-miR-1226-3p,-2.927826734,6.04939149,0.024164636,1
1292,hsa-miR-335-3p,-3.469450638,4.980659655,0.028793363,1
453,hsa-miR-27a-5p,-2.088969635,5.643058576,0.036786614,1
2382,hsa-miR-200a-5p,-3.720588191,5.904196664,0.037100498,1
1310,hsa-miR-362-5p,-1.183534537,6.956413823,0.038048699,1
803,hsa-miR-21-3p,-1.594028746,6.407427803,0.039930321,1
1909,hsa-miR-200a-3p,-3.111064132,9.315830751,0.044364608,1
