"","genes","logFC","logCPM","PValue","FDR"
"1211","hsa-miR-429-3p",-5.29221085073995,8.0301724764379,0.000285816594050698,0.194394073302755
"1909","hsa-miR-200a-3p",-5.28535142194215,9.31583075135745,0.000489657615372178,0.194394073302755
"2040","hsa-miR-200b-3p",-4.96456417266762,9.43556481494299,0.000735700839700876,0.194715488907499
"2382","hsa-miR-200a-5p",-6.22281030721627,5.90419666359368,0.00160363124275068,0.318320801686009
"1292","hsa-miR-335-3p",-3.55313788338433,4.98065965549981,0.00279836557647614,0.415849807606145
"1742","hsa-miR-6128-3p",-3.64134954759743,4.65798295558536,0.00322718559027126,0.415849807606145
"920","hsa-miR-3674-5p",4.10792373347168,6.52009017562045,0.00366618218292571,0.415849807606145
"1095","hsa-miR-100-5p",-3.49466971884239,12.8526832814667,0.0074873089264581,0.743115410950966
"236","hsa-miR-766-3p",-5.02884094027895,4.09706234525218,0.010889240295507,0.897675731381358
"295","hsa-miR-584-5p",-3.27108853317133,4.98319246429466,0.0120752469145989,0.897675731381358
"1594","hsa-miR-5010-3p",-3.38836177370073,4.12663376651981,0.0124363136589357,0.897675731381358
"2372","hsa-miR-29b-1-3p",-1.84914830723627,6.32353823635721,0.0230576114316076,1
"1578","hsa-miR-29b-2-3p",-1.76556955087899,6.3225193768278,0.0233545018842576,1
"143","hsa-miR-205-5p",-4.1465758139413,7.50676405129243,0.0247481863255089,1
"368","hsa-miR-21-5p",-1.584711777895,14.9952541318868,0.0291061473764786,1
"2398","hsa-miR-141-3p",-3.74932850040875,5.1595261654128,0.030287143143382,1
"2031","hsa-miR-342-5p",2.34606556061367,5.22648072280858,0.0317990437941508,1
"1251","hsa-miR-127-3p",4.32192757866535,3.86238782582282,0.0403816721168107,1
"781","hsa-let-7b-3p",-4.32525718004062,4.00513167455564,0.0418780466968454,1
"1819","hsa-miR-1290-3p",1.60564322581257,6.28041405000054,0.043712087562077,1
"10","hsa-miR-1254-1-5p",1.36004358874308,6.5048489390307,0.043947675385529,1
"2073","hsa-miR-449c-5p",-1.29999223346743,5.74643738606665,0.044480785556091,1
"371","hsa-miR-1973-3p",5.62425979355458,4.68671093001185,0.0445196146004639,1
"1916","hsa-miR-1908-5p",1.92194996825267,5.14269464597484,0.0604511311199681,1
"1119","hsa-miR-7974-3p",-2.88045347348182,4.95494206793575,0.0616537823902191,1
"656","hsa-miR-3131-5p",2.15199054954113,4.62907903178002,0.0660855236413715,1
"319","hsa-miR-942-3p",-2.08531735230288,4.43641698285858,0.0684850264385942,1
"1486","hsa-miR-1273f-5p",1.42487494487006,7.76401332320128,0.0702480511901487,1
"1543","hsa-miR-194-1-5p",-1.51233680771529,6.69329737425285,0.0773487377532122,1
"317","hsa-miR-135b-5p",-5.3713911261741,4.05697383484699,0.0804930938108157,1
"773","hsa-miR-374b-5p",-1.03568715957337,8.40738250157441,0.0847892722044121,1
"1052","hsa-miR-1-2-3p",1.34484049033243,5.74641542437871,0.0868783621689062,1
"378","hsa-miR-181d-5p",1.03180004404876,7.71490306308347,0.0869381002341389,1
"1714","hsa-miR-1-1-3p",1.3457133752252,5.74641542437871,0.0878163238272539,1
"314","hsa-let-7i-5p",-1.1904873688543,9.31307209125378,0.0891918882815897,1
"2172","hsa-miR-194-2-5p",-1.57479445550011,7.23733856954969,0.0896207567284794,1
"2534","hsa-miR-30b-5p",-1.02270147557731,7.50942381624046,0.0908413668750055,1
"1120","hsa-miR-641-3p",2.29557471350713,4.82960782413644,0.101888397275018,1
"1172","hsa-miR-4521-5p",-1.76873835711588,6.36193630439447,0.104571721931296,1
"803","hsa-miR-21-3p",-1.29553806146615,6.40742780345884,0.105062934921871,1
"595","hsa-miR-3944-3p",3.94595943937086,4.07736181895437,0.105424471116303,1
"424","hsa-miR-1273c-3p",1.42216044065531,5.62447007600335,0.108222552849384,1
"1658","hsa-miR-1273c-5p",2.32186774213985,4.33976359756915,0.109503259226345,1
"2049","hsa-miR-1266-5p",-2.1250682552805,4.61755559130059,0.10953233193872,1
"2451","hsa-miR-122-5p",1.21602173999815,10.5687154298392,0.112437574461515,1
"374","hsa-let-7f-2-3p",2.31389139302008,5.20935545748875,0.115239723572208,1
"711","hsa-miR-98-5p",-1.34190021251563,6.50365494522901,0.120371274449328,1
"2218","hsa-miR-4791-5p",-1.55651167444889,8.09891997132991,0.121021131947942,1
"54","hsa-miR-551b-5p",1.8564061231282,4.64084694446836,0.125056608830503,1
"2406","hsa-miR-181c-3p",1.37394921747088,5.56451235816817,0.130012527871391,1
