"","genes","logFC","logCPM","PValue","FDR"
"2365","hsa-miR-378b-3p",4.24764677115104,6.07514367952145,0.00138038211951745,0.816394505717916
"453","hsa-miR-27a-5p",-2.96197121290429,5.64305857578693,0.00205640933430206,0.816394505717916
"374","hsa-let-7f-2-3p",3.09852220202088,5.20935545748875,0.0162614636374265,1
"2560","hsa-miR-6723-5p",-3.40445546037934,4.60934461583013,0.0172471874786565,1
"1292","hsa-miR-335-3p",-2.70857977459132,4.98065965549981,0.0177320385695862,1
"2453","hsa-miR-215-5p",-1.85898893980326,8.16738773363646,0.0184853189700039,1
"1943","hsa-miR-3182-5p",-2.38374207415442,12.842349379054,0.0200895450689902,1
"236","hsa-miR-766-3p",-4.82703240094903,4.09706234525218,0.0246345879917424,1
"2373","hsa-miR-1291-5p",-2.68740777338308,5.78199905964974,0.0274045417268769,1
"424","hsa-miR-1273c-3p",1.75698529587105,5.62447007600335,0.0274048181647214,1
"1375","hsa-miR-4745-5p",3.33717574735889,4.2161764948414,0.0350808392491171,1
"2382","hsa-miR-200a-5p",-2.94332688037667,5.90419666359368,0.0436003841004821,1
"810","hsa-miR-193b-5p",2.11320198448325,5.18831993273054,0.0462828575401056,1
"1120","hsa-miR-641-3p",2.61220286128323,4.82960782413644,0.047046615217412,1
"1422","hsa-miR-346-5p",2.55724629621734,5.81363301314663,0.0477535736006322,1
"259","hsa-miR-1243-5p",-4.61969499622778,4.49284561691926,0.0479474163285806,1
"2534","hsa-miR-30b-5p",-1.20743907082914,7.50942381624046,0.0495245682311447,1
"274","hsa-miR-7641-1-3p",-2.20036101900038,10.174718255129,0.050877799603549,1
"1315","hsa-miR-4492-3p",-4.32247342166008,3.98380207232872,0.0609079113241377,1
"1140","hsa-miR-548h-4-5p",1.49067453865438,5.90684214030824,0.0613961798146691,1
"1554","hsa-miR-548h-3-5p",1.49079639766867,5.90684214030824,0.0614502983693531,1
"2006","hsa-miR-548h-2-5p",1.49087899222184,5.90684214030824,0.0614870064484496,1
"1087","hsa-miR-548h-1-5p",1.49285240617515,5.89918631874899,0.0623706321774417,1
"1457","hsa-miR-548h-5-5p",1.4931238391391,5.89918631874899,0.0624931624986876,1
"1385","hsa-miR-641-5p",-1.22647556590401,6.34479269479031,0.0633732758240626,1
"1703","hsa-miR-548ae-2-3p",4.30941868554739,3.96543425331271,0.071220813926245,1
"349","hsa-miR-548ae-1-3p",4.30941777099485,3.96543425331271,0.0712214262479383,1
"1819","hsa-miR-1290-3p",1.45717323730852,6.28041405000054,0.0718054471209618,1
"1860","hsa-miR-493-3p",-4.35410604690243,4.13451270331464,0.072076006770481,1
"780","hsa-miR-6723-3p",-3.1871762677107,4.97140590618463,0.080401352123736,1
"1055","hsa-miR-891a-5p",-2.31531024779431,4.54819999562213,0.0807644886669447,1
"823","hsa-miR-4286-5p",-1.49086379468522,4.94273722726805,0.0812997924742523,1
"2218","hsa-miR-4791-5p",-1.81378609852775,8.09891997132991,0.0816289350899724,1
"2567","hsa-miR-433-3p",2.76205686179802,4.06057991106741,0.0849271096742403,1
"1875","hsa-miR-449b-5p",-4.05329791818768,4.06818628191547,0.0900399996417502,1
"1452","hsa-miR-148b-5p",-1.26869224050681,5.91365876782384,0.0906588471411764,1
"2122","hsa-miR-192-5p",-1.32275454826169,10.3317313654561,0.102428346791173,1
"1466","hsa-miR-33a-3p",2.63493872383203,4.06077280981978,0.102665110149736,1
"2451","hsa-miR-122-5p",1.25165217007743,10.5687154298392,0.103010183362779,1
"594","hsa-miR-6131-3p",-1.54544845757395,10.7363838143146,0.103686534912134,1
"1838","hsa-miR-20a-3p",-2.39331773604006,4.02336430872362,0.105738181979386,1
"803","hsa-miR-21-3p",-1.31119732811799,6.40742780345884,0.106307960978526,1
"189","hsa-miR-3149-3p",-2.81446031910155,4.13357426959214,0.106902916974193,1
"2372","hsa-miR-29b-1-3p",-1.21393846080459,6.32353823635721,0.107103115092366,1
"88","hsa-miR-320b-1-3p",1.20756161666839,11.5610464368976,0.108820156080555,1
"1299","hsa-miR-548f-5-3p",2.59137284469182,4.78044161858935,0.108906890356741,1
"1578","hsa-miR-29b-2-3p",-1.17837672551628,6.3225193768278,0.112072312755103,1
"342","hsa-miR-7976-5p",-2.38309823592642,4.38926054765273,0.112384600625291,1
"464","hsa-miR-574-5p",1.70822747849729,7.45223217330318,0.112741309507828,1
"379","hsa-miR-129-2-5p",1.41670324262924,7.60327275183787,0.113201780666519,1
