,HEK_Exosome_SDPR_1,HEK_Exosome_PTRF_1,HEK_Exosome_CAV_1,HEK_Exosome_PN4.11_1,HEK_Exosome_PRKCA4_1,HEK_Exosome_SDPR_2,HEK_Exosome_PRTF_2,HEK_Exosome_CAV_2,HEK_Exosome_PN4.11_2,HEK_Exosome_PRKCA4_2,HEK_Exosome_SDPR_3,HEK_Exosome_PRTF_3,HEK_Exosome_CAV_3,HEK_Exosome_PN4.11_3,HEK_Exosome_PRKCA4_3
hsa-miR-590-3p,27,12,30,28,18,11,6,3,9,7,0,1,13,16,20
hsa-miR-338-3p,2,3,0,0,3,0,0,0,0,1,0,0,2,0,6
hsa-miR-513a-1-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6738-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-let-7f-2-5p,1017,644,279,1693,313,314,322,95,535,538,53,36,1533,681,1534
hsa-miR-133a-1-3p,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4474-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-30c-2-3p,32,23,3,31,5,2,6,0,27,24,1,0,39,3,46
hsa-miR-5585-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1254-1-5p,16,30,6,19,16,11,7,4,7,22,1,0,22,2,51
hsa-miR-520e-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6073-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3198-2-3p,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
hsa-miR-6888-3p,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
hsa-miR-2467-5p,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
hsa-miR-590-5p,0,3,0,4,0,3,0,0,1,0,0,0,4,0,0
hsa-miR-6811-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4485-3p,12,6,1,17,1,1,6,0,21,7,8,0,292,21,429
hsa-miR-4706-3p,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1273d-3p,30,31,1,23,8,3,23,1,10,14,0,0,39,8,44
hsa-miR-215-3p,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
hsa-miR-3680-1-3p,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-890-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6764-5p,4,6,1,0,0,1,0,0,0,0,0,0,1,0,1
hsa-miR-548as-5p,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
hsa-miR-6824-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
hsa-miR-3690-1-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-9-3-3p,89,107,4,60,29,5,14,2,9,15,1,1,53,4,36
hsa-miR-6854-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-8485-3p,0,19,1,39,0,0,53,0,37,35,8,0,34,0,21
hsa-miR-7109-5p,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3127-3p,0,2,2,0,0,0,0,0,0,2,0,0,1,0,2
