,genes,logFC,logCPM,PValue,FDR
494,hsa-miR-92a-1-5p,-3.146506439,3.222525058,0.000832312,0.208361581
473,hsa-miR-148a-3p,-1.627177097,14.99642336,0.001398082,0.208361581
1116,hsa-miR-363-3p,-2.216062256,4.926866883,0.00165805,0.208361581
1328,hsa-miR-934-5p,2.21565394,4.872839513,0.002970942,0.280011313
2273,hsa-miR-26a-2-3p,-2.631961039,3.102246566,0.004077905,0.307474074
2480,hsa-miR-1285-1-5p,2.995926406,2.92924528,0.010198064,0.640778385
1566,hsa-miR-210-3p,1.19296926,7.682667805,0.016814054,0.905556931
2099,hsa-miR-132-3p,-1.124878675,5.037191387,0.02347473,0.94002201
266,hsa-miR-561-5p,2.004833381,2.943564337,0.026563767,0.94002201
1496,hsa-miR-203a-3p,-1.34174237,9.718582737,0.027465466,0.94002201
1667,hsa-miR-450b-5p,-1.153789199,7.199128669,0.032553267,0.94002201
55,hsa-let-7a-2-3p,1.022726357,4.645352407,0.037999767,0.94002201
1873,hsa-miR-20b-5p,-2.053481616,3.34380052,0.038839199,0.94002201
691,hsa-miR-4497-5p,1.8918288,4.403869879,0.040943592,0.94002201
1963,hsa-miR-146a-5p,-1.372323396,8.24552398,0.043618741,0.94002201
2377,hsa-miR-10b-5p,-1.416766442,11.85529875,0.053767845,0.94002201
385,hsa-miR-582-3p,1.150998301,4.829605433,0.056166424,0.94002201
720,hsa-miR-149-5p,1.174184196,5.934879461,0.057718695,0.94002201
2047,hsa-miR-1299-3p,1.775457487,3.845461659,0.060019209,0.94002201
1216,hsa-miR-185-3p,1.831746273,3.26761003,0.064392819,0.94002201
2307,hsa-miR-199a-2-3p,-1.45820588,4.33277151,0.064877988,0.94002201
514,hsa-miR-1301-3p,-1.344714396,3.83828177,0.065286831,0.94002201
1722,hsa-miR-5096-3p,1.275477675,3.873158827,0.066268411,0.94002201
156,hsa-miR-320d-2-3p,1.118241675,7.527830363,0.068231143,0.94002201
1814,hsa-miR-5096-5p,1.817249892,3.291476019,0.069572788,0.94002201
576,hsa-miR-574-3p,1.14848537,6.135039317,0.070195661,0.94002201
1802,hsa-miR-1273a-3p,2.416701011,5.948529684,0.073748031,0.94002201
1980,hsa-miR-320d-1-3p,1.105337397,7.524669078,0.074484232,0.94002201
613,hsa-miR-10a-5p,-0.993851649,13.72915574,0.075361906,0.94002201
1885,hsa-miR-199a-1-3p,-1.368138397,4.314983844,0.076943107,0.94002201
1664,hsa-miR-199b-3p,-1.368638783,4.314983844,0.07729624,0.94002201
2131,hsa-miR-92a-1-3p,-1.265818959,12.41145038,0.080612908,0.943130151
1175,hsa-miR-92a-2-3p,-1.26184233,12.4029978,0.082555159,0.943130151
1429,hsa-miR-873-3p,1.127037729,3.615969552,0.088723078,0.953726981
852,hsa-miR-424-5p,-0.896107313,6.253030825,0.090135234,0.953726981
1374,hsa-miR-320c-2-3p,0.890215293,7.930915718,0.091072072,0.953726981
2451,hsa-miR-122-5p,-1.364178962,8.776443588,0.097505254,0.962758343
2178,hsa-miR-424-3p,-0.837993574,7.799672794,0.10137906,0.962758343
1862,hsa-miR-576-3p,-0.754985098,5.385376646,0.101479186,0.962758343
2515,hsa-miR-126-5p,-0.852100119,4.765760442,0.102149426,0.962758343
464,hsa-miR-574-5p,0.989011839,7.496055861,0.116527981,1
1138,hsa-miR-98-3p,-0.860248481,5.526595889,0.121475543,1
2586,hsa-miR-504-5p,1.673369792,2.551943892,0.123223908,1
794,hsa-miR-543-3p,1.738990845,3.204194812,0.124671847,1
458,hsa-miR-320c-1-3p,0.795359155,8.424780732,0.126322084,1
1499,hsa-miR-19b-2-3p,-0.866799533,8.477097682,0.12886202,1
1785,hsa-miR-19b-1-3p,-0.866113917,8.476783734,0.129459516,1
555,hsa-miR-409-3p,1.549538994,3.157662014,0.132271589,1
317,hsa-miR-135b-5p,-0.867196315,7.569003906,0.136880335,1
1400,hsa-miR-1303-5p,1.273232614,3.532073239,0.140398222,1
