,genes,logFC,logCPM,PValue,FDR
1116,hsa-miR-363-3p,-5.033375583,4.926866883,6.95E-10,2.62E-07
2333,hsa-miR-125b-2-3p,-3.420189215,4.695077778,3.33E-06,0.000424466
2377,hsa-miR-10b-5p,-3.725899875,11.85529875,3.38E-06,0.000424466
1963,hsa-miR-146a-5p,-3.262622444,8.24552398,7.15E-06,0.000664973
473,hsa-miR-148a-3p,-2.315929132,14.99642336,8.82E-06,0.000664973
2047,hsa-miR-1299-3p,3.241908315,3.845461659,1.16E-05,0.000729942
1667,hsa-miR-450b-5p,-2.295480552,7.199128669,3.48E-05,0.001872552
1328,hsa-miR-934-5p,2.774143658,4.872839513,9.73E-05,0.004587308
1078,hsa-miR-224-5p,-4.444997721,2.899107817,0.000271077,0.01135511
365,hsa-miR-450a-2-5p,-1.798619795,7.433760565,0.000334647,0.011705606
1852,hsa-miR-450a-1-5p,-1.798129345,7.433663456,0.000341543,0.011705606
2302,hsa-miR-340-5p,-1.842370587,9.078878778,0.00117681,0.036971445
1041,hsa-miR-542-3p,-1.84258644,6.889922501,0.001401885,0.040654672
2218,hsa-miR-4791-5p,-4.052867593,8.523737568,0.002062225,0.05553278
1496,hsa-miR-203a-3p,-1.874262076,9.718582737,0.0024029,0.06039289
274,hsa-miR-7641-1-3p,-5.944933365,11.83242265,0.003026397,0.070615405
576,hsa-miR-574-3p,1.878734788,6.135039317,0.003184249,0.070615405
1566,hsa-miR-210-3p,1.459248837,7.682667805,0.003416324,0.07155301
1951,hsa-miR-221-3p,1.946744267,13.09210576,0.004059284,0.080544731
1901,hsa-miR-7641-2-3p,-4.993107017,12.47370621,0.00453155,0.085419721
1374,hsa-miR-320c-2-3p,1.47063195,7.930915718,0.0050821,0.091235793
2388,hsa-miR-660-5p,-2.039660295,7.380197358,0.005346075,0.091612286
55,hsa-let-7a-2-3p,1.366335778,4.645352407,0.005722849,0.093804959
2273,hsa-miR-26a-2-3p,-2.385762616,3.102246566,0.00617451,0.096991263
156,hsa-miR-320d-2-3p,1.666536501,7.527830363,0.006532255,0.098506401
1980,hsa-miR-320d-1-3p,1.666454365,7.524669078,0.007190771,0.104266178
1441,hsa-miR-222-3p,1.955219257,11.941035,0.007623596,0.106447994
1106,hsa-miR-4448-3p,-2.745913676,5.9721839,0.010011833,0.130679117
458,hsa-miR-320c-1-3p,1.334586431,8.424780732,0.010190879,0.130679117
2480,hsa-miR-1285-1-5p,3.072261893,2.92924528,0.010855216,0.130679117
613,hsa-miR-10a-5p,-1.437621865,13.72915574,0.010871842,0.130679117
1499,hsa-miR-19b-2-3p,-1.453766145,8.477097682,0.011426955,0.130679117
1785,hsa-miR-19b-1-3p,-1.453082452,8.476783734,0.011438756,0.130679117
1873,hsa-miR-20b-5p,-2.325924204,3.34380052,0.012835886,0.14232732
939,hsa-miR-484-5p,1.738276299,7.104169182,0.014020662,0.146894656
558,hsa-miR-222-5p,1.345564183,4.806985843,0.014062412,0.146894656
754,hsa-miR-374a-3p,-1.67466258,6.739256387,0.014416717,0.146894656
2029,hsa-miR-3607-3p,-2.289300532,2.976306553,0.015779834,0.155876095
2012,hsa-miR-6516-5p,2.034859086,2.942881194,0.016146134,0.155876095
2515,hsa-miR-126-5p,-1.252858963,4.765760442,0.016538578,0.155876095
504,hsa-miR-19a-3p,-1.62159119,6.849636497,0.018208457,0.167428984
2178,hsa-miR-424-3p,-1.199791066,7.799672794,0.019810685,0.177824479
2499,hsa-miR-193a-5p,1.713831048,6.369546998,0.020295135,0.177936417
2316,hsa-miR-7704-5p,2.081163712,3.517148676,0.023201212,0.198792204
1943,hsa-miR-3182-5p,-2.371732665,10.19568655,0.025266236,0.211674909
2167,hsa-miR-455-5p,-1.537186037,5.805775937,0.026399506,0.216361169
745,hsa-miR-185-5p,1.244953044,7.839927236,0.027298267,0.218966951
594,hsa-miR-6131-3p,-2.213518418,8.900344742,0.028215678,0.219376402
691,hsa-miR-4497-5p,2.008838511,4.403869879,0.02877382,0.219376402
1541,hsa-miR-148a-5p,-1.376403826,6.578166015,0.029431059,0.219376402
