"","PC3_Exosome_GFP_4.3","PC3_Exosome_CAV1_4.3","PC3_Exosome_CAV2_4.3","PC3_Exosome_CAV3_4.3","PC3_Exosome_GFP_23.3","PC3_Exosome_CAV1_23.3","PC3_Exosome_CAV2_23.3","PC3_Exosome_CAV3_23.3","PC3_Exosome_GFP_6.3","PC3_Exosome_CAV1_6.3","PC3_Exosome_CAV2_6.3","PC3_Exosome_CAV3_6.3"
"hsa-miR-590-3p",22,27,4,6,5,14,10,12,5,0,10,7
"hsa-miR-338-3p",2,0,0,0,1,0,0,0,0,0,0,0
"hsa-miR-513a-1-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-6738-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-let-7f-2-5p",18763,11965,8713,7532,21915,10698,12063,14688,2655,110,31926,5249
"hsa-miR-133a-1-3p",0,0,0,0,1,1,0,0,0,0,0,1
"hsa-miR-4474-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-30c-2-3p",10,5,14,8,9,12,23,12,3,4,66,2
"hsa-miR-5585-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1254-1-5p",2,3,2,1,6,0,3,7,2,1,25,2
"hsa-miR-520e-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-6073-3p",0,0,0,0,0,0,0,0,0,0,1,0
"hsa-miR-3198-2-3p",0,0,0,1,0,0,0,0,0,0,0,0
"hsa-miR-6888-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-2467-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-590-5p",0,1,0,0,0,1,0,0,0,0,0,0
"hsa-miR-6811-5p",0,0,1,0,0,0,0,0,0,0,1,0
"hsa-miR-4485-3p",3,2,11,6,4,5,8,4,4,0,43,24
"hsa-miR-4706-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1273d-3p",1,0,0,0,3,2,0,1,1,1,3,0
"hsa-miR-215-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3680-1-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-890-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-6764-5p",1,1,0,1,2,0,0,0,0,0,0,0
"hsa-miR-548as-5p",0,1,0,0,0,0,0,0,0,0,0,0
"hsa-miR-6824-3p",0,2,0,0,1,0,0,0,0,0,0,1
"hsa-miR-3690-1-5p",0,0,0,0,0,0,0,0,0,1,0,0
"hsa-miR-9-3-3p",4,5,5,2,1,4,0,8,2,0,26,2
"hsa-miR-6854-3p",0,0,0,0,0,1,0,0,0,0,0,0
"hsa-miR-8485-3p",0,0,0,0,0,0,0,0,0,0,1,0
"hsa-miR-7109-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3127-3p",0,2,1,1,1,0,0,2,0,0,3,0
"hsa-miR-510-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-7107-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-4510-5p",0,1,0,0,0,0,2,3,0,0,2,2
"hsa-miR-548a-3-3p",3,0,0,3,1,2,0,0,0,0,2,2
"hsa-miR-3679-5p",2,0,1,3,0,0,1,2,0,0,2,0
"hsa-miR-548m-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-195-5p",0,1,1,1,4,3,0,7,0,0,12,1
"hsa-miR-5693-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-544b-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-548i-4-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-6894-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-6798-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-622-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1270-5p",1,5,0,0,0,2,0,1,0,0,1,1
"hsa-miR-3176-3p",1,2,3,0,2,1,0,2,0,0,3,0
"hsa-miR-588-5p",1,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3677-5p",0,0,0,1,2,1,1,1,0,0,0,0
"hsa-miR-548ba-3p",1,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-4636-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-136-3p",1,1,0,1,0,0,0,0,1,0,1,0
"hsa-miR-6510-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-551b-5p",0,0,0,0,0,0,0,2,0,0,1,0
"hsa-let-7a-2-3p",13,12,33,23,19,13,32,32,0,0,34,8
