"HEK_Exosome_PTRF_1"	"HEK_Exosome_SDPR_1"	"HEK_Exosome_CAV_1"	"HEK_Exosome_PN4.11_1"	"HEK_Exosome_PRKCA4_1"	"HEK_Exosome_SDPR_2"	"HEK_Exosome_PRTF_2"	"HEK_Exosome_CAV_2"	"HEK_Exosome_PN4.11_2"	"HEK_Exosome_PRKCA4_2"	"HEK_Exosome_SDPR_3"	"HEK_Exosome_PRTF_3"	"HEK_Exosome_CAV_3"	"HEK_Exosome_PN4.11_3"	"HEK_Exosome_PRKCA4_3"
"hsa-miR-590-3p"	33.1562832372502	84.4222580915964	175.208241520843	78.9542265538672	74.7837600222552	113.815172387173	55.4425231024051	71.6794460418067	93.5932532393221	51.3494074424293	0	152.049279075262	41.374674512458	168.271288737513	62.961674081969
"hsa-let-7f-2-5p"	1779.38720039909	3179.90505478346	1629.43664614384	4773.91091270347	1300.40649372033	3248.90582996112	2975.41540649574	2269.84912465721	5563.5989425597	3946.56874343242	3096.95222556496	5473.77404670944	4879.02892519986	7162.04672689038	4829.16040208703
"hsa-miR-30c-2-3p"	63.5495428713962	100.05600959004	17.5208241520843	87.413607970353	20.7732666728487	20.6936677067587	55.4425231024051	0	280.779759717966	176.055111231186	58.4330608597163	0	124.124023537374	31.5508666382836	144.811850388529
"hsa-miR-1254-1-5p"	82.8907080931255	50.0280047950201	35.0416483041686	53.5760823044099	66.4744533531158	113.815172387173	64.6829436194726	95.572594722409	72.7947525194727	161.383851961921	58.4330608597163	0	70.0186799441597	21.0339110921891	160.552268909021
"hsa-miR-590-5p"	8.28907080931254	0	0	11.279175221981	0	31.0405015601381	0	0	10.3992503599247	0	0	0	12.7306690807563	0	0
"hsa-miR-4485-3p"	16.5781416186251	37.521003596265	5.84027471736143	47.9364946934194	4.15465333456974	10.3468338533794	55.4425231024051	0	218.384257558418	51.3494074424293	467.46448687773	0	929.338842895211	220.856066467985	1350.52790905824
"hsa-miR-1273d-3p"	85.6537316962296	93.8025089906626	5.84027471736143	64.8552575263909	33.2372266765579	31.0405015601381	212.529671892553	23.8931486806022	103.992503599247	102.698814884859	0	0	124.124023537374	84.1356443687563	138.515682980332
"hsa-miR-6764-5p"	16.5781416186251	12.507001198755	5.84027471736143	0	0	10.3468338533794	0	0	0	0	0	0	3.18266727018908	0	3.14808370409845
"hsa-miR-9-3-3p"	295.643525532147	278.280776672299	23.3610988694457	169.187628329715	120.484946702522	51.7341692668968	129.365887238945	47.7862973612045	93.5932532393221	110.034444519491	58.4330608597163	152.049279075262	168.681365320021	42.0678221843782	113.331013347544
"hsa-miR-8485-3p"	52.4974484589794	0	5.84027471736143	109.971958414315	0	0	489.742287404579	0	384.772263317213	256.747037212146	467.46448687773	0	108.210687186429	0	66.1097577860675
"hsa-miR-3127-3p"	5.52604720620836	0	11.6805494347229	0	0	0	0	0	0	14.6712592692655	0	0	3.18266727018908	0	6.2961674081969
"hsa-miR-4510-5p"	2.76302360310418	3.12675029968875	0	2.81979380549526	0	10.3468338533794	0	0	10.3992503599247	0	0	0	3.18266727018908	10.5169555460945	3.14808370409845
"hsa-miR-548a-3-3p"	13.8151180155209	40.6477538959538	0	19.7385566384668	4.15465333456974	10.3468338533794	64.6829436194726	0	31.197751079774	29.342518538531	0	0	15.9133363509454	0	3.14808370409845
