miRNAs	HEK_Pellet_SDPR_1	HEK_Pellet_PRTF_1	HEK_Pellet_CAV_1	HEK_Pellet_PN4-11_1	HEK_Pellet_PRKCA4_1	HEK_Pellet_SDPR_2	HEK_Pellet_PRTF_2	HEK_Pellet_CAV_2	HEK_Pellet_PN4-11_2	HEK_Pellet_PRKCA4_2	HEK_Pellet_SDPR_3	HEK_Pellet_PRTF_3	HEK_Pellet_CAV_3	HEK_Pellet_PN4-11_3	HEK_Pellet_PRKCA4_3	HEK_Exosome_PTRF_1	HEK_Exosome_SDPR_1	HEK_Exosome_CAV_1	HEK_Exosome_PN4-11_1	HEK_Exosome_PRKCA4_1	HEK_Exosome_SDPR_2	HEK_Exosome_PRTF_2	HEK_Exosome_CAV_2	HEK_Exosome_PN4-11_2	HEK_Exosome_PRKCA4_2	HEK_Exosome_SDPR_3	HEK_Exosome_PRTF_3	HEK_Exosome_CAV_3	HEK_Exosome_PN4-11_3	HEK_Exosome_PRKCA4_3	PC3_Pellet_GFP_4.3	PC3_Pellet_CAV1_4.3	PC3_Pellet_CAV2_4.3	PC3_Pellet_CAV3_4.3	PC3_Pellet_GFP_23.3	PC3_Pellet_CAV2_23.3Q	PC3_Pellet_CAV2_23.3	PC3_Pellet_CAV3_23.3	PC3_Pellet_GFP_6.3	PC3_Pellet_CAV1_6.3	PC3_Pellet_CAV2_6.3	PC3_Pellet_CAV3_23.3F	PC3_Exosome_GFP_4.3	PC3_Exosome_CAV1_4.3	PC3_Exosome_CAV2_4.3	PC3_Exosome_CAV3_4.3	PC3_Exosome_GFP_23.3	PC3_Exosome_CAV1_23.3	PC3_Exosome_CAV2_23.3	PC3_Exosome_CAV3_23.3	PC3_Exosome_GFP_6.3	PC3_Exosome_CAV1_6.3	PC3_Exosome_CAV2_6.3	PC3_Exosome_CAV3_6.3
hsa-miR-590-3p	379	172	221	214	1	1	156	393	96	511	96	359	144	456	338	12	27	30	28	18	11	6	3	9	7	0	1	13	16	20	33	40	6	18	22	16	20	36	51	32	67	51	22	27	4	6	5	14	10	12	5	0	10	7
hsa-miR-338-3p	20	3	14	13	0	0	8	24	2	19	6	3	8	9	9	3	2	0	0	3	0	0	0	0	1	0	0	2	0	6	0	0	0	0	1	1	3	0	3	1	2	0	2	0	0	0	1	0	0	0	0	0	0	0
hsa-miR-513a-1-5p	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6738-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-let-7f-2-5p	4254	5343	14330	6906	85	126	11980	4927	6704	4470	5537	3018	6420	4453	2981	644	1017	279	1693	313	314	322	95	535	538	53	36	1533	681	1534	11588	36373	16814	23901	85004	18569	44178	12905	24395	12836	15756	16701	18763	11965	8713	7532	21915	10698	12063	14688	2655	110	31926	5249
hsa-miR-133a-1-3p	0	2	0	1	0	0	0	0	2	3	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1
hsa-miR-4474-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-30c-2-3p	172	132	685	436	5	1	479	144	374	236	397	130	391	205	182	23	32	3	31	5	2	6	0	27	24	1	0	39	3	46	21	46	58	35	121	46	143	23	23	10	28	28	10	5	14	8	9	12	23	12	3	4	66	2
hsa-miR-5585-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1254-1-5p	13	8	36	10	0	0	20	12	17	11	30	6	36	20	9	30	16	6	19	16	11	7	4	7	22	1	0	22	2	51	11	12	4	14	5	7	10	6	3	6	5	2	2	3	2	1	6	0	3	7	2	1	25	2
hsa-miR-520e-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6073-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-3198-2-3p	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
hsa-miR-6888-3p	1	3	0	1	0	0	3	2	2	4	2	1	2	2	2	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	1	1	3	1	2	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-2467-5p	0	0	1	2	0	0	2	0	1	1	2	3	1	3	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-590-5p	4	6	18	16	0	0	6	13	5	12	22	10	11	16	12	3	0	0	4	0	3	0	0	1	0	0	0	4	0	0	3	1	0	0	0	0	0	0	0	0	2	1	0	1	0	0	0	1	0	0	0	0	0	0
