Cavin-1 Pellet,,,Average Cell,,PC3_Exosome_CAV1_23.3,PC3_Exosome_CAV1_4.3,PC3_Exosome_CAV1_6.3,
8.340084,2.263278,-3201.41,-1063.602213,hsa-miR-195-5p,17.83495236,68.73867832,30.45957414,39.01106827
0,0,0,0,hsa-miR-8485-3p,1.48624603,6.09778598,0,2.52801067
0,0,0,0,hsa-miR-4510-5p,2.97249206,10.53253942,7.614893534,7.039975005
0,0,0,0,hsa-miR-551b-5p,1.48624603,17.73901376,12.85013284,10.69179754
0,0,0,0,hsa-miR-3115-5p,4.458738091,0,0.951861692,1.803533261
0,0,0,0,hsa-miR-4474-3p,0,4.98909762,3.807446767,2.932181462
0,0,0,0,hsa-miR-1255b-2-5p,1.48624603,2.21737672,0.475930846,1.393184532
0,0,0,0,hsa-miR-486-2-3p,0,8.86950688,0.951861692,3.273789524
0,0,0,0,hsa-miR-3116-2-3p,2.97249206,1.66303254,0.475930846,1.703818482
0,0,0,0,hsa-miR-432-5p,8.917476181,0,0,2.97249206
0,0,0,0,hsa-miR-3145-3p,0,4.43475344,1.903723383,2.112825608
0,0,0,0,hsa-miR-5000-3p,1.48624603,0.55434418,0.951861692,0.997483967
0,0,0,0,hsa-miR-4473-5p,0,3.32606508,3.331515921,2.219193667
0,0,0,0,hsa-miR-3659-3p,0,0,0,0
0,0,0,0,hsa-miR-124-3-3p,0,2.7717209,0,0.923906967
0,0,0,0,hsa-miR-4753-5p,0,0.55434418,0,0.184781393
0,0,0,0,hsa-miR-3130-2-5p,0,3.32606508,2.379654229,1.901906436
0,0,0,0,hsa-miR-4457-3p,0,0,0,0
0,0,0,0,hsa-miR-3168-5p,0,0,0,0
0,0,0,0,hsa-miR-548at-3p,0,0.55434418,1.903723383,0.819355854
0,0,0,0,hsa-miR-6126-5p,4.458738091,0,0,1.48624603
0,0,0,0,hsa-miR-3184-5p,0,0.55434418,0.475930846,0.343425009
0,0,0,0,hsa-miR-1286-3p,2.97249206,3.32606508,2.379654229,2.892737123
0,0,0,0,hsa-miR-888-5p,0,0.55434418,0,0.184781393
0,0,0,0,hsa-miR-4273-5p,0,0,0,0
0,0,0,0,hsa-miR-124-1-3p,0,2.7717209,0,0.923906967
0,0,0,0,hsa-miR-223-5p,2.97249206,0,0,0.990830687
0,0,0,0,hsa-miR-548i-2-5p,0,1.66303254,0.951861692,0.871631411
0,0,0,0,hsa-miR-620-5p,0,0,0.475930846,0.158643615
0,0,0,0,hsa-miR-383-5p,0,12.74991614,2.855585075,5.201833738
0,0,0,0,hsa-miR-3131-5p,0,3.32606508,2.855585075,2.060550052
0,0,0,0,hsa-miR-1276-5p,7.431230151,7.76081852,3.331515921,6.174521531
0,0,0,0,hsa-miR-3145-5p,0,2.7717209,0.951861692,1.241194197
0,0,0,0,hsa-miR-598-3p,2.97249206,331.4978197,239.8691463,191.446486
0,0,0,0,hsa-miR-5193-3p,0,0,0,0
0,0,0,0,hsa-miR-1322-3p,0,4.43475344,1.427792538,1.954181993
0,0,0,0,hsa-miR-4672-5p,0,0,0,0
0,0,0,0,hsa-miR-1305-5p,0,1.10868836,1.427792538,0.845493633
0,0,0,0,hsa-miR-548d-1-3p,0,7.76081852,3.807446767,3.856088429
0,0,0,0,hsa-miR-650-3p,0,0,0.475930846,0.158643615
0,0,0,0,hsa-miR-138-1-5p,0,16.07598122,18.56130299,11.5457614
0,0,0,0,hsa-miR-483-5p,1.48624603,2.21737672,1.427792538,1.710471763
0,0,0,0,hsa-miR-5591-3p,0,0,0,0
0,0,0,0,hsa-miR-486-1-3p,0,8.86950688,0.951861692,3.273789524
0,0,0,0,hsa-miR-1255b-1-5p,1.48624603,2.21737672,0.475930846,1.393184532
0,0,0,0,hsa-miR-887-3p,0,3.32606508,5.71117015,3.012411743
0,0,0,0,hsa-miR-548ag-2-5p,0,3.88040926,6.663031842,3.514480367
0,0,0,0,hsa-miR-4467-5p,4.458738091,3.88040926,6.187100996,4.842082782
0,0,0,0,hsa-miR-216b-5p,1.48624603,42.13015768,16.18164876,19.93268416
0,0,0,0,hsa-miR-2278-5p,2.97249206,1.66303254,1.427792538,2.021105713
0,0,0,0,hsa-miR-34a-3p,0,8.3151627,3.331515921,3.882226207
0,0,0,0,hsa-miR-660-3p,0,4.98909762,1.427792538,2.138963386
0,0,0,0,hsa-miR-548i-3-5p,0,1.10868836,0.951861692,0.686850017
0,0,0,0,hsa-miR-3136-5p,0,0.55434418,0.475930846,0.343425009
0,0,0,0,hsa-miR-1258-3p,0,0,3.331515921,1.110505307
0,0,0,0,hsa-miR-144-5p,1.48624603,1.10868836,0.475930846,1.023621745
0,0,0,0,hsa-miR-3130-1-5p,0,3.32606508,2.379654229,1.901906436
0,0,0,0,hsa-miR-1268a-3p,1.48624603,0.55434418,0.475930846,0.838840352
0,0,0,0,hsa-miR-4449-3p,10.40372221,0,0.475930846,3.626551019
0,0,0,0,hsa-miR-127-3p,1.48624603,0.55434418,0,0.680196737
0,0,0,0,hsa-miR-548w-5p,0,0.55434418,0.951861692,0.502068624
0,0,0,0,hsa-miR-548f-5-3p,0,7.76081852,3.331515921,3.697444814
0,0,0,0,hsa-miR-4533-5p,0,2.21737672,1.427792538,1.215056419
0,0,0,0,hsa-miR-346-5p,0,17.18466958,16.18164876,11.12210611
0,0,0,0,hsa-miR-124-2-3p,0,2.7717209,0,0.923906967
0,0,0,0,hsa-miR-592-5p,2.97249206,189.0313654,112.3196796,101.441179
0,0,0,0,hsa-miR-548b-3p,0,11.64122778,7.614893534,6.418707105
0,0,0,0,hsa-miR-3116-1-3p,2.97249206,1.66303254,0.475930846,1.703818482
0,0,0,0,hsa-miR-548ap-3p,0,0,0.475930846,0.158643615
0,0,0,0,hsa-miR-5010-3p,1.48624603,22.72811138,34.2670209,19.49379277
0,0,0,0,hsa-miR-551b-3p,0,11.0868836,8.09082438,6.392569327
0,0,0,0,hsa-miR-548ag-2-3p,0,4.98909762,1.903723383,2.297607001
0,0,0,0,hsa-miR-6720-5p,0,3.88040926,6.187100996,3.355836752
0,0,0,0,hsa-miR-4512-3p,0,0,0,0
0,0,0,0,hsa-miR-4421-3p,1.48624603,14.41294868,7.614893534,7.838029415
0,0,0,0,hsa-miR-26a-1-3p,0,1.10868836,3.807446767,1.638711709
0,0,0,0,hsa-miR-5572-5p,0,0,0,0
0,0,0,0,hsa-miR-1267-3p,0,0,0,0
0,0,0,0,hsa-miR-548i-4-5p,0,1.66303254,0.951861692,0.871631411
0,0,0,0,hsa-miR-452-3p,0,25.49983228,17.13351045,14.21111424
0,0,0,0,hsa-miR-578-3p,0,1.66303254,2.855585075,1.506205872
0,0,0,0,hsa-miR-5697-5p,0,1.10868836,0.475930846,0.528206402
0,0,0,0,hsa-miR-3939-5p,0,1.66303254,0.475930846,0.712987795
0,0,0,0,hsa-miR-449b-5p,0,2.21737672,0,0.739125573
0,0,0,0,hsa-miR-449a-3p,0,7.76081852,8.566755226,5.442524582
0,0,0,0,hsa-miR-5584-5p,0,0.55434418,0.475930846,0.343425009
0,0,0,0,hsa-miR-99a-3p,0,9.97819524,9.042686072,6.340293771
0,0,0,0,hsa-miR-1299-5p,0,0,0,0
0,0,0,0,hsa-miR-4660-5p,0,1.10868836,0.475930846,0.528206402
0,0,0,0,hsa-miR-520a-3p,0,0,0,0
0,0,0,0,hsa-miR-598-5p,0,4.98909762,2.379654229,2.456250616
0,0,0,0,hsa-miR-8057-5p,0,0,0,0
0,0,0,0,hsa-miR-493-5p,10.40372221,0,0,3.467907403
0,0,0,0,hsa-miR-653-5p,0,4.43475344,4.759308459,3.0646873
0,0,0,0,hsa-miR-7152-3p,0,0.55434418,0,0.184781393
0,0,0,0,hsa-miR-548i-1-5p,0,1.66303254,0.951861692,0.871631411
0,0,0,0,hsa-miR-138-2-5p,0,16.6303254,18.08537214,11.57189918
0,0,0,0,hsa-miR-223-3p,0,0,0,0
0,0,0,0,hsa-miR-202-5p,0,0.55434418,0,0.184781393
0,0,0,0,hsa-miR-4523-5p,0,0,0.475930846,0.158643615
0,0,0,0,hsa-miR-6877-5p,13.37621427,2.7717209,3.331515921,6.493150364
0,0,0,0,hsa-miR-6720-3p,0,19.4020463,17.6094413,12.33716253
0,0,0,0,hsa-miR-6821-3p,0,0,0,0
0,0,0,0,hsa-miR-1285-2-5p,1.48624603,0,0,0.495415343
0,0,0,0,hsa-miR-129-2-3p,2.97249206,2.21737672,2.855585075,2.681817952
0,0,0,0,hsa-miR-145-3p,1.48624603,0,0.475930846,0.654058959
0,0,0,0,hsa-miR-1295a-3p,0,16.07598122,9.518616917,8.531532712
0,0,0,0,hsa-miR-3155a-3p,1.48624603,0,0.475930846,0.654058959
0,0,0,0,hsa-miR-433-3p,2.97249206,0,0,0.990830687
0,0,0,0,hsa-miR-144-3p,8.917476181,1.10868836,0,3.342054847
1.191441,0,0,0.397147,hsa-miR-3180-5-5p,4.458738091,0.55434418,2.379654229,2.4642455
1.191441,0,0,0.397147,hsa-miR-548an-5p,0,6.09778598,4.759308459,3.61903148
1.191441,0,0,0.397147,hsa-miR-1243-5p,0,4.98909762,1.903723383,2.297607001
1.191441,0,0,0.397147,hsa-miR-512-2-3p,2.97249206,0,0.475930846,1.149474302
1.191441,0,0,0.397147,hsa-miR-4472-2-5p,0,0.55434418,0,0.184781393
1.191441,0,0,0.397147,hsa-miR-548ab-5p,1.48624603,11.0868836,5.235239305,5.936122978
1.191441,0,0,0.397147,hsa-miR-296-5p,0,75.39080848,26.17619652,33.85566833
1.191441,0,0,0.397147,hsa-miR-19b-1-5p,0,2.7717209,1.903723383,1.558481428
1.191441,0,0,0.397147,hsa-miR-892c-3p,0,0.55434418,0.951861692,0.502068624
1.191441,0,0,0.397147,hsa-miR-548ac-5p,0,0.55434418,0.475930846,0.343425009
1.191441,0,0,0.397147,hsa-miR-3180-3-3p,4.458738091,0.55434418,2.379654229,2.4642455
1.191441,0,0,0.397147,hsa-let-7c-3p,0,11.0868836,10.94640946,7.34443102
1.191441,0,0,0.397147,hsa-miR-676-3p,1.48624603,22.72811138,35.69481344,19.96972362
1.191441,0,0,0.397147,hsa-miR-3180-1-3p,4.458738091,0.55434418,2.379654229,2.4642455
1.191441,0,0,0.397147,hsa-miR-4424-3p,0,1.10868836,0.951861692,0.686850017
1.191441,0,0,0.397147,hsa-miR-548h-1-5p,0,21.61942302,21.41688806,14.34543703
1.191441,0,0,0.397147,hsa-miR-1305-3p,0,9.42385106,4.759308459,4.72771984
1.191441,0,0,0.397147,hsa-miR-548h-4-5p,0,21.61942302,21.41688806,14.34543703
1.191441,0,0,0.397147,hsa-miR-548t-5p,0,0.55434418,0.951861692,0.502068624
1.191441,0,0,0.397147,hsa-miR-3118-2-3p,0,13.8586045,24.74840399,12.86900283
1.191441,0,0,0.397147,hsa-miR-550a-3-3p,1.48624603,7.76081852,4.283377613,4.510147388
1.191441,0,0,0.397147,hsa-miR-3917-3p,0,1.10868836,1.427792538,0.845493633
1.191441,0,0,0.397147,hsa-miR-548h-5-5p,0,21.61942302,21.41688806,14.34543703
1.191441,0,0,0.397147,hsa-miR-618-5p,0,123.064408,67.10624927,63.39021909
1.191441,0,0,0.397147,hsa-miR-548h-3-5p,0,21.61942302,21.41688806,14.34543703
1.191441,0,0,0.397147,hsa-miR-3118-4-3p,0,13.8586045,24.74840399,12.86900283
1.191441,0,0,0.397147,hsa-miR-3118-1-3p,0,13.8586045,24.74840399,12.86900283
1.191441,0,0,0.397147,hsa-miR-644a-3p,0,0,0,0
1.191441,0,0,0.397147,hsa-miR-550a-1-3p,1.48624603,7.76081852,4.283377613,4.510147388
1.191441,0,0,0.397147,hsa-miR-548n-5p,1.48624603,8.86950688,8.09082438,6.148859097
1.191441,0,0,0.397147,hsa-miR-512-1-3p,2.97249206,0,0.475930846,1.149474302
