"","GO.ID","Term","KS"
"1","GO:0044283","small molecule biosynthetic process","0.021"
"2","GO:0035295","tube development","0.023"
"3","GO:0001568","blood vessel development","0.036"
"4","GO:0001944","vasculature development","0.036"
"5","GO:0044767","single-organism developmental process","0.036"
"6","GO:0007275","multicellular organismal development","0.038"
"7","GO:0032501","multicellular organismal process","0.041"
"8","GO:0044707","single-multicellular organism process","0.041"
"9","GO:0006766","vitamin metabolic process","0.048"
"10","GO:0006767","water-soluble vitamin metabolic process","0.048"
"11","GO:0007267","cell-cell signaling","0.054"
"12","GO:0032502","developmental process","0.060"
"13","GO:0035239","tube morphogenesis","0.060"
"14","GO:0060562","epithelial tube morphogenesis","0.060"
"15","GO:0010628","positive regulation of gene expression","0.063"
"16","GO:0045893","positive regulation of transcription, DN...","0.063"
"17","GO:0051254","positive regulation of RNA metabolic pro...","0.063"
"18","GO:1902680","positive regulation of RNA biosynthetic ...","0.063"
"19","GO:1903508","positive regulation of nucleic acid-temp...","0.063"
"20","GO:0048646","anatomical structure formation involved ...","0.063"
"21","GO:0072358","cardiovascular system development","0.063"
"22","GO:0072359","circulatory system development","0.063"
"23","GO:0061448","connective tissue development","0.074"
"24","GO:0001838","embryonic epithelial tube formation","0.078"
"25","GO:0032943","mononuclear cell proliferation","0.078"
