"","GO.ID","Term","KS"
"1","GO:0000975","regulatory region DNA binding","0.26"
"2","GO:0000976","transcription regulatory region sequence...","0.26"
"3","GO:0000977","RNA polymerase II regulatory region sequ...","0.26"
"4","GO:0000978","RNA polymerase II core promoter proximal...","0.26"
"5","GO:0000981","RNA polymerase II transcription factor a...","0.26"
"6","GO:0000982","transcription factor activity, RNA polym...","0.26"
"7","GO:0000987","core promoter proximal region sequence-s...","0.26"
"8","GO:0001012","RNA polymerase II regulatory region DNA ...","0.26"
"9","GO:0001067","regulatory region nucleic acid binding","0.26"
"10","GO:0001071","nucleic acid binding transcription facto...","0.26"
"11","GO:0001159","core promoter proximal region DNA bindin...","0.26"
"12","GO:0003676","nucleic acid binding","0.26"
"13","GO:0003677","DNA binding","0.26"
"14","GO:0003682","chromatin binding","0.26"
"15","GO:0003700","transcription factor activity, sequence-...","0.26"
"16","GO:0043565","sequence-specific DNA binding","0.26"
"17","GO:0044212","transcription regulatory region DNA bind...","0.26"
"18","GO:0044877","macromolecular complex binding","0.26"
"19","GO:0097159","organic cyclic compound binding","0.26"
"20","GO:1901363","heterocyclic compound binding","0.26"
"21","GO:0000166","nucleotide binding","0.72"
"22","GO:0000287","magnesium ion binding","0.72"
"23","GO:0001882","nucleoside binding","0.72"
"24","GO:0001883","purine nucleoside binding","0.72"
"25","GO:0003824","catalytic activity","0.72"
