"","All.proteins.identfied.from.the.DRM.fraction","X","X.1","X.2","X.3","X.4","V1"
"YWHAZ","P63104","14-3-3 protein zeta/delta OS=Homo sapiens GN=YWHAZ PE=1 SV=1","0.48876","0.222790312","25","0.02755","YWHAZ"
"HSPD1","P10809","60 kDa heat shock protein, mitochondrial OS=Homo sapiens GN=HSPD1 PE=1 SV=2","0.55883908","0.185933651","87","0.04239","HSPD1"
"RPLP1","P05386","60S acidic ribosomal protein P1 OS=Homo sapiens GN=RPLP1 PE=1 SV=1","0.567","0.204264534","5","0.33716","RPLP1"
"RPL4","P36578","60S ribosomal protein L4 OS=Homo sapiens GN=RPL4 PE=1 SV=5","0.432666667","0.19617934","3","0.1418","RPL4"
"HSPA5","P11021","78 kDa glucose-regulated protein OS=Homo sapiens GN=HSPA5 PE=1 SV=2","0.533466667","0.21910691","15","0.1178","HSPA5"
"ACTB","P60709","Actin, cytoplasmic 1 OS=Homo sapiens GN=ACTB PE=1 SV=1","0.481275","0.169553292","120","0.04465","ACTB"
"SLC25A5","P05141","ADP/ATP translocase 2 OS=Homo sapiens GN=SLC25A5 PE=1 SV=6","0.588697674","0.255928239","43","0.17302","SLC25A5"
"ANXA5","P08758","Annexin A5 OS=Homo sapiens GN=ANXA5 PE=1 SV=2","0.696966667","0.141176553","90","0.76784","ANXA5"
"ATP5A1","P25705","ATP synthase subunit alpha, mitochondrial OS=Homo sapiens GN=ATP5A1 PE=1 SV=1","0.18725","0.185602622","16","0.00803","ATP5A1"
"ATP5B","P06576","ATP synthase subunit beta, mitochondrial OS=Homo sapiens GN=ATP5B PE=1 SV=3","0.232755556","0.221082271","45","0.01808","ATP5B"
"CTNNB1","P35222","Catenin beta-1 OS=Homo sapiens GN=CTNNB1 PE=1 SV=1","0.3664375","0.206518109","16","0.0129","CTNNB1"
"CFL1","P23528","Cofilin-1 OS=Homo sapiens GN=CFL1 PE=1 SV=3","0.442333333","0.159857228","3","0.1545","CFL1"
"CKAP4","Q07065","Cytoskeleton-associated protein 4 OS=Homo sapiens GN=CKAP4 PE=1 SV=2","0.816382353","1.685908244","34","0.94678","CKAP4"
"PHGDH","O43175","D-3-phosphoglycerate dehydrogenase OS=Homo sapiens GN=PHGDH PE=1 SV=4","0.4838","0.037778301","5","0.15275","PHGDH"
"RPN2","P04844","Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2 OS=Homo sapiens GN=RPN2 PE=1 SV=3","0.5085","0.19858181","18","0.05684","RPN2"
"EEF1A1","P68104","Elongation factor 1-alpha 1 OS=Homo sapiens GN=EEF1A1 PE=1 SV=1","0.632458333","0.324147709","24","0.45577","EEF1A1"
"EEF1G","P26641","Elongation factor 1-gamma OS=Homo sapiens GN=EEF1G PE=1 SV=3","0.579","0.32745534","3","0.40945","EEF1G"
"EEF2","P13639","Elongation factor 2 OS=Homo sapiens GN=EEF2 PE=1 SV=4","0.458","0.014","3","0.17783","EEF2"
"HSP90B1","P14625","Endoplasmin OS=Homo sapiens GN=HSP90B1 PE=1 SV=1","0.5775","0.014849242","2","0.43628","HSP90B1"
"CSE1L","P55060","Exportin-2 OS=Homo sapiens GN=CSE1L PE=1 SV=3","0.739347826","0.114881603","23","0.84993","CSE1L"
"GAPDH","P04406","Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens GN=GAPDH PE=1 SV=3","0.9","0.031968735","4","0.95475","GAPDH"
"GNAS","Q5JWF2","Guanine nucleotide-binding protein G(s) subunit alpha isoforms XLas OS=Homo sapiens GN=GNAS PE=1 SV=2","0.540621212","0.188243032","66","0.03661","GNAS"
"HSPA8","P11142","Heat shock cognate 71 kDa protein OS=Homo sapiens GN=HSPA8 PE=1 SV=1","0.945384615","1.516904435","52","0.99141","HSPA8"
"HNRNPK","P61978","Heterogeneous nuclear ribonucleoprotein K OS=Homo sapiens GN=HNRNPK PE=1 SV=1","0.387","0.165744784","4","0.05879","HNRNPK"
"SYNCRIP","O60506","Heterogeneous nuclear ribonucleoprotein Q OS=Homo sapiens GN=SYNCRIP PE=1 SV=2","0.55175","0.297479831","4","0.32342","SYNCRIP"
"KPNB1","Q14974","Importin subunit beta-1 OS=Homo sapiens GN=KPNB1 PE=1 SV=2","0.776875","0.133364632","8","0.86614","KPNB1"
"LMNA","P02545","Lamin-A/C OS=Homo sapiens GN=LMNA PE=1 SV=1","0.353","0","2","0.10989","LMNA"
"TIMM50","Q3ZCQ8","Mitochondrial import inner membrane translocase subunit TIM50 OS=Homo sapiens GN=TIMM50 PE=1 SV=2","0.253","0.042532341","3","0.01617","TIMM50"
"MYH10","P35580","Myosin-10 OS=Homo sapiens GN=MYH10 PE=1 SV=3","0.457","0.28567114","2","0.22824","MYH10"
"SLC1A5","Q15758","Neutral amino acid transporter B(0) OS=Homo sapiens GN=SLC1A5 PE=1 SV=2","0.355","0.140007143","2","0.11271","SLC1A5"
"NPM1","P06748","Nucleophosmin OS=Homo sapiens GN=NPM1 PE=1 SV=2","0.910875","0.174797352","24","0.9799","NPM1"
"SLC25A3","Q00325","Phosphate carrier protein, mitochondrial OS=Homo sapiens GN=SLC25A3 PE=1 SV=2","0.427131579","0.307451","38","0.0197","SLC25A3"
"PFN1","P07737","Profilin-1 OS=Homo sapiens GN=PFN1 PE=1 SV=2","0.349333333","0.016441817","3","0.05872","PFN1"
"PHB","P35232","Prohibitin OS=Homo sapiens GN=PHB PE=1 SV=1","0.540693878","0.347140474","49","0.04215","PHB"
"PDIA3","P30101","Protein disulfide-isomerase A3 OS=Homo sapiens GN=PDIA3 PE=1 SV=4","0.25","0.206324986","6","0.00591","PDIA3"
"CCT4","P50991","T-complex protein 1 subunit delta OS=Homo sapiens GN=CCT4 PE=1 SV=4","0.554","0.299053507","3","0.35498","CCT4"
