#node1	node2	node1_string_id	node2_string_id	node1_external_id	node2_external_id	neighborhood	fusion	cooccurence	homology	coexpression	experimental	knowledge	textmining	combined_score
SRSF2	HNRNPA2B1	1853940	1853084	ENSP00000353089	ENSP00000346694	0.000	0.000	0.000	0.000	0.096	0.684	0.900	0.542	0.985
HNRNPU	FUS	1846836	1844273	ENSP00000283179	ENSP00000254108	0.000	0.000	0.000	0.000	0.000	0.576	0.900	0.240	0.964
PTBP1	HNRNPL	1853438	1842831	ENSP00000349428	ENSP00000221419	0.000	0.000	0.000	0.699	0.000	0.984	0.900	0.928	0.998
PCBP2	HNRNPU	1853847	1846836	ENSP00000352438	ENSP00000283179	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.430	0.940
HNRNPU	SF3A2	1846836	1842843	ENSP00000283179	ENSP00000221494	0.000	0.000	0.000	0.000	0.000	0.895	0.900	0.053	0.989
SRRM1	HNRNPU	1850815	1846836	ENSP00000326261	ENSP00000283179	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.126	0.908
HNRNPH1	SF3A2	1853404	1842843	ENSP00000349168	ENSP00000221494	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.071	0.903
SRSF4	HNRNPH1	1855988	1853404	ENSP00000362900	ENSP00000349168	0.000	0.000	0.000	0.000	0.142	0.110	0.900	0.383	0.946
HNRNPF	HNRNPD	1852109	1849608	ENSP00000338477	ENSP00000313199	0.000	0.000	0.000	0.000	0.076	0.896	0.900	0.486	0.994
POLR2A	HNRNPU	1849743	1846836	ENSP00000314949	ENSP00000283179	0.000	0.000	0.000	0.000	0.000	0.913	0.900	0.000	0.990
PTBP1	HNRNPA2B1	1853438	1853084	ENSP00000349428	ENSP00000346694	0.000	0.000	0.000	0.000	0.000	0.947	0.900	0.629	0.997
SRSF4	HNRNPF	1855988	1852109	ENSP00000362900	ENSP00000338477	0.000	0.000	0.000	0.000	0.142	0.110	0.900	0.306	0.939
HNRNPA1	SF3A2	1852510	1842843	ENSP00000341826	ENSP00000221494	0.000	0.000	0.000	0.000	0.000	0.930	0.900	0.331	0.994
HNRNPA3	PCBP2	1858016	1853847	ENSP00000376309	ENSP00000352438	0.000	0.000	0.000	0.000	0.000	0.221	0.900	0.423	0.951
