,X,X.1,X.2,X.3,X.4
P23396,40S ribosomal protein S3 OS=Homo sapiens GN=RPS3 PE=1 SV=2,14.7045,19.64837613,2,0.0013
P62906,60S ribosomal protein L10a OS=Homo sapiens GN=RPL10A PE=1 SV=2,0.705583333,0.342545673,12,0.44914
O00468,Agrin OS=Homo sapiens GN=AGRN PE=1 SV=4,0.634038462,0.207123824,26,0.07709
P04080,Cystatin-B OS=Homo sapiens GN=CSTB PE=1 SV=2,0.53462963,0.168509107,27,0.0169
P08238,Heat shock protein HSP 90-beta OS=Homo sapiens GN=HSP90AB1 PE=1 SV=4,0.85537037,0.097572865,54,0.91367
P54652,Heat shock-related 70 kDa protein 2 OS=Homo sapiens GN=HSPA2 PE=1 SV=1,2.181710526,3.233631946,38,0.01336
Q99729,Heterogeneous nuclear ribonucleoprotein A/B OS=Homo sapiens GN=HNRNPAB PE=1 SV=2,1.298,0.456474169,4,0.68987
P61978,Heterogeneous nuclear ribonucleoprotein K OS=Homo sapiens GN=HNRNPK PE=1 SV=1,0.5651,0.137066448,10,0.04884
O43390,Heterogeneous nuclear ribonucleoprotein R OS=Homo sapiens GN=HNRNPR PE=1 SV=1,0.770142857,0.131809747,7,0.70547
P46940,Ras GTPase-activating-like protein IQGAP1 OS=Homo sapiens GN=IQGAP1 PE=1 SV=1,0.5656,0.114150193,10,0.04898
