Accession Number,Protein Name,Mean Ratio (cavin1/GFP),Standard Deviations,Number of Observations,p-value
P04004,Vitronectin OS=Homo sapiens GN=VTN PE=1 SV=1,0.006,0.004301163,5,0.00051
Q9Y4B4,Helicase ARIP4 OS=Homo sapiens GN=RAD54L2 PE=1 SV=3,222.7848,211.5208951,5,0.00052
Q99988,Growth/differentiation factor 15 OS=Homo sapiens GN=GDF15 PE=1 SV=2,0.050333333,0.057812917,3,0.00172
Q02218,"2-oxoglutarate dehydrogenase, mitochondrial OS=Homo sapiens GN=OGDH PE=1 SV=3",0.0595,0.012020815,2,0.00189
P41219,Peripherin OS=Homo sapiens GN=PRPH PE=1 SV=2,17.995,19.42565891,3,0.00196
Q92665,"28S ribosomal protein S31, mitochondrial OS=Homo sapiens GN=MRPS31 PE=1 SV=3",0.068,0.016462078,3,0.00224
P05187,"Alkaline phosphatase, placental type OS=Homo sapiens GN=ALPP PE=1 SV=2",0.092333333,0.013613719,3,0.00238
P12830,Cadherin-1 OS=Homo sapiens GN=CDH1 PE=1 SV=3,0.0695,0.029011492,4,0.00246
P15880,40S ribosomal protein S2 OS=Homo sapiens GN=RPS2 PE=1 SV=2,0.101333333,0.129831943,3,0.00284
P30041,Peroxiredoxin-6 OS=Homo sapiens GN=PRDX6 PE=1 SV=3,0.097,0.073539105,2,0.00324
P08195,4F2 cell-surface antigen heavy chain OS=Homo sapiens GN=SLC3A2 PE=1 SV=3,0.1836,0.097881561,5,0.0041
Q8IVT2,Uncharacterized protein C19orf21 OS=Homo sapiens GN=C19orf21 PE=1 SV=1,0.1205,0.132228968,2,0.00458
O75947,"ATP synthase subunit d, mitochondrial OS=Homo sapiens GN=ATP5H PE=1 SV=3",0.182666667,0.133542003,6,0.00496
P03891,NADH-ubiquinone oxidoreductase chain 2 OS=Homo sapiens GN=MT-ND2 PE=1 SV=2,0.1305,0.078488853,2,0.00496
P13796,Plastin-2 OS=Homo sapiens GN=LCP1 PE=1 SV=5,0.128,0.001414214,2,0.00503
Q8NBU5,ATPase family AAA domain-containing protein 1 OS=Homo sapiens GN=ATAD1 PE=1 SV=1,0.148833333,0.18807596,6,0.00506
Q14533,"Keratin, type II cuticular Hb1 OS=Homo sapiens GN=KRT81 PE=1 SV=2",4.88175,8.516959605,4,0.00512
P21980,Protein-glutamine gamma-glutamyltransferase 2 OS=Homo sapiens GN=TGM2 PE=1 SV=2,0.168285714,0.083689335,7,0.00535
Q9Y6C9,Mitochondrial carrier homolog 2 OS=Homo sapiens GN=MTCH2 PE=1 SV=1,0.21825,0.038947614,4,0.00541
Q8N4H5,Mitochondrial import receptor subunit TOM5 homolog OS=Homo sapiens GN=TOMM5 PE=1 SV=1,0.241,0.157799451,7,0.00584
Q13751,Laminin subunit beta-3 OS=Homo sapiens GN=LAMB3 PE=1 SV=1,0.21025,0.099171148,4,0.00586
P30101,Protein disulfide-isomerase A3 OS=Homo sapiens GN=PDIA3 PE=1 SV=4,0.25,0.206324986,6,0.00591
Q9P0U1,Mitochondrial import receptor subunit TOM7 homolog OS=Homo sapiens GN=TOMM7 PE=1 SV=1,0.171428571,0.0723138,7,0.00596
Q9NZJ7,Mitochondrial carrier homolog 1 OS=Homo sapiens GN=MTCH1 PE=1 SV=1,0.189125,0.06863035,8,0.00656
Q9BTT6,Leucine-rich repeat-containing protein 1 OS=Homo sapiens GN=LRRC1 PE=1 SV=1,0.242,0.12047683,4,0.0072
Q9UJS0,Calcium-binding mitochondrial carrier protein Aralar2 OS=Homo sapiens GN=SLC25A13 PE=1 SV=2,0.294428571,0.206236803,7,0.00721
P35749,Myosin-11 OS=Homo sapiens GN=MYH11 PE=1 SV=3,0.1505,0.086974134,2,0.00722
O14734,Acyl-coenzyme A thioesterase 8 OS=Homo sapiens GN=ACOT8 PE=1 SV=1,0.213,0.079567581,3,0.00792
P25705,"ATP synthase subunit alpha, mitochondrial OS=Homo sapiens GN=ATP5A1 PE=1 SV=1",0.18725,0.185602622,16,0.00803
P12236,ADP/ATP translocase 3 OS=Homo sapiens GN=SLC25A6 PE=1 SV=4,3.89125,5.211197647,4,0.00864
Q86VU5,Catechol O-methyltransferase domain-containing protein 1 OS=Homo sapiens GN=COMTD1 PE=1 SV=1,0.3045,0.249968598,6,0.00967
P29317,Ephrin type-A receptor 2 OS=Homo sapiens GN=EPHA2 PE=1 SV=2,0.271642857,0.132457603,14,0.00987
O15427,Monocarboxylate transporter 4 OS=Homo sapiens GN=SLC16A3 PE=1 SV=1,0.338,0.306888533,8,0.00995
P08670,Vimentin OS=Homo sapiens GN=VIM PE=1 SV=4,7.734777778,15.29819846,36,0.01058
O60716,Catenin delta-1 OS=Homo sapiens GN=CTNND1 PE=1 SV=1,0.306307692,0.167280396,13,0.01085
O75923,Dysferlin OS=Homo sapiens GN=DYSF PE=1 SV=1,0.335769231,0.150228245,13,0.01101
O75369,Filamin-B OS=Homo sapiens GN=FLNB PE=1 SV=1,0.351,0.17591825,14,0.01103
Q969L2,Protein MAL2 OS=Homo sapiens GN=MAL2 PE=1 SV=1,0.336571429,0.169704505,7,0.01106
O15020,"Spectrin beta chain, brain 2 OS=Homo sapiens GN=SPTBN2 PE=1 SV=2",0.1755,0.007778175,2,0.01159
