,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
hsa-miR-363-3p,37.69461124,-2.823907879,0.422837486,-6.678470976,2.41E-11,8.84E-09
hsa-miR-574-5p,95.85470422,1.728871594,0.389049477,4.443834766,8.84E-06,0.001617162
hsa-miR-7641-2-3p,386.5434072,-1.189334493,0.385400839,-3.08596758,0.002028909,0.24752695
hsa-miR-146a-5p,46.6409493,-1.273031696,0.428871372,-2.968329849,0.002994228,0.273971886
hsa-miR-203a-3p,1350.124928,-1.113898523,0.395588026,-2.815804449,0.004865527,0.356156593
hsa-miR-20a-5p,5226.169787,-1.01907435,0.386419291,-2.637224316,0.008358754,0.381487748
hsa-miR-7641-1-3p,174.07221,-1.216952148,0.448275706,-2.714740352,0.006632775,0.381487748
hsa-miR-629-5p,66.37271845,0.987007127,0.370788353,2.661915133,0.007769747,0.381487748
hsa-miR-20b-5p,20.47850771,-1.133794837,0.436435221,-2.597853663,0.009380846,0.381487748
hsa-miR-582-3p,35.18053957,0.970647216,0.398293207,2.437016746,0.014808994,0.387149402
hsa-miR-10b-3p,8.739118449,-1.103835568,0.451916896,-2.442563175,0.014583377,0.387149402
hsa-miR-424-5p,254.9352785,-1.088650787,0.444591501,-2.448654066,0.014339109,0.387149402
hsa-miR-210-3p,451.7779724,0.981452057,0.396555066,2.474945202,0.013325662,0.387149402
hsa-miR-18a-5p,61.17934681,-0.963423605,0.380278746,-2.533466871,0.011294042,0.387149402
hsa-miR-92a-2-3p,8258.30788,-0.764634466,0.324811309,-2.354088187,0.018568205,0.424747697
hsa-miR-92a-1-3p,8351.140679,-0.765050209,0.32475042,-2.355809761,0.01848238,0.424747697
hsa-miR-106a-5p,135.1654427,-0.920825213,0.396149334,-2.324439635,0.020101943,0.432783016
hsa-miR-149-5p,69.31158787,0.817061823,0.361124719,2.262547479,0.023663599,0.444154194
hsa-miR-221-5p,508.025381,0.857400296,0.380392564,2.253988059,0.024196919,0.444154194
hsa-miR-125b-1-3p,201.7893034,0.821479436,0.370719082,2.215908152,0.026697793,0.444154194
hsa-miR-17-5p,1564.340581,-0.897772338,0.402292685,-2.231639728,0.025638784,0.444154194
hsa-miR-125b-2-3p,43.43886256,-0.966433101,0.431167443,-2.241433383,0.024998016,0.444154194
hsa-miR-19b-2-3p,819.3558192,-0.825829027,0.385541146,-2.141999719,0.032193505,0.455139418
hsa-miR-19b-1-3p,818.9966992,-0.825130348,0.38552485,-2.140277981,0.032332308,0.455139418
hsa-miR-221-3p,6033.695429,0.839358553,0.389808897,2.153256532,0.031298523,0.455139418
hsa-miR-181c-5p,52.82102987,-0.805308689,0.37415957,-2.152313487,0.031372672,0.455139418
hsa-miR-574-3p,50.87717183,0.899325417,0.423602231,2.123042212,0.033750315,0.457504267
hsa-miR-19a-3p,402.361697,-0.872416604,0.418360319,-2.085323498,0.037039946,0.484165007
hsa-miR-375-3p,1363.830256,0.816177814,0.422963825,1.929663404,0.053648557,0.569622051
hsa-miR-1246-5p,123.4832653,0.818054997,0.421999062,1.93852326,0.052559416,0.569622051
hsa-miR-148a-5p,231.299504,-0.733575228,0.383519799,-1.912744089,0.055780822,0.569622051
hsa-miR-139-5p,31.60921088,-0.74092281,0.383582159,-1.9315883,0.053410341,0.569622051
hsa-miR-5701-1-5p,108.4558001,-0.885037759,0.4492372,-1.970090097,0.048828046,0.569622051
hsa-miR-5701-2-5p,108.4558001,-0.885037759,0.4492372,-1.970090097,0.048828046,0.569622051
hsa-miR-3195-5p,39.92430889,-0.79938305,0.418346714,-1.910814696,0.056028398,0.569622051
hsa-miR-5701-3-5p,108.4558001,-0.885037759,0.4492372,-1.970090097,0.048828046,0.569622051
hsa-miR-151b-3p,98.3950903,-0.780093498,0.417006396,-1.870699122,0.061386797,0.582016494
hsa-miR-378g-5p,13.8420111,0.816573855,0.43532279,1.875789352,0.060684211,0.582016494
hsa-miR-96-5p,867.9020146,0.629444026,0.337292632,1.866165953,0.062018151,0.582016494
hsa-miR-18a-3p,15.10093677,-0.782801179,0.429623703,-1.822062364,0.068445523,0.610827637
hsa-miR-222-3p,5471.135346,0.720143564,0.39495907,1.823337197,0.068252336,0.610827637
hsa-miR-10b-5p,4279.175385,-0.747624473,0.41275655,-1.811296451,0.070094975,0.610827637
hsa-miR-205-5p,15257.95466,-0.646478124,0.361132171,-1.790142711,0.073430972,0.624084786
hsa-miR-1307-5p,81.5975245,-0.685016303,0.384775386,-1.780301778,0.075026586,0.624084786
hsa-miR-424-3p,543.5460635,-0.699732265,0.397065286,-1.762259983,0.078025382,0.634606438
hsa-miR-1275-5p,56.13415256,-0.747928211,0.428253241,-1.746462466,0.080730624,0.642334963
hsa-miR-4532-5p,40.77195867,-0.783909555,0.452103979,-1.733914299,0.08293329,0.645820942
hsa-miR-651-5p,73.37942309,0.738235644,0.436260825,1.692188713,0.090609998,0.681270893
hsa-miR-6510-3p,20.44781395,0.721738511,0.427302493,1.689057569,0.091208398,0.681270893
hsa-miR-151a-5p,783.2643788,-0.691158957,0.420389213,-1.644092986,0.100156997,0.699533128
hsa-miR-31-5p,1248.966116,-0.699005259,0.421354004,-1.658950079,0.097125852,0.699533128
hsa-miR-934-5p,39.0034821,0.750687773,0.458130108,1.638590783,0.101298513,0.699533128
hsa-miR-874-3p,29.14641388,0.670559437,0.406922442,1.647880205,0.099377256,0.699533128
hsa-miR-148a-3p,23744.36891,-0.59570436,0.366940088,-1.623437665,0.104495879,0.708249844
hsa-miR-21-5p,621803.3143,0.537450949,0.340807115,1.576994507,0.114796789,0.76392045
hsa-miR-152-3p,120.1060888,-0.616178095,0.396401884,-1.554427763,0.120082415,0.784824356
hsa-let-7i-3p,25.75214163,-0.632078736,0.411681023,-1.535360388,0.124695328,0.786870519
hsa-miR-17-3p,37.98051877,-0.593030956,0.384743706,-1.54136623,0.123227678,0.786870519
hsa-miR-7704-5p,11.22418919,-0.662076698,0.448055665,-1.477666169,0.139497154,0.865355226
hsa-miR-4454-5p,121.5466248,0.55433946,0.379395488,1.46111242,0.143984592,0.878306013
hsa-miR-130a-3p,71.4921328,-0.531932474,0.37674151,-1.411929558,0.157970703,0.892676756
hsa-miR-130b-3p,19.48158005,-0.590363493,0.426957525,-1.382721836,0.166750174,0.892676756
hsa-miR-503-5p,289.7944413,-0.535885038,0.377699356,-1.418813746,0.155953324,0.892676756
hsa-miR-941-1-3p,49.19969952,0.52569147,0.381567845,1.377714284,0.16829152,0.892676756
hsa-miR-941-4-3p,49.19969952,0.52569147,0.381567845,1.377714284,0.16829152,0.892676756
hsa-miR-941-3-3p,49.19969952,0.52569147,0.381567845,1.377714284,0.16829152,0.892676756
hsa-miR-4791-5p,180.1279182,-0.542859886,0.389861648,-1.392442394,0.163788474,0.892676756
hsa-miR-941-2-3p,49.19969952,0.52569147,0.381567845,1.377714284,0.16829152,0.892676756
hsa-miR-941-5-3p,49.19969952,0.52569147,0.381567845,1.377714284,0.16829152,0.892676756
hsa-miR-15a-5p,30.20995663,-0.574680447,0.425834278,-1.349540129,0.17716354,0.916690695
hsa-miR-1292-5p,9.015119821,-0.607537002,0.450871408,-1.347472898,0.177827976,0.916690695
hsa-miR-183-5p,2841.811077,0.489398877,0.371268687,1.318179783,0.187443472,0.952837648
hsa-miR-450a-2-5p,453.0831249,-0.565075855,0.438188513,-1.289572498,0.19719913,0.968774674
hsa-miR-548o-3p,40.42478283,0.523124067,0.412467764,1.268278669,0.204698452,0.968774674
hsa-miR-548o-2-3p,40.42478283,0.523124067,0.412467764,1.268278669,0.204698452,0.968774674
hsa-miR-1303-5p,17.32672369,-0.591503708,0.463595258,-1.275905432,0.201988951,0.968774674
hsa-miR-450b-5p,212.2764804,-0.503363987,0.398433042,-1.263359042,0.206460176,0.968774674
hsa-miR-450a-1-5p,453.0831249,-0.565075855,0.438188513,-1.289572498,0.19719913,0.968774674
hsa-miR-140-3p,114.0446158,-0.438177175,0.353712718,-1.23879395,0.215421815,0.979104978
hsa-miR-143-3p,10.38672096,0.554635685,0.448699777,1.2360953,0.216423142,0.979104978
hsa-miR-378a-3p,3740.439556,0.394013691,0.31893994,1.23538523,0.216687167,0.979104978
hsa-miR-320a-5p,19.72457896,-0.523162363,0.428364774,-1.221301083,0.221972043,0.990753267
hsa-miR-590-3p,32.89114935,-0.084036785,0.419326967,-0.200408731,0.841160932,0.998389561
hsa-let-7f-2-5p,27298.74564,-0.434048146,0.404382241,-1.073361046,0.283109155,0.998389561
hsa-miR-30c-2-3p,39.45437052,-0.304790881,0.439946437,-0.692790883,0.488440795,0.998389561
hsa-miR-1254-1-5p,7.834162077,0.185466162,0.460437941,0.402803821,0.68709255,0.998389561
hsa-miR-4485-3p,11.07500042,-0.074570629,0.462660653,-0.161177806,0.871953361,0.998389561
hsa-let-7a-2-3p,27.3413979,0.342610478,0.403803037,0.848459389,0.39618218,0.998389561
hsa-miR-422a-5p,15.19774275,0.404517096,0.41517236,0.974335323,0.329890071,0.998389561
hsa-miR-320b-1-3p,285.8469632,-0.114137801,0.36122858,-0.315971125,0.752024425,0.998389561
hsa-miR-3929-3p,10.85821576,-0.436500583,0.440229022,-0.991530684,0.321426517,0.998389561
hsa-miR-30d-5p,12804.28897,0.11914104,0.322548158,0.369374425,0.711848658,0.998389561
hsa-miR-320d-2-3p,19.82045656,-0.263889469,0.407775212,-0.647144459,0.517538454,0.998389561
hsa-miR-320b-2-3p,354.8856035,-0.064761656,0.371697063,-0.17423236,0.861682855,0.998389561
hsa-miR-342-3p,41.4070194,-0.159624493,0.404347247,-0.394770817,0.693012034,0.998389561
hsa-miR-24-2-5p,181.9667305,0.429904862,0.394307544,1.090278057,0.275590678,0.998389561
hsa-miR-29c-5p,11.33401147,-0.058985751,0.441151341,-0.133708652,0.893632963,0.998389561
hsa-miR-619-5p,17.70080926,-0.30754449,0.417594314,-0.736467139,0.461446459,0.998389561
hsa-let-7d-3p,173.8599537,-0.059441808,0.357460741,-0.166289053,0.86792948,0.998389561
hsa-miR-1248-5p,18.84608353,-0.341779816,0.438970094,-0.778594762,0.436218466,0.998389561
hsa-miR-1296-5p,65.95070381,-0.122821848,0.359585144,-0.341565412,0.73267797,0.998389561
hsa-miR-93-5p,1230.280758,-0.105203818,0.371155524,-0.283449419,0.77683235,0.998389561
hsa-miR-502-3p,51.30202633,-0.398999324,0.394098374,-1.012435854,0.311329702,0.998389561
hsa-miR-584-5p,689.9947255,-0.013872186,0.342164178,-0.040542485,0.967660637,0.998389561
hsa-miR-423-5p,463.1685284,-0.277193255,0.348087104,-0.796333021,0.425838497,0.998389561
hsa-miR-500a-3p,84.468902,-0.269757091,0.372441862,-0.724293153,0.46888578,0.998389561
hsa-miR-200c-3p,60.41055648,-0.169606817,0.390636934,-0.434180188,0.664157599,0.998389561
hsa-let-7i-5p,8987.584666,-0.161469846,0.413182142,-0.390795801,0.695948179,0.998389561
hsa-miR-135b-5p,269.7887132,-0.041027678,0.340435755,-0.120515183,0.904075053,0.998389561
hsa-miR-330-3p,131.13802,-0.097982317,0.357751399,-0.273883813,0.784173911,0.998389561
hsa-miR-23a-3p,1380.899347,-0.28496874,0.411821919,-0.691970794,0.488955671,0.998389561
hsa-miR-1273a-5p,8.166767622,-0.015856403,0.45056306,-0.035192416,0.97192631,0.998389561
hsa-miR-374b-3p,19.63266148,-0.221976021,0.41572747,-0.533946002,0.593378894,0.998389561
hsa-miR-365b-3p,79.89265343,-0.344589719,0.384358773,-0.896531425,0.369969004,0.998389561
hsa-let-7f-2-3p,119.6003025,-0.245312057,0.403305545,-0.60825362,0.543019277,0.998389561
hsa-miR-1260b-5p,11.66393107,-0.325271814,0.432187514,-0.752617332,0.451679899,0.998389561
hsa-miR-6747-3p,10.10054513,0.279811734,0.451743362,0.619404196,0.535650118,0.998389561
hsa-miR-181d-5p,191.2069206,-0.043173119,0.352915611,-0.122332699,0.902635536,0.998389561
hsa-miR-1307-3p,615.1588401,0.093238374,0.351684855,0.265119106,0.790917709,0.998389561
hsa-miR-365a-3p,80.01591804,-0.347383079,0.384671026,-0.903065362,0.366491206,0.998389561
hsa-miR-1226-3p,7.852216712,0.001944087,0.45482796,0.004274334,0.996589585,0.998389561
hsa-miR-27a-5p,143.0171993,0.1338737,0.373920282,0.358027382,0.720322822,0.998389561
hsa-miR-320c-1-3p,62.1707372,-0.231397487,0.371020465,-0.623678501,0.532838745,0.998389561
hsa-miR-937-3p,8.976120774,0.314759704,0.458341808,0.686735748,0.492249266,0.998389561
hsa-miR-760-3p,8.01101324,-0.055132315,0.449951856,-0.122529365,0.902479791,0.998389561
hsa-miR-99b-5p,4111.741501,-0.230469632,0.341798099,-0.67428588,0.500129579,0.998389561
hsa-miR-935-3p,8.410632365,0.003801269,0.453153974,0.008388472,0.993307046,0.998389561
hsa-miR-22-5p,67.41590575,0.206641817,0.361879178,0.571024337,0.567983146,0.998389561
hsa-miR-92a-1-5p,13.60785415,-0.500657692,0.442807729,-1.130643526,0.25820516,0.998389561
hsa-miR-3065-5p,15.67443022,0.325058581,0.432241311,0.752030342,0.452032812,0.998389561
hsa-miR-1301-3p,26.85508602,-0.460490127,0.412085832,-1.117461683,0.263796974,0.998389561
hsa-miR-361-5p,113.7203303,-0.090882361,0.380328023,-0.238957835,0.811138278,0.998389561
hsa-miR-128-2-3p,3009.200375,0.40478584,0.396957098,1.019721886,0.307860379,0.998389561
hsa-miR-454-5p,14.23011337,-0.04752562,0.431348908,-0.110179066,0.912267364,0.998389561
hsa-miR-181a-1-5p,1774.51912,0.241793358,0.344630751,0.701601226,0.482927887,0.998389561
hsa-miR-301a-5p,18.26864309,-0.186918218,0.418601866,-0.446529825,0.655214574,0.998389561
hsa-miR-222-5p,22.43792094,0.410908075,0.438460465,0.937161061,0.348675716,0.998389561
hsa-miR-4664-3p,24.46249736,-0.381890528,0.440215229,-0.867508672,0.385663363,0.998389561
hsa-let-7e-5p,1817.391349,-0.049986414,0.398294087,-0.125501272,0.900126718,0.998389561
hsa-miR-532-5p,1531.063521,-0.122744633,0.36785337,-0.333678152,0.738622437,0.998389561
