"","x"
"1","hsa-miR-147b"
"2","hsa-miR-20b-5p"
"3","hsa-miR-215-5p"
"4","hsa-miR-363-3p"
"5","hsa-miR-4664-3p"
"6","hsa-miR-125b-2-3p"
"7","hsa-miR-651-5p"
"8","hsa-miR-582-3p"
"9","hsa-miR-181a-2-3p"
"10","hsa-miR-500a-3p"
"11","hsa-miR-671-5p"
"12","hsa-miR-450b-5p"
"13","hsa-miR-196a-5p"
"14","hsa-miR-149-5p"
"15","hsa-miR-19a-3p"
"16","hsa-miR-374a-3p"
"17","hsa-miR-502-3p"
"18","hsa-miR-542-3p"
"19","hsa-miR-128-1-3p"
"20","hsa-miR-362-5p"
"21","hsa-miR-10a-3p"
"22","hsa-miR-503-5p"
"23","hsa-miR-32-5p"
"24","hsa-miR-148a-5p"
"25","hsa-miR-484-5p"
"26","hsa-miR-152-3p"
"27","hsa-miR-146a-5p"
"28","hsa-miR-589-5p"
"29","hsa-let-7c-5p"
"30","hsa-miR-374a-5p"
"31","hsa-miR-877-5p"
"32","hsa-miR-339-5p"
"33","hsa-miR-1269a"
"34","hsa-miR-15b-5p"
"35","hsa-miR-6087-3p"
"36","hsa-miR-16-2-3p"
"37","hsa-miR-421-3p"
"38","hsa-miR-125a-3p"
"39","hsa-miR-3615-3p"
"40","hsa-miR-340-5p"
"41","hsa-miR-769-5p"
"42","hsa-miR-1180-3p"
"43","hsa-miR-629-5p"
"44","hsa-miR-181d-5p"
"45","hsa-miR-30b-5p"
"46","hsa-miR-574-3p"
"47","hsa-miR-99a-5p"
"48","hsa-miR-361-5p"
"49","hsa-miR-92b-3p"
"50","hsa-miR-140-3p"
"51","hsa-let-7d-3p"
"52","hsa-miR-99b-3p"
"53","hsa-miR-1307-3p"
"54","hsa-miR-31-5p"
"55","hsa-miR-185-5p"
"56","hsa-miR-196b-5p"
"57","hsa-miR-27a-5p"
"58","hsa-miR-221-5p"
"59","hsa-miR-28-3p"
"60","hsa-miR-186-5p"
"61","hsa-miR-106b-3p"
"62","hsa-miR-125a-5p"
"63","hsa-miR-30a-3p"
"64","hsa-miR-98-5p"
"65","hsa-miR-532-5p"
"66","hsa-miR-30e-3p"
"67","hsa-miR-200a-5p"
"68","hsa-miR-375-3p"
"69","hsa-miR-17-5p"
"70","hsa-miR-429-3p"
"71","hsa-miR-26b-5p"
"72","hsa-miR-148b-3p"
"73","hsa-let-7d-5p"
"74","hsa-miR-30e-5p"
"75","hsa-miR-93-5p"
"76","hsa-miR-10b-5p"
"77","hsa-miR-22-3p"
"78","hsa-miR-25-3p"
"79","hsa-miR-27a-3p"
"80","hsa-let-7e-5p"
"81","hsa-miR-320a-3p"
"82","hsa-miR-183-5p"
"83","hsa-miR-191-5p"
"84","hsa-miR-151a-3p"
"85","hsa-miR-200a-3p"
"86","hsa-miR-30a-5p"
"87","hsa-let-7b-5p"
"88","hsa-miR-148a-3p"
"89","hsa-miR-182-5p"
"90","hsa-miR-205-5p"
"91","hsa-miR-222-3p"
"92","hsa-miR-221-3p"
"93","hsa-let-7g-5p"
"94","hsa-let-7i-5p"
"95","hsa-miR-200b-3p"
