EXO,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,CELL,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,
hsa-let-7a-1-3p,119.9906343,-0.619349265,0.444228802,-1.394212313,0.163253501,0.900357971,CELL,763.1763664,0.094881482,0.387382698,0.244929582,0.806510956,0.998389561,-0.714230747
hsa-let-7a-1-5p,3829.223468,-0.358454028,0.511423722,-0.700894411,0.483368913,0.96376268,CELL,18458.09861,0.156178012,0.406968978,0.383759009,0.701157072,0.998389561,-0.51463204
hsa-let-7a-2-3p,4.143003685,0.100483392,0.560729081,0.179201322,0.857779626,0.96376268,CELL,27.3413979,0.342610478,0.403803037,0.848459389,0.39618218,0.998389561,-0.242127086
hsa-let-7a-2-5p,4133.039224,-0.39027552,0.506306801,-0.770828122,0.440808816,0.96376268,,20098.93225,0.116286627,0.407748722,0.285191887,0.775497136,0.998389561,-0.506562147
hsa-let-7a-3-3p,119.9038416,-0.621841762,0.444183686,-1.399965333,0.1615237,0.900357971,,763.1763664,0.094881482,0.387382698,0.244929582,0.806510956,0.998389561,-0.716723244
hsa-let-7a-3-5p,3839.011341,-0.357931246,0.509466516,-0.702560884,0.482329447,0.96376268,,18445.61911,0.156470882,0.407038009,0.384413442,0.700672039,0.998389561,-0.514402128
hsa-let-7b-3p,19.20256042,-0.539637475,0.475193314,-1.135616725,0.256117006,0.96376268,,92.87680668,0.251227804,0.374664809,0.670540168,0.50251351,0.998389561,-0.790865279
hsa-let-7b-5p,1766.470996,-0.295730649,0.560376686,-0.527735461,0.597682957,0.96376268,,3942.562213,0.202199181,0.393111633,0.514355627,0.607003376,0.998389561,-0.49792983
hsa-let-7c-5p,149.5599514,-0.038836103,0.436069266,-0.089059481,0.929034639,0.96376268,,399.2358908,-0.061830268,0.386580264,-0.159941606,0.872927073,0.998389561,0.022994165
hsa-let-7d-3p,71.81869496,-0.379274081,0.445454492,-0.851431713,0.394529581,0.96376268,,173.8599537,-0.059441808,0.357460741,-0.166289053,0.86792948,0.998389561,-0.319832273
hsa-let-7d-5p,213.9939177,-0.521894223,0.473875583,-1.101331746,0.270752299,0.96376268,,895.3970247,-0.033954937,0.392865506,-0.086428909,0.931125467,0.998389561,-0.487939286
hsa-let-7e-3p,6.450975664,-0.128440241,0.542859556,-0.236599392,0.812967592,0.96376268,,35.2628136,-0.193710314,0.375995052,-0.515193787,0.60641761,0.998389561,0.065270073
hsa-let-7e-5p,242.5199496,-0.314777273,0.368110248,-0.855116842,0.392486467,0.96376268,,1817.391349,-0.049986414,0.398294087,-0.125501272,0.900126718,0.998389561,-0.264790859
hsa-let-7f-1-3p,9.151591271,-0.741722489,0.504683374,-1.469678867,0.141648749,0.900357971,,53.08520218,-0.053334915,0.393637906,-0.135492325,0.892222632,0.998389561,-0.688387574
hsa-let-7f-1-5p,5645.103919,-0.661514901,0.494947499,-1.336535496,0.181374307,0.900357971,,26765.8222,-0.426603131,0.404192467,-1.055445527,0.29122161,0.998389561,-0.23491177
hsa-let-7f-2-3p,28.0960698,-0.545163536,0.483526069,-1.127474963,0.25954172,0.96376268,,119.6003025,-0.245312057,0.403305545,-0.60825362,0.543019277,0.998389561,-0.299851479
hsa-let-7f-2-5p,5728.411712,-0.669285027,0.495179526,-1.351600767,0.176503065,0.900357971,,27298.74564,-0.434048146,0.404382241,-1.073361046,0.283109155,0.998389561,-0.235236881
hsa-let-7g-5p,2923.055882,-0.415272611,0.508094409,-0.817313877,0.413749078,0.96376268,,13753.97013,-0.173370214,0.400840132,-0.432517108,0.665365621,0.998389561,-0.241902397
hsa-let-7i-3p,3.254526758,0.379647485,0.579006195,0.655688123,0.512024812,0.96376268,,25.75214163,-0.632078736,0.411681023,-1.535360388,0.124695328,0.786870519,1.011726221
hsa-let-7i-5p,3025.69836,-0.333282607,0.573644506,-0.580991543,0.561246153,0.96376268,,8987.584666,-0.161469846,0.413182142,-0.390795801,0.695948179,0.998389561,-0.171812761
hsa-miR-100-5p,95349.28628,0.102631367,0.569263781,0.180287892,0.856926561,0.96376268,,209651.9247,0.406870684,0.343420285,1.184760196,0.236112274,0.998389561,-0.304239317
hsa-miR-101-1-3p,1531.649145,-0.149378261,0.443024482,-0.337178343,0.735982463,0.96376268,,4881.641934,-0.022491259,0.382258789,-0.058837781,0.953081316,0.998389561,-0.126887002
hsa-miR-101-2-3p,1250.69356,-0.191627889,0.447514745,-0.428204637,0.668502141,0.96376268,,3841.236151,-0.073251794,0.391128839,-0.187283029,0.851438729,0.998389561,-0.118376095
hsa-miR-103a-1-3p,1003.28866,0.075312074,0.42752919,0.176156565,0.860170943,0.96376268,,7174.034667,-0.453213307,0.420209743,-1.078540691,0.280792533,0.998389561,0.528525381
hsa-miR-103a-2-3p,1056.198977,0.064086988,0.428060208,0.149714892,0.880989559,0.96376268,,7857.570444,-0.496881474,0.423489249,-1.173303633,0.240674066,0.998389561,0.560968462
hsa-miR-106a-5p,48.96606426,0.299709787,0.556016334,0.539030544,0.589865779,0.96376268,,135.1654427,-0.920825213,0.396149334,-2.324439635,0.020101943,0.432783016,1.220535
hsa-miR-106b-3p,149.8538746,0.346629807,0.402846346,0.860451659,0.38954012,0.96376268,,269.8348589,0.093665911,0.345938091,0.270759171,0.786576264,0.998389561,0.252963896
hsa-miR-106b-5p,81.81963946,0.24656953,0.392375761,0.628401535,0.529740931,0.96376268,,327.5130126,-0.309148444,0.363431231,-0.850638077,0.394970431,0.998389561,0.555717974
hsa-miR-107-3p,119.9445653,0.216965697,0.454100063,0.477792704,0.632797754,0.96376268,,551.2398959,-0.476852841,0.400504817,-1.190629478,0.233799074,0.998389561,0.693818538
hsa-miR-10a-3p,38.34604077,-0.244884541,0.465813209,-0.525714035,0.599086911,0.96376268,,70.08831106,0.1747776,0.353092856,0.494990474,0.620606845,0.998389561,-0.419662141
hsa-miR-10a-5p,7875.662337,-0.164741921,0.476487582,-0.345742319,0.729536377,0.96376268,,18836.5027,-0.187538514,0.388828237,-0.482317116,0.62958069,0.998389561,0.022796593
hsa-miR-10b-5p,2556.712769,-0.289484723,0.516293947,-0.560697495,0.575003775,0.96376268,,4279.175385,-0.747624473,0.41275655,-1.811296451,0.070094975,0.610827637,0.45813975
hsa-miR-1180-3p,70.26850628,0.247329387,0.426566268,0.579814687,0.562039593,0.96376268,,121.0204215,0.191506148,0.370463524,0.516936582,0.60520043,0.998389561,0.055823239
hsa-miR-1246-5p,1120.607102,0.834128536,0.469511818,1.776586882,0.075636236,0.754754498,,123.4832653,0.818054997,0.421999062,1.93852326,0.052559416,0.569622051,0.016073539
hsa-miR-125a-3p,14.89124196,-0.212032757,0.488684639,-0.433884636,0.664372217,0.96376268,,16.86675935,0.101615136,0.424483298,0.239385476,0.810806691,0.998389561,-0.313647893
hsa-miR-125a-5p,392.0954886,-0.517429315,0.452719365,-1.142936122,0.253065114,0.96376268,,2987.359569,-0.137673555,0.384316442,-0.358229678,0.720171439,0.998389561,-0.37975576
hsa-miR-125b-1-3p,151.415819,-0.129948614,0.56938019,-0.228228197,0.819468842,0.96376268,,201.7893034,0.821479436,0.370719082,2.215908152,0.026697793,0.444154194,-0.95142805
hsa-miR-125b-1-5p,643.0854909,-0.002679763,0.533125913,-0.00502651,0.995989442,0.998771535,,5510.703836,0.115977116,0.388058192,0.298865268,0.765042848,0.998389561,-0.118656879
hsa-miR-125b-2-3p,24.45057484,0.082858953,0.540448697,0.153315114,0.878149783,0.96376268,,43.43886256,-0.966433101,0.431167443,-2.241433383,0.024998016,0.444154194,1.049292054
hsa-miR-125b-2-5p,646.2862698,-0.000648297,0.533609266,-0.001214928,0.999030628,0.999030628,,5519.898049,0.115035229,0.387982462,0.296495951,0.766851358,0.998389561,-0.115683526
hsa-miR-126-3p,37.12208831,-0.176014522,0.527473716,-0.333693447,0.738610895,0.96376268,,232.6004041,-0.47970574,0.427631721,-1.121773048,0.261958948,0.998389561,0.303691218
hsa-miR-126-5p,15.84763107,-0.013653572,0.454410895,-0.030046754,0.976029766,0.991676768,,42.94010489,-0.390454962,0.390775858,-0.999178823,0.317708073,0.998389561,0.37680139
hsa-miR-1260b-5p,6.34677638,0.607369395,0.567314072,1.070605199,0.284346985,0.96376268,,11.66393107,-0.325271814,0.432187514,-0.752617332,0.451679899,0.998389561,0.932641209
hsa-miR-1269a-3p,13.73671596,0.258716801,0.456358525,0.566915673,0.570771475,0.96376268,,56.87671814,0.10561921,0.372191828,0.283776275,0.776581837,0.998389561,0.153097591
hsa-miR-1273a-3p,12.10907126,-0.76484264,0.594827264,-1.285823106,0.198504804,0.928042681,,19.26523743,-0.237380284,0.416000675,-0.570624757,0.568254033,0.998389561,-0.527462356
hsa-miR-1273g-3p,21.09099349,-1.015250854,0.594185193,-1.708643812,NA,NA,,14.36930228,-0.417152958,0.434659468,-0.959723621,0.337194332,0.998389561,-0.598097896
hsa-miR-1277-5p,1.916132319,-0.620641005,0.590683007,-1.050717554,0.293388331,0.96376268,,13.0378845,-0.057425623,0.429793915,-0.133611996,0.893709398,0.998389561,-0.563215382
hsa-miR-128-1-3p,1013.974909,0.543092844,0.368122977,1.475302761,0.140131164,0.900357971,,3124.025336,0.408901329,0.395957031,1.03269117,0.301748447,0.998389561,0.134191515
hsa-miR-128-2-3p,993.0705293,0.543025485,0.369181162,1.470891642,0.141320423,0.900357971,,3009.200375,0.40478584,0.396957098,1.019721886,0.307860379,0.998389561,0.138239645
hsa-miR-1287-5p,8.58353449,0.544065226,0.532949915,1.020856201,0.307322573,0.96376268,,21.27136742,0.059360049,0.407162676,0.145789514,0.884087554,0.998389561,0.484705177
hsa-miR-1292-5p,3.612792595,-0.277004862,0.568179381,-0.487530648,0.625882329,0.96376268,,9.015119821,-0.607537002,0.450871408,-1.347472898,0.177827976,0.916690695,0.33053214
hsa-miR-1296-5p,16.80704929,0.389579081,0.513315061,0.758947303,0.447884081,0.96376268,,65.95070381,-0.122821848,0.359585144,-0.341565412,0.73267797,0.998389561,0.512400929
hsa-miR-1301-3p,5.490200854,-1.114640075,0.535906799,-2.079914039,0.037533418,0.720402296,,26.85508602,-0.460490127,0.412085832,-1.117461683,0.263796974,0.998389561,-0.654149948
hsa-miR-1303-3p,2.315346902,0.600516657,0.591289051,1.015605914,0.309817087,0.96376268,,12.02554904,0.429235576,0.446372061,0.961609414,0.336245841,0.998389561,0.171281081
hsa-miR-1303-5p,2.182131501,-0.45993021,0.587805269,-0.782453365,0.433948182,0.96376268,,17.32672369,-0.591503708,0.463595258,-1.275905432,0.201988951,0.968774674,0.131573498
hsa-miR-1307-3p,178.5719098,-0.108851752,0.375543399,-0.289851326,0.77192998,0.96376268,,615.1588401,0.093238374,0.351684855,0.265119106,0.790917709,0.998389561,-0.202090126
hsa-miR-1307-5p,27.76894609,0.451926735,0.483650799,0.934407089,0.350093942,0.96376268,,81.5975245,-0.685016303,0.384775386,-1.780301778,0.075026586,0.624084786,1.136943038
hsa-miR-130a-3p,19.96722198,-0.297051417,0.478076993,-0.621346398,0.534371732,0.96376268,,71.4921328,-0.531932474,0.37674151,-1.411929558,0.157970703,0.892676756,0.234881057
hsa-miR-130b-3p,7.18652489,0.326682713,0.515755386,0.633406303,0.52646835,0.96376268,,19.48158005,-0.590363493,0.426957525,-1.382721836,0.166750174,0.892676756,0.917046206
hsa-miR-130b-5p,24.84385254,0.455960408,0.496687069,0.91800338,0.358617096,0.96376268,,129.1995448,0.24911975,0.372957503,0.667957468,0.504160742,0.998389561,0.206840658
hsa-miR-132-3p,16.74262291,-0.531337057,0.458672236,-1.158424285,0.246690933,0.96376268,,24.9247352,-0.18206155,0.396551714,-0.459111747,0.646153921,0.998389561,-0.349275507
hsa-miR-132-5p,8.644069274,-0.456584917,0.563573351,-0.810160588,0.417847886,0.96376268,,17.62074329,-0.294005059,0.414593983,-0.709139715,0.478237779,0.998389561,-0.162579858
hsa-miR-135b-3p,4.1637485,-0.309199112,0.586800792,-0.526923474,0.598246732,0.96376268,,15.18916355,-0.235284378,0.426061688,-0.552230779,0.580790249,0.998389561,-0.073914734
hsa-miR-135b-5p,85.18725477,-0.8897412,0.500269486,-1.778523824,0.075317863,0.754754498,,269.7887132,-0.041027678,0.340435755,-0.120515183,0.904075053,0.998389561,-0.848713522
