Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-6804754,Regulation of TP53 Expression,4,4,3.31E-04,0.246264885,0.996863647,5,5,5.16E-04,48887,Homo sapiens,PRDM1;TP53,,R-HSA-6804194;R-HSA-6804193;R-HSA-6804191;R-HSA-6804188;R-HSA-6804762
R-HSA-194306,Neurophilin interactions with VEGF and VEGFR,4,4,3.31E-04,0.246264885,0.996863647,2,2,2.06E-04,48887,Homo sapiens,NRP1;NRP2;FLT1;KDR,,R-HSA-195408;R-HSA-195418
R-HSA-420597,Nectin/Necl  trans heterodimerization,6,7,5.79E-04,0.281161571,0.996863647,8,8,8.25E-04,48887,Homo sapiens,CADM1;PVRL4;PVRL3;PVR;PVRL2;PVRL1,,R-HSA-420598;R-HSA-420582;R-HSA-420580;R-HSA-420595;R-HSA-420593;R-HSA-420591;R-HSA-420586;R-HSA-420584
R-HSA-3311021,SMAD4 MH2 Domain Mutants in Cancer,3,3,2.48E-04,0.293175567,0.996863647,1,1,1.03E-04,48887,Homo sapiens,SMAD2;SMAD4;SMAD3,,R-HSA-3311014
R-HSA-3304347,Loss of Function of SMAD4 in Cancer,3,3,2.48E-04,0.293175567,0.996863647,1,1,1.03E-04,48887,Homo sapiens,SMAD2;SMAD4;SMAD3,,R-HSA-3311014
R-HSA-69560,Transcriptional activation of p53 responsive genes  ,5,6,4.96E-04,0.327683035,0.996863647,5,5,5.16E-04,48887,Homo sapiens,CDKN1A;TP53;ZNF385A,,R-HSA-6803719;R-HSA-6803411;R-HSA-6803388;R-HSA-6803403;R-HSA-6803801
R-HSA-69895,Transcriptional  activation of  cell cycle inhibitor p21 ,5,6,4.96E-04,0.327683035,0.996863647,5,5,5.16E-04,48887,Homo sapiens,CDKN1A;TP53;ZNF385A,,R-HSA-6803719;R-HSA-6803411;R-HSA-6803388;R-HSA-6803403;R-HSA-6803801
R-HSA-5083630,Defective LFNG causes SCDO3,5,6,4.96E-04,0.327683035,0.996863647,1,1,1.03E-04,48887,Homo sapiens,NOTCH2;LFNG;NOTCH3;NOTCH1;NOTCH4,,R-HSA-5096538
R-HSA-6803204,TP53 Regulates Transcription of Genes Involved in Cytochrome C Release,23,33,0.002727273,0.340779225,0.996863647,25,25,0.002579181,48887,Homo sapiens,BNIP3L;CREBBP;SLMO1;TRIAP1;BBC3;TP53AIP1;AIFM2;TP53INP1;TP53BP2;PMAIP1;ZNF546;ATM;BID;TP53;TP73,,R-HSA-3700984;R-HSA-4331331;R-HSA-6801250;R-HSA-6801184;R-HSA-6798624;R-HSA-139913;R-HSA-6801195;R-HSA-3700981;R-HSA-6797993;R-HSA-4331340;R-HSA-6791285;R-HSA-6798004;R-HSA-6801213;R-HSA-6791291;R-HSA-6799418;R-HSA-6801209;R-HSA-6799097;R-HSA-6799416;R-HSA-6791302;R-HSA-6801166;R-HSA-6791306;R-HSA-6798615;R-HSA-6798611;R-HSA-140214;R-HSA-6801242
R-HSA-77042,Formation of editosomes by ADAR proteins,2,2,1.65E-04,0.358595066,0.996863647,4,4,4.13E-04,48887,Homo sapiens,ADAR;ADARB1,,R-HSA-75090;R-HSA-111237;R-HSA-111238;R-HSA-77613
R-HSA-111452,Activation and oligomerization of BAK protein,2,2,1.65E-04,0.358595066,0.996863647,3,3,3.10E-04,48887,Homo sapiens,BAK1;BID,,R-HSA-168848;R-HSA-139895;R-HSA-114263
R-HSA-111448,Activation of NOXA and translocation to mitochondria,4,5,4.13E-04,0.385786747,0.996863647,5,5,5.16E-04,48887,Homo sapiens,E2F1;PMAIP1;TP53,,R-HSA-4331331;R-HSA-140214;R-HSA-140216;R-HSA-140217;R-HSA-4331327
R-HSA-5603037,IRAK4 deficiency (TLR5),4,5,4.13E-04,0.385786747,0.996863647,2,2,2.06E-04,48887,Homo sapiens,IRAK4;TLR6;TLR5;MYD88,,R-HSA-5602472;R-HSA-5602603
R-HSA-5368598,Negative regulation of TCF-dependent signaling by DVL-interacting proteins,4,5,4.13E-04,0.385786747,0.996863647,2,2,2.06E-04,48887,Homo sapiens,DVL1;CCDC88C;DVL2;DVL3,,R-HSA-5368582;R-HSA-5368588
R-HSA-74749,Signal attenuation,8,11,9.09E-04,0.390039637,0.996863647,7,7,7.22E-04,48887,Homo sapiens,SHC1;IRS1;INSR;MAPK1;GRB2;IRS2;MAPK3;INS,,R-HSA-74747;R-HSA-110011;R-HSA-5686074;R-HSA-5686315;R-HSA-74748;R-HSA-109823;R-HSA-109822
R-HSA-426496,Post-transcriptional silencing by small RNAs,6,8,6.61E-04,0.390363783,0.996863647,2,3,3.10E-04,48887,Homo sapiens,TNRC6C;EIF2C4;EIF2C3;EIF2C1;TNRC6A;TNRC6B,,R-HSA-426522;R-HSA-426489
