Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-1236977,Endosomal/Vacuolar pathway,38,99,0.008181818,6.04E-13,9.99E-10,4,4,4.13E-04,48887,Homo sapiens,CTSL1;HLA-C;LNPEP;HLA-A;HLA-G,,R-HSA-1236964;R-HSA-1236948;R-HSA-1236954;R-HSA-1236943
R-HSA-983170,"Antigen Presentation: Folding, assembly and peptide loading of class I MHC",41,120,0.009917355,2.79E-12,2.31E-09,13,15,0.001547509,48887,Homo sapiens,SEC23A;SEC24B;SEC24A;HSPA5;HLA-C;HLA-A;HLA-G;TAPBP,,R-HSA-983148;R-HSA-983146;R-HSA-983145;R-HSA-203979;R-HSA-983142;R-HSA-983427;R-HSA-983426;R-HSA-983138;R-HSA-983425;R-HSA-983424;R-HSA-983422;R-HSA-983421;R-HSA-983161
R-HSA-909733,Interferon alpha/beta signaling,41,140,0.011570248,2.72E-10,1.50E-07,15,19,0.001960177,48887,Homo sapiens,IFNAR2;SOCS3;SOCS1;HLA-C;HLA-A;SAMHD1;HLA-G;JAK1,,R-HSA-912685;R-HSA-912680;R-HSA-909732;R-HSA-909729;R-HSA-997314;R-HSA-909730;R-HSA-997311;R-HSA-909724;R-HSA-997309;R-HSA-909726;R-HSA-909720;R-HSA-909722;R-HSA-1015702;R-HSA-909719;R-HSA-909718
R-HSA-1236974,ER-Phagosome pathway,45,182,0.015041322,6.38E-09,2.63E-06,7,9,9.29E-04,48887,Homo sapiens,SEC61A2;PSMD9;PSMD11;PSMD7;RPN2;PSMD2;PSME4;HLA-C;HLA-A;HLA-G;VAMP3;TAPBP,,R-HSA-1236947;R-HSA-8863973;R-HSA-1236935;R-HSA-8863858;R-HSA-1236965;R-HSA-1236971;R-HSA-8863914
R-HSA-1236975,Antigen processing-Cross presentation,47,203,0.01677686,2.11E-08,6.95E-06,12,21,0.002166512,48887,Homo sapiens,PSMD11;RPN2;HLA-C;LNPEP;HLA-A;HLA-G;TAPBP;CTSL1;SEC61A2;PSMD9;PSMD7;PSMD2;PSME4;VAMP3,,R-HSA-1236947;R-HSA-8863973;R-HSA-1236935;R-HSA-8863858;R-HSA-1236964;R-HSA-1236948;R-HSA-1236965;R-HSA-1236954;R-HSA-1236970;R-HSA-1236971;R-HSA-1236943;R-HSA-8863914
R-HSA-877300,Interferon gamma signaling,41,176,0.014545455,1.41E-07,3.89E-05,11,15,0.001547509,48887,Homo sapiens,SOCS3;VCAM1;SOCS1;HLA-C;HLA-A;HLA-G;CD44;JAK1,,R-HSA-877308;R-HSA-873919;R-HSA-873918;R-HSA-877269;R-HSA-873924;R-HSA-873927;R-HSA-1031716;R-HSA-873926;R-HSA-873921;R-HSA-909552;R-HSA-873922
R-HSA-983169,Class I MHC mediated antigen processing & presentation,78,478,0.039504132,1.51E-06,3.57E-04,32,44,0.004539358,48887,Homo sapiens,SEC23A;PSMD11;RPN2;UBE3C;UBE2D3;CCNF;LTN1;KEAP1;SEC61A2;CDC20;ZNRF1;PSMD9;SOCS3;PSMD7;SOCS1;HECTD1;BTBD1;RNF138;CDH1;PSMD2;TOM1;UNKL;MYLIP;UBE2H;SEC24B;SEC24A;HSPA5;HLA-C;LNPEP;HLA-A;HLA-G;KLHL20;TAPBP;CTSL1;KBTBD6;PSME4;ASB6;ANAPC5;STUB1;TRIP12;ASB3;VAMP3;RNF220,,R-HSA-1236947;R-HSA-1236948;R-HSA-1236954;R-HSA-203979;R-HSA-983427;R-HSA-983426;R-HSA-983425;R-HSA-983424;R-HSA-1236935;R-HSA-1236943;R-HSA-983150;R-HSA-8863973;R-HSA-983148;R-HSA-983147;R-HSA-983146;R-HSA-983145;R-HSA-983142;R-HSA-983140;R-HSA-983138;R-HSA-8863914;R-HSA-983422;R-HSA-983421;R-HSA-983162;R-HSA-8863858;R-HSA-1236964;R-HSA-983161;R-HSA-1236965;R-HSA-1236970;R-HSA-1236971;R-HSA-983157;R-HSA-983156;R-HSA-983152
R-HSA-109606,Intrinsic Pathway for Apoptosis,16,48,0.003966942,1.60E-05,0.003286656,29,46,0.004745693,48887,Homo sapiens,YWHAE;YWHAB;DYNLL2;YWHAZ;MAPK8;PPP3R1;BCL2L11;TFDP1;CASP3;DLC1;BCL2;BAX;MKRN3;CYCS;TP53;BCL2L1,,R-HSA-139906;R-HSA-4331331;R-HSA-114306;R-HSA-508163;R-HSA-508162;R-HSA-139908;R-HSA-139913;R-HSA-139918;R-HSA-114252;R-HSA-139919;R-HSA-4331340;R-HSA-114254;R-HSA-139917;R-HSA-114256;R-HSA-114259;R-HSA-168849;R-HSA-114261;R-HSA-114264;R-HSA-114275;R-HSA-114284;R-HSA-114352;R-HSA-114419;R-HSA-140214;R-HSA-139899;R-HSA-139897;R-HSA-140217;R-HSA-4331327;R-HSA-4331324;R-HSA-140221
R-HSA-109581,Apoptosis,34,176,0.014545455,6.94E-05,0.012709072,71,121,0.012483235,48887,Homo sapiens,YWHAE;PSMD11;ROCK1;RPN2;YWHAB;HMGB1;PSMD9;MAPK8;PPP3R1;BCL2L11;PSMD7;CDH1;PSMD2;CASP3;TMED7;HIST1H1A;KPNA1;TICAM2;TNFRSF10B;DYNLL2;YWHAZ;TFDP1;APC;DLC1;PSME4;BCL2;BAX;MKRN3;CTNNB1;CYCS;DSG2;VIM;TP53;BCL2L1,,R-HSA-211715;R-HSA-139906;R-HSA-351877;R-HSA-201603;R-HSA-4331331;R-HSA-114306;R-HSA-508163;R-HSA-508162;R-HSA-211206;R-HSA-139908;R-HSA-201611;R-HSA-139913;R-HSA-201608;R-HSA-139918;R-HSA-139919;R-HSA-4331340;R-HSA-139917;R-HSA-211219;R-HSA-168849;R-HSA-201622;R-HSA-418846;R-HSA-418845;R-HSA-201631;R-HSA-201630;R-HSA-201629;R-HSA-201628;R-HSA-418852;R-HSA-2562564;R-HSA-211239;R-HSA-201639;R-HSA-202917;R-HSA-201640;R-HSA-211247;R-HSA-114352;R-HSA-139952;R-HSA-140214;R-HSA-202939;R-HSA-140217;R-HSA-350651;R-HSA-140221;R-HSA-202947;R-HSA-211651;R-HSA-212552;R-HSA-373705;R-HSA-114252;R-HSA-114254;R-HSA-114256;R-HSA-114259;R-HSA-202960;R-HSA-114261;R-HSA-202967;R-HSA-202966;R-HSA-266204;R-HSA-114264;R-HSA-202969;R-HSA-3465448;R-HSA-114275;R-HSA-141156;R-HSA-350319;R-HSA-350318;R-HSA-3371359;R-HSA-351849;R-HSA-114284;R-HSA-211186;R-HSA-114419;R-HSA-211191;R-HSA-211190;R-HSA-139899;R-HSA-139897;R-HSA-4331327;R-HSA-4331324
R-HSA-114452,Activation of BH3-only proteins,12,35,0.002892562,1.37E-04,0.022552548,14,19,0.001960177,48887,Homo sapiens,YWHAE;MAPK8;PPP3R1;BCL2L11;TFDP1;YWHAB;DLC1;BCL2;MKRN3;DYNLL2;TP53;YWHAZ,,R-HSA-139906;R-HSA-4331331;R-HSA-139908;R-HSA-139913;R-HSA-139918;R-HSA-139919;R-HSA-4331340;R-HSA-140214;R-HSA-139899;R-HSA-139897;R-HSA-140217;R-HSA-4331327;R-HSA-4331324;R-HSA-140221
