"","rowMeans(rawdata[4:6])"
"hsa-let-7b-5p",3315.66666666667
"hsa-let-7d-3p",149.666666666667
"hsa-let-7d-5p",493.333333333333
"hsa-let-7e-5p",422.666666666667
"hsa-let-7g-5p",6748.33333333333
"hsa-let-7i-5p",7491
"hsa-miR-106b-3p",348.333333333333
"hsa-miR-10a-3p",79.6666666666667
"hsa-miR-10b-5p",3541.33333333333
"hsa-miR-125a-3p",27
"hsa-miR-125a-5p",681.333333333333
"hsa-miR-125b-2-3p",35
"hsa-miR-1307-3p",314.333333333333
"hsa-miR-140-3p",152
"hsa-miR-146a-5p",416
"hsa-miR-148a-3p",62669.3333333333
"hsa-miR-148a-5p",96
"hsa-miR-148b-3p",1902
"hsa-miR-149-5p",24
"hsa-miR-151a-3p",11097.6666666667
"hsa-miR-15b-5p",65
"hsa-miR-16-2-3p",533.333333333333
"hsa-miR-17-5p",747.666666666667
"hsa-miR-181a-2-3p",30
"hsa-miR-182-5p",3202.33333333333
"hsa-miR-183-5p",1920.33333333333
"hsa-miR-185-5p",122.333333333333
"hsa-miR-186-5p",687.333333333333
"hsa-miR-191-5p",2813.33333333333
"hsa-miR-196b-5p",117.666666666667
"hsa-miR-19a-3p",154.333333333333
"hsa-miR-200a-3p",10293.6666666667
"hsa-miR-200a-5p",1456.66666666667
"hsa-miR-200b-3p",6944.66666666667
"hsa-miR-205-5p",5449
"hsa-miR-20b-5p",11.6666666666667
"hsa-miR-22-3p",4103
"hsa-miR-221-3p",3387.66666666667
"hsa-miR-221-5p",124.666666666667
"hsa-miR-222-3p",1519
"hsa-miR-25-3p",1693.33333333333
"hsa-miR-26b-5p",798.333333333333
"hsa-miR-27a-3p",11170.3333333333
"hsa-miR-27a-5p",157.666666666667
"hsa-miR-28-3p",355
"hsa-miR-30a-3p",982.333333333333
"hsa-miR-30a-5p",10920
"hsa-miR-30b-5p",164.333333333333
"hsa-miR-30e-3p",501.333333333333
"hsa-miR-30e-5p",1571.33333333333
"hsa-miR-31-5p",281
"hsa-miR-32-5p",124.333333333333
"hsa-miR-339-5p",55.3333333333333
"hsa-miR-340-5p",503
"hsa-miR-361-5p",89.3333333333333
"hsa-miR-362-5p",24.3333333333333
"hsa-miR-363-3p",70
"hsa-miR-374a-3p",101
"hsa-miR-374a-5p",61
"hsa-miR-450b-5p",206.666666666667
"hsa-miR-4664-3p",41.3333333333333
"hsa-miR-500a-3p",61.6666666666667
"hsa-miR-502-3p",73.3333333333333
"hsa-miR-503-5p",208.333333333333
"hsa-miR-532-5p",1384.66666666667
"hsa-miR-542-3p",158.333333333333
"hsa-miR-574-3p",50.3333333333333
"hsa-miR-582-3p",41.6666666666667
"hsa-miR-589-5p",61
"hsa-miR-629-5p",90.6666666666667
"hsa-miR-671-5p",6.33333333333333
"hsa-miR-769-5p",125.666666666667
"hsa-miR-877-5p",11
"hsa-miR-92b-3p",181.666666666667
"hsa-miR-93-5p",904
"hsa-miR-98-5p",1361.33333333333
"hsa-miR-99a-5p",862.333333333333
"hsa-miR-99b-3p",439
