"","X","ensembl.id","symbol","biotype","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"2",115,"ENSG00000183508","FAM46C","protein_coding",162.3417105,1.998119076,0.161763882,12.35207178,4.75e-35,6.86e-33
"1",43,"ENSG00000181104","F2R","protein_coding",841.9873842,1.903496479,0.126703134,15.02327863,5.17e-51,2e-48
"23",1325,"ENSG00000126803","HSPA2","protein_coding",78.08617877,1.373391712,0.234591436,5.854398335,4.79e-09,6.01e-08
"5",329,"ENSG00000182378","PLCXD1","protein_coding",200.7012516,1.354225734,0.148721048,9.105810889,8.56e-20,4.33e-18
"85",4225,"ENSG00000132915","PDE6A","protein_coding",5.759393112,1.191123317,0.366266693,3.252065606,0.001145696,0.004509025
"3",180,"ENSG00000168807","SNTB2","protein_coding",640.0451084,1.143892674,0.104553411,10.94074943,7.36e-28,6.8e-26
"22",1310,"ENSG00000187123","LYPD6","protein_coding",148.4328547,1.025795201,0.174411265,5.881473321,4.07e-09,5.16e-08
"9",698,"ENSG00000128708","HAT1","protein_coding",802.9980042,0.872956278,0.120149527,7.265582287,3.71e-13,8.85e-12
"16",941,"ENSG00000119899","SLC17A5","protein_coding",341.7539499,0.838664193,0.126048865,6.653484665,2.86e-11,5.06e-10
"20",1192,"ENSG00000136237","RAPGEF5","protein_coding",295.7479757,0.806298915,0.131488216,6.132100219,8.67e-10,1.21e-08
"6",419,"ENSG00000169908","TM4SF1","protein_coding",10235.73285,0.783061797,0.092418959,8.472956303,2.39e-17,9.49e-16
"18",1131,"ENSG00000171346","KRT15","protein_coding",956.5035383,0.758222759,0.121398658,6.245726031,4.22e-10,6.2e-09
"8",689,"ENSG00000080819","CPOX","protein_coding",623.3567274,0.725421578,0.099379793,7.299487734,2.89e-13,6.97e-12
"56",2684,"ENSG00000165434","PGM2L1","protein_coding",152.1720619,0.68583734,0.161572199,4.2447732,2.19e-05,0.000135561
"17",1069,"ENSG00000086061","DNAJA1","protein_coding",1722.759275,0.614677439,0.096753496,6.353025648,2.11e-10,3.28e-09
"30",1793,"ENSG00000080824","HSP90AA1","protein_coding",24455.97423,0.610223364,0.118704769,5.140681089,2.74e-07,2.54e-06
"61",2866,"ENSG00000243335","KCTD7","protein_coding",210.1515863,0.604053016,0.147413422,4.097679888,4.17e-05,0.000242117
"13",810,"ENSG00000113719","ERGIC1","protein_coding",5264.137944,0.601266291,0.086590751,6.943770381,3.82e-12,7.84e-11
"57",2687,"ENSG00000140451","PIF1","protein_coding",269.577932,0.599177352,0.141370968,4.238333789,2.25e-05,0.000139351
"39",2105,"ENSG00000112159","MDN1","protein_coding",845.2298049,0.596470491,0.124658694,4.784828653,1.71e-06,1.35e-05
"84",4181,"ENSG00000163701","IL17RE","protein_coding",166.0506647,0.56735246,0.173528564,3.269504728,0.001077359,0.0042847
"50",2509,"ENSG00000141298","SSH2","protein_coding",231.0891661,0.564477362,0.12804218,4.408526649,1.04e-05,6.9e-05
"60",2780,"ENSG00000150967","ABCB9","protein_coding",215.3866137,0.557395979,0.133835907,4.164771567,3.12e-05,0.000186416
"19",1155,"ENSG00000142166","IFNAR1","protein_coding",1230.411066,0.545072095,0.087884203,6.202162332,5.57e-10,8.01e-09
"44",2379,"ENSG00000143772","ITPKB","protein_coding",396.6910932,0.5445742,0.120116518,4.533716159,5.8e-06,4.05e-05
"128",6461,"ENSG00000167524","SGK494","protein_coding",53.48326528,0.535621271,0.23714934,2.258582168,0.023909388,0.061533092
"125",6323,"ENSG00000189164","ZNF527","protein_coding",53.97698377,0.512867821,0.22191513,2.311098937,0.020827391,0.054775286
"36",1919,"ENSG00000205060","SLC35B4","protein_coding",916.93843,0.492830197,0.099002429,4.977960636,6.43e-07,5.57e-06
"63",2956,"ENSG00000011021","CLCN6","protein_coding",351.564648,0.487288371,0.121188611,4.020908953,5.8e-05,0.000326114
"104",5276,"ENSG00000154274","C4orf19","protein_coding",108.0635571,0.472834587,0.172932894,2.734208498,0.006253044,0.01970728
"28",1701,"ENSG00000008513","ST3GAL1","protein_coding",5020.906281,0.472654579,0.089620302,5.273967709,1.34e-07,1.31e-06
"69",3161,"ENSG00000168569","TMEM223","protein_coding",290.2334349,0.470425672,0.120782438,3.89481848,9.83e-05,0.000516948
"136",7093,"ENSG00000069493","CLEC2D","protein_coding",49.53127423,0.460413969,0.225529362,2.041481273,0.041203013,0.096591528
"52",2581,"ENSG00000162433","AK4","protein_coding",688.3442001,0.450318588,0.103782694,4.339052768,1.43e-05,9.22e-05
"38",2045,"ENSG00000177830","CHID1","protein_coding",1563.941019,0.448230827,0.092545472,4.843357726,1.28e-06,1.04e-05
"58",2735,"ENSG00000124733","MEA1","protein_coding",888.9078531,0.431800164,0.102910604,4.195876298,2.72e-05,0.000165258
"77",3937,"ENSG00000127603","MACF1","protein_coding",3533.222734,0.428119864,0.126364698,3.387970454,0.000704118,0.002973859
"41",2233,"ENSG00000064999","ANKS1A","protein_coding",650.6465683,0.426613522,0.091583461,4.658193925,3.19e-06,2.38e-05
"105",5306,"ENSG00000114026","OGG1","protein_coding",200.7894304,0.414534028,0.152300404,2.721818318,0.006492382,0.02034511
"65",3019,"ENSG00000170312","CDK1","protein_coding",1938.396308,0.414182971,0.104121131,3.977895436,6.95e-05,0.000382945
"59",2761,"ENSG00000198700","IPO9","protein_coding",1496.714063,0.411733958,0.098477093,4.181012514,2.9e-05,0.00017478
"93",4799,"ENSG00000013573","DDX11","protein_coding",500.7894729,0.400506341,0.135615364,2.953251974,0.003144452,0.010895175
"72",3295,"ENSG00000122778","KIAA1549","protein_coding",1196.578042,0.399494219,0.104935687,3.807038679,0.000140641,0.000709932
"109",5599,"ENSG00000186470","BTN3A2","protein_coding",147.3102301,0.392542763,0.15163907,2.58866506,0.009634876,0.028613809
"79",4040,"ENSG00000120253","NUP43","protein_coding",499.5713341,0.379189839,0.113622152,3.337287962,0.000846002,0.003482012
"62",2887,"ENSG00000099250","NRP1","protein_coding",23798.22588,0.375100586,0.091870005,4.082949443,4.45e-05,0.000256117
"55",2642,"ENSG00000137822","TUBGCP4","protein_coding",938.4971974,0.374888249,0.087501366,4.284370262,1.83e-05,0.000115337
"92",4606,"ENSG00000197771","MCMBP","protein_coding",846.6010581,0.353645855,0.115938803,3.050280379,0.002286278,0.008253633
"81",4061,"ENSG00000103018","CYB5B","protein_coding",1138.419398,0.346140289,0.104077985,3.325778158,0.000881721,0.003609368
"86",4372,"ENSG00000110090","CPT1A","protein_coding",3104.687463,0.34318924,0.108331675,3.167949182,0.001535184,0.005838754
"124",6250,"ENSG00000121406","ZNF549","protein_coding",217.7624196,0.340170494,0.145608234,2.336203692,0.019480628,0.051823778
"117",6034,"ENSG00000095539","SEMA4G","protein_coding",275.5992882,0.32845109,0.135849876,2.417750386,0.015616786,0.043035451
"118",6063,"ENSG00000164048","ZNF589","protein_coding",339.5291339,0.318770597,0.132246476,2.410427916,0.01593382,0.043699085
"123",6239,"ENSG00000152465","NMT2","protein_coding",223.1040244,0.314736927,0.134498359,2.340080047,0.019279607,0.051383444
"74",3693,"ENSG00000157837","SPPL3","protein_coding",1304.996103,0.311938352,0.088080947,3.541496353,0.000397864,0.001791413
"102",5125,"ENSG00000182986","ZNF320","protein_coding",379.2640804,0.303454172,0.108379543,2.799921119,0.00511151,0.016577761
"99",5009,"ENSG00000163964","PIGX","protein_coding",520.1927431,0.300519236,0.104974512,2.862782887,0.004199382,0.013940372
"131",6795,"ENSG00000153094","BCL2L11","protein_coding",178.650345,0.29823943,0.139192714,2.14263679,0.032142275,0.07865515
"94",4833,"ENSG00000145817","YIPF5","protein_coding",990.9565619,0.29632868,0.10095083,2.935376369,0.003331433,0.01146184
"107",5505,"ENSG00000198586","TLK1","protein_coding",514.093222,0.289849586,0.110281066,2.628280603,0.008581769,0.025921464
"89",4494,"ENSG00000162521","RBBP4","protein_coding",1124.833371,0.285785077,0.091951667,3.107992346,0.001883629,0.006969513
"103",5233,"ENSG00000101191","DIDO1","protein_coding",1280.779482,0.238383063,0.086571396,2.753600757,0.005894362,0.018728224
"116",6001,"ENSG00000130164","LDLR","protein_coding",9424.510092,0.236691537,0.097451904,2.428803624,0.015148735,0.041975198
"130",6772,"ENSG00000141367","CLTC","protein_coding",8590.331387,0.196347463,0.091320942,2.150081446,0.031548773,0.077465003
"119",6138,"ENSG00000068697","LAPTM4A","protein_coding",4002.749859,0.189173894,0.079508274,2.379298209,0.017345637,0.046982123
"135",7074,"ENSG00000105953","OGDH","protein_coding",2142.114664,0.178688256,0.087343221,2.04581712,0.040774367,0.095829848
