"","ensembl.id","symbol","biotype","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ABCA13","ENSG00000179869","ABCA13","protein_coding",73.84263079,1.251818338,0.202365806,6.185918264,6.17e-10,8.82e-09
"ABCA2","ENSG00000107331","ABCA2","protein_coding",893.0636694,0.307624661,0.133970993,2.296203487,0.021664249,0.056649337
"ABCG1","ENSG00000160179","ABCG1","protein_coding",203.6176529,-1.004229199,0.174970063,-5.739434409,9.5e-09,1.13e-07
"ABHD11","ENSG00000106077","ABHD11","protein_coding",229.5136118,0.378340153,0.144433995,2.619467487,0.008806717,0.026499835
"ABI2","ENSG00000138443","ABI2","protein_coding",1099.838839,0.641446903,0.088356522,7.259757277,3.88e-13,9.19e-12
"ABLIM1","ENSG00000099204","ABLIM1","protein_coding",1001.142145,-0.784188121,0.088743937,-8.836526167,9.87e-19,4.56e-17
"ACHE","ENSG00000087085","ACHE","protein_coding",10.97991696,1.530767421,0.354644633,4.31634171,1.59e-05,0.000101337
"ACP1","ENSG00000143727","ACP1","protein_coding",970.8481007,-0.265111495,0.09500526,-2.790492815,0.005262787,0.01698886
"ADAMTS14","ENSG00000138316","ADAMTS14","protein_coding",36.56110516,0.889527116,0.277667889,3.20356494,0.001357374,0.005228265
"ADARB1","ENSG00000197381","ADARB1","protein_coding",351.3322973,-0.401109105,0.11582362,-3.463102807,0.000533984,0.00233047
"ADCY9","ENSG00000162104","ADCY9","protein_coding",339.6200918,0.398817595,0.119149693,3.347197846,0.000816329,0.003376598
"ADH5","ENSG00000197894","ADH5","protein_coding",735.0364959,0.327711206,0.102429131,3.199394562,0.001377166,0.00529346
"ADIPOR2","ENSG00000006831","ADIPOR2","protein_coding",2505.634291,0.568345922,0.089355944,6.36047138,2.01e-10,3.15e-09
"ADRBK2","ENSG00000100077","ADRBK2","protein_coding",11.3290467,-1.165926919,0.348431271,-3.346217797,0.00081922,0.003386345
"AGFG2","ENSG00000106351","AGFG2","protein_coding",128.6416599,0.499617482,0.164075085,3.045053934,0.002326386,0.008382046
"AGPAT5","ENSG00000155189","AGPAT5","protein_coding",416.9549872,0.348550789,0.118422994,2.943269537,0.003247655,0.011206477
"AGTRAP","ENSG00000177674","AGTRAP","protein_coding",545.7871806,0.27390141,0.112312665,2.438740185,0.014738561,0.04103697
"AHCYL1","ENSG00000168710","AHCYL1","protein_coding",2720.851499,-0.524324816,0.073723313,-7.112062612,1.14e-12,2.55e-11
"AK5","ENSG00000154027","AK5","protein_coding",19.16628916,1.067992466,0.344345911,3.101510521,0.00192536,0.00710022
"AKAP11","ENSG00000023516","AKAP11","protein_coding",757.466072,-0.26817976,0.118263228,-2.267651282,0.023350469,0.060328093
"AKT3","ENSG00000117020","AKT3","protein_coding",1359.868053,-0.774025,0.094514438,-8.1894895,2.62e-16,9.01e-15
"ALDH1L2","ENSG00000136010","ALDH1L2","protein_coding",44.55935532,-0.582504944,0.242692139,-2.400180516,0.016386988,0.044720637
"ALDH5A1","ENSG00000112294","ALDH5A1","protein_coding",598.2554109,-0.207043974,0.097105802,-2.132148328,0.032994655,0.08038329
"ALG1","ENSG00000033011","ALG1","protein_coding",408.9747049,0.516833077,0.114997283,4.49430687,6.98e-06,4.8e-05
"AMOTL1","ENSG00000166025","AMOTL1","protein_coding",1531.630608,-0.196487564,0.089003518,-2.20763816,0.027269507,0.068567573
"ANAPC7","ENSG00000196510","ANAPC7","protein_coding",802.227449,0.249898124,0.082902681,3.014355141,0.002575262,0.009163589
"ANK2","ENSG00000145362","ANK2","protein_coding",42.79787318,-1.368409749,0.262366034,-5.215651321,1.83e-07,1.76e-06
"ANKH","ENSG00000154122","ANKH","protein_coding",589.9342315,-0.213134018,0.10523289,-2.025355547,0.042830869,0.099662984
"ANKRD13C","ENSG00000118454","ANKRD13C","protein_coding",477.7066089,-0.228190451,0.10272924,-2.22128044,0.026331973,0.066724786
"ANKRD44","ENSG00000065413","ANKRD44","protein_coding",31.93894769,0.821293627,0.266869876,3.077505931,0.002087407,0.007626038
"ANTXR2","ENSG00000163297","ANTXR2","protein_coding",2464.07622,0.609825796,0.12475337,4.8882511,1.02e-06,8.42e-06
"AP3S2","ENSG00000157823","AP3S2","protein_coding",174.5503203,-0.680020982,0.144670696,-4.700474953,2.6e-06,1.98e-05
"APC2","ENSG00000115266","APC2","protein_coding",9.077823235,0.871922684,0.356244167,2.447542345,0.014383422,0.040202983
"APOL6","ENSG00000221963","APOL6","protein_coding",1327.146452,-0.38720448,0.130023833,-2.977950047,0.002901833,0.010179678
