"","ensembl.id","symbol","biotype","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"7","ENSG00000169926","KLF13","protein_coding",598.005436258599,-4.18532070647564,0.142788941064267,-29.3112384984484,7.45815811715275e-189,2.08966935931024e-185
"14","ENSG00000067141","NEO1","protein_coding",283.878435205552,-4.20055742878791,0.165263948255697,-25.417264159082,1.62525154109631e-142,2.27686131968013e-139
"20","ENSG00000144730","IL17RD","protein_coding",1098.00695368397,3.19911438188038,0.130674307662587,24.4815866187008,2.3205782333268e-132,2.27567504451193e-129
"21","ENSG00000145569","FAM105A","protein_coding",1466.64565384074,2.68806297293492,0.112387361470461,23.9178403849389,1.99774870703711e-126,1.86580216148185e-123
"27","ENSG00000165449","SLC16A9","protein_coding",643.756264621474,3.30650062603275,0.143389184358997,23.0596236446567,1.17772920446482e-117,8.55511218043282e-115
"28","ENSG00000170500","LONRF2","protein_coding",145.796407421764,-5.75659677681848,0.249768900789511,-23.04769232127,1.55141039017961e-117,1.08670757080688e-114
"32","ENSG00000137747","TMPRSS13","protein_coding",183.690276366465,-5.49006547004374,0.243537067668625,-22.5430384072537,1.57155293525436e-112,9.63214616223243e-110
"34","ENSG00000100614","PPM1A","protein_coding",1722.94217756853,-2.00153681080634,0.0898086123238003,-22.2866912094121,4.97424392445169e-110,2.86940723794915e-107
"35","ENSG00000131966","ACTR10","protein_coding",1820.13292089134,-2.00982041127131,0.0906305660447958,-22.1759666631445,5.86031127166677e-109,3.28395099917715e-106
"38","ENSG00000116852","KIF21B","protein_coding",193.189151750211,-3.97602672658757,0.182821949778794,-21.7480818435553,7.20289273510639e-105,3.71764040035899e-102
"74","ENSG00000005889","ZFX","protein_coding",637.170873438146,-1.92790515689488,0.103438737293144,-18.6381350676316,1.57641517333813e-77,4.17813929657847e-75
"77","ENSG00000182836","PLCXD3","protein_coding",197.352798509199,3.93406179326905,0.212720477137356,18.4940436680611,2.30596385127589e-76,5.87361935260701e-74
"84","ENSG00000162981","FAM84A","protein_coding",561.725441521633,2.44136990609459,0.135053106980882,18.0771102618186,4.82726056452537e-73,1.127107874429e-70
"86","ENSG00000100867","DHRS2","protein_coding",238.766467162004,-2.78047469744432,0.155946655782934,-17.8296526045068,4.15997884211515e-71,9.48717035237262e-69
"101","ENSG00000158470","B4GALT5","protein_coding",5452.29077988616,-1.57016197163059,0.0915955065029736,-17.1423471693955,7.16970993185506e-66,1.3922724840938e-63
"106","ENSG00000075568","TMEM131","protein_coding",3106.30614748199,-1.59339751763716,0.0941789438709384,-16.918829752654,3.26860673868001e-64,6.0478475439369e-62
"111","ENSG00000092068","SLC7A8","protein_coding",195.611604200155,-3.22398802130147,0.192432260999621,-16.7538852609949,5.30458860652311e-63,9.37287354412052e-61
"115","ENSG00000179542","SLITRK4","protein_coding",151.022985446131,3.39773573236366,0.205001510832089,16.5741984952816,1.07081123934976e-61,1.82624529020581e-59
"118","ENSG00000007402","CACNA2D2","protein_coding",166.625862561381,-2.92373399749441,0.179573979496491,-16.2815013939787,1.33551678612965e-59,2.21978734969159e-57
"121","ENSG00000113389","NPR3","protein_coding",102.171085817797,4.03660919457572,0.249240708759157,16.1956255648283,5.41442915239692e-59,8.77629743520336e-57
"129","ENSG00000166402","TUB","protein_coding",111.066627919412,-3.91423544278603,0.244439435258837,-16.0131094994604,1.03505105120993e-57,1.57367878041709e-55
"131","ENSG00000198879","SFMBT2","protein_coding",66.058456339615,4.70149859634995,0.294126011966771,15.984640613429,1.63507175814233e-57,2.44798949560653e-55
"144","ENSG00000138311","ZNF365","protein_coding",650.08151727785,1.77783405196417,0.114350989133739,15.5471681131232,1.66298107588158e-54,2.2650033223101e-52
"145","ENSG00000151136","BTBD11","protein_coding",147.872434394146,-3.1074715955156,0.200733941694186,-15.4805488762323,4.69450395226157e-54,6.34988317349698e-52
"149","ENSG00000105383","CD33","protein_coding",88.237328552718,-3.74562932611084,0.245217135233213,-15.274745472206,1.12667070392975e-52,1.48304647759559e-50
