"","ensembl.id","symbol","biotype","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"7","ENSG00000169926","KLF13","protein_coding",598.005436258599,-4.18532070647564,0.142788941064267,-29.3112384984484,7.45815811715275e-189,2.08966935931024e-185
"24","ENSG00000112902","SEMA5A","protein_coding",376.866059566234,-3.9779450665279,0.170772689753531,-23.2938010888573,5.12337492240771e-120,4.1868646813826e-117
"38","ENSG00000116852","KIF21B","protein_coding",193.189151750211,-3.97602672658757,0.182821949778794,-21.7480818435553,7.20289273510639e-105,3.71764040035899e-102
"69","ENSG00000118402","ELOVL4","protein_coding",222.879462558452,-3.1183837252554,0.16652867947374,-18.7258058798642,3.05020457389722e-78,8.67009598664437e-76
"84","ENSG00000162981","FAM84A","protein_coding",561.725441521633,2.44136990609459,0.135053106980882,18.0771102618186,4.82726056452537e-73,1.127107874429e-70
"118","ENSG00000007402","CACNA2D2","protein_coding",166.625862561381,-2.92373399749441,0.179573979496491,-16.2815013939787,1.33551678612965e-59,2.21978734969159e-57
"146","ENSG00000160179","ABCG1","protein_coding",203.61765291328,-2.96608147935961,0.192040635862942,-15.4450721641876,8.1436432424662e-54,1.09398133503075e-51
"161","ENSG00000160111","CPAMD8","protein_coding",261.690172878356,-2.34331829495141,0.155985941511849,-15.022624938116,5.21989850751514e-51,6.35887387750897e-49
"188","ENSG00000156687","UNC5D","protein_coding",34.3352223377218,-4.52683401946329,0.317255235236873,-14.2687448989878,3.42690729827484e-46,3.57510281069492e-44
"215","ENSG00000165795","NDRG2","protein_coding",86.8947547011247,-3.33998085709372,0.242066982916113,-13.7977547241591,2.62914474552316e-43,2.3983914369277e-41
"237","ENSG00000146477","SLC22A3","protein_coding",43.3065137404239,-3.8845696013236,0.291683018057891,-13.317777727302,1.82458023862411e-40,1.5099363805964e-38
"252","ENSG00000155850","SLC26A2","protein_coding",1099.53579862189,-1.36659754974221,0.104771143248696,-13.043644531952,6.90745500639398e-39,5.37602837461925e-37
