"","GO.ID","Term","KS"
"1","GO:0010557","positive regulation of macromolecule bio...","3.8e-07"
"2","GO:0010628","positive regulation of gene expression","4.0e-07"
"3","GO:0045893","positive regulation of transcription, DN...","5.3e-07"
"4","GO:1902680","positive regulation of RNA biosynthetic ...","5.3e-07"
"5","GO:1903508","positive regulation of nucleic acid-temp...","5.3e-07"
"6","GO:0051254","positive regulation of RNA metabolic pro...","7.5e-07"
"7","GO:0009891","positive regulation of biosynthetic proc...","2.2e-06"
"8","GO:0031328","positive regulation of cellular biosynth...","4.9e-06"
"9","GO:0045935","positive regulation of nucleobase-contai...","8.0e-06"
"10","GO:0009893","positive regulation of metabolic process","9.2e-06"
"11","GO:0051173","positive regulation of nitrogen compound...","1.0e-05"
"12","GO:0010604","positive regulation of macromolecule met...","2.5e-05"
"13","GO:0065009","regulation of molecular function","2.8e-05"
"14","GO:0006357","regulation of transcription from RNA pol...","3.7e-05"
"15","GO:0045944","positive regulation of transcription fro...","5.8e-05"
"16","GO:0065007","biological regulation","7.0e-05"
"17","GO:0048518","positive regulation of biological proces...","7.1e-05"
"18","GO:0031324","negative regulation of cellular metaboli...","0.00014"
"19","GO:0050896","response to stimulus","0.00015"
"20","GO:0006366","transcription from RNA polymerase II pro...","0.00016"
"21","GO:0031325","positive regulation of cellular metaboli...","0.00016"
"22","GO:0007154","cell communication","0.00022"
"23","GO:0010556","regulation of macromolecule biosynthetic...","0.00022"
"24","GO:2000112","regulation of cellular macromolecule bio...","0.00022"
"25","GO:0031327","negative regulation of cellular biosynth...","0.00022"
