"","GO.ID","Term","KS"
"1","GO:0046914","transition metal ion binding","0.0017"
"2","GO:0008270","zinc ion binding","0.0021"
"3","GO:0008134","transcription factor binding","0.0064"
"4","GO:0008234","cysteine-type peptidase activity","0.0117"
"5","GO:0019783","ubiquitin-like protein-specific protease...","0.0117"
"6","GO:0016874","ligase activity","0.0146"
"7","GO:0001071","nucleic acid binding transcription facto...","0.0156"
"8","GO:0003700","transcription factor activity, sequence-...","0.0156"
"9","GO:0000981","RNA polymerase II transcription factor a...","0.0180"
"10","GO:0004842","ubiquitin-protein transferase activity","0.0252"
"11","GO:0019787","ubiquitin-like protein transferase activ...","0.0252"
"12","GO:0004843","ubiquitin-specific protease activity","0.0365"
"13","GO:0036459","ubiquitinyl hydrolase activity","0.0365"
"14","GO:0008233","peptidase activity","0.0554"
"15","GO:0070011","peptidase activity, acting on L-amino ac...","0.0554"
"16","GO:0004721","phosphoprotein phosphatase activity","0.0665"
"17","GO:0016791","phosphatase activity","0.0665"
"18","GO:0032182","ubiquitin-like protein binding","0.0674"
"19","GO:0005102","receptor binding","0.0771"
"20","GO:0046982","protein heterodimerization activity","0.0934"
"21","GO:0008289","lipid binding","0.1013"
"22","GO:0019900","kinase binding","0.1106"
"23","GO:0019901","protein kinase binding","0.1106"
"24","GO:0004860","protein kinase inhibitor activity","0.1175"
"25","GO:0019207","kinase regulator activity","0.1175"
