"","GO.ID","Term","KS"
"1","GO:0003824","catalytic activity","0.0027"
"2","GO:0016787","hydrolase activity","0.0098"
"3","GO:0004672","protein kinase activity","0.0157"
"4","GO:0000166","nucleotide binding","0.0262"
"5","GO:1901265","nucleoside phosphate binding","0.0262"
"6","GO:0016773","phosphotransferase activity, alcohol gro...","0.0334"
"7","GO:0030554","adenyl nucleotide binding","0.0378"
"8","GO:0032559","adenyl ribonucleotide binding","0.0378"
"9","GO:0042803","protein homodimerization activity","0.0463"
"10","GO:0005524","ATP binding","0.0463"
"11","GO:0016772","transferase activity, transferring phosp...","0.0508"
"12","GO:0036094","small molecule binding","0.0551"
"13","GO:0016301","kinase activity","0.0588"
"14","GO:0001882","nucleoside binding","0.0630"
"15","GO:0001883","purine nucleoside binding","0.0630"
"16","GO:0016740","transferase activity","0.0630"
"17","GO:0032549","ribonucleoside binding","0.0630"
"18","GO:0032550","purine ribonucleoside binding","0.0630"
"19","GO:0035639","purine ribonucleoside triphosphate bindi...","0.0630"
"20","GO:0016788","hydrolase activity, acting on ester bond...","0.0689"
"21","GO:0004674","protein serine/threonine kinase activity","0.0695"
"22","GO:0017076","purine nucleotide binding","0.0697"
"23","GO:0032553","ribonucleotide binding","0.0697"
"24","GO:0032555","purine ribonucleotide binding","0.0697"
"25","GO:0016829","lyase activity","0.0710"
