,ensembl.id,symbol,biotype,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
FAM105A,ENSG00000145569,FAM105A,protein_coding,1466.645654,3.497452171,0.111644779,31.32660755,2.03E-215,3.37E-211
HAS3,ENSG00000103044,HAS3,protein_coding,3332.395247,3.321576994,0.215337352,15.42499229,1.11E-53,5.44E-51
TMCC3,ENSG00000057704,TMCC3,protein_coding,235.6033453,1.449437509,0.139496266,10.39051117,2.74E-25,2.09E-23
SLITRK4,ENSG00000179542,SLITRK4,protein_coding,151.0229854,1.35961995,0.220995502,6.152251687,7.64E-10,1.08E-08
RP2,ENSG00000102218,RP2,protein_coding,283.2476627,1.33271067,0.136838331,9.739308137,2.05E-22,1.25E-20
NPTX1,ENSG00000171246,NPTX1,protein_coding,6.848254893,1.145332279,0.365934092,3.129886788,0.001748737,0.00654615
UMODL1,ENSG00000177398,UMODL1,protein_coding,5.451076791,1.112772028,0.366085283,3.039652448,0.002368513,0.00851354
ZNF606,ENSG00000166704,ZNF606,protein_coding,191.264806,0.986221956,0.153393202,6.429371968,1.28E-10,2.05E-09
FNIP2,ENSG00000052795,FNIP2,protein_coding,123.1415321,0.934957833,0.173566365,5.386745468,7.17E-08,7.38E-07
CGNL1,ENSG00000128849,CGNL1,protein_coding,80.20353664,0.911802208,0.19550363,4.663863319,3.10E-06,2.32E-05
NPTN,ENSG00000156642,NPTN,protein_coding,2728.952743,0.89423212,0.082354438,10.85833548,1.82E-27,1.62E-25
MUC5B,ENSG00000117983,MUC5B,protein_coding,3247.296952,0.892829391,0.267525328,3.337363971,0.000845771,0.003481922
CASK,ENSG00000147044,CASK,protein_coding,942.0266742,0.855941144,0.102947313,8.314361202,9.22E-17,3.39E-15
TBL1X,ENSG00000101849,TBL1X,protein_coding,1374.818594,0.829337051,0.093088164,8.909156847,5.14E-19,2.44E-17
ASRGL1,ENSG00000162174,ASRGL1,protein_coding,196.9801297,0.825255422,0.144655747,5.704961175,1.16E-08,1.37E-07
SPATS2L,ENSG00000196141,SPATS2L,protein_coding,1439.964733,0.789232561,0.092701372,8.513709575,1.68E-17,6.82E-16
VANGL1,ENSG00000173218,VANGL1,protein_coding,2005.343792,0.744688108,0.097150559,7.665299289,1.78E-14,4.91E-13
DIXDC1,ENSG00000150764,DIXDC1,protein_coding,246.3776453,0.701245891,0.150081065,4.672447455,2.98E-06,2.24E-05
ALDH7A1,ENSG00000164904,ALDH7A1,protein_coding,1154.93628,0.683899863,0.094156824,7.263412612,3.77E-13,8.97E-12
TBC1D25,ENSG00000068354,TBC1D25,protein_coding,285.3408734,0.669444894,0.130274839,5.138712112,2.77E-07,2.56E-06
DIAPH1,ENSG00000131504,DIAPH1,protein_coding,3873.026194,0.658536249,0.084806367,7.765174632,8.15E-15,2.37E-13
MSRA,ENSG00000175806,MSRA,protein_coding,60.5152308,0.636156446,0.216932724,2.932505686,0.003362388,0.011556383
ZNF430,ENSG00000118620,ZNF430,protein_coding,106.7012759,0.63547405,0.184548993,3.44338942,0.000574471,0.002490175
