,ensembl.id,symbol,biotype,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
43,ENSG00000181104,F2R,protein_coding,841.9873842,1.903496479,0.126703134,15.02327863,5.17E-51,2.00E-48
115,ENSG00000183508,FAM46C,protein_coding,162.3417105,1.998119076,0.161763882,12.35207178,4.75E-35,6.86E-33
180,ENSG00000168807,SNTB2,protein_coding,640.0451084,1.143892674,0.104553411,10.94074943,7.36E-28,6.80E-26
194,ENSG00000172379,ARNT2,protein_coding,89.97122951,-2.003725167,0.186764463,-10.72862113,7.47E-27,6.40E-25
329,ENSG00000182378,PLCXD1,protein_coding,200.7012516,1.354225734,0.148721048,9.105810889,8.56E-20,4.33E-18
419,ENSG00000169908,TM4SF1,protein_coding,10235.73285,0.783061797,0.092418959,8.472956303,2.39E-17,9.49E-16
528,ENSG00000154144,TBRG1,protein_coding,718.0622738,-0.739071056,0.093353813,-7.916881259,2.44E-15,7.67E-14
689,ENSG00000080819,CPOX,protein_coding,623.3567274,0.725421578,0.099379793,7.299487734,2.89E-13,6.97E-12
698,ENSG00000128708,HAT1,protein_coding,802.9980042,0.872956278,0.120149527,7.265582287,3.71E-13,8.85E-12
718,ENSG00000134086,VHL,protein_coding,779.9736948,-0.619201173,0.085847438,-7.21280896,5.48E-13,1.27E-11
749,ENSG00000097033,SH3GLB1,protein_coding,1085.297101,-0.618481474,0.087038583,-7.105831118,1.20E-12,2.66E-11
760,ENSG00000164307,ERAP1,protein_coding,1428.54178,-0.796210851,0.112452837,-7.080398071,1.44E-12,3.15E-11
810,ENSG00000113719,ERGIC1,protein_coding,5264.137944,0.601266291,0.086590751,6.943770381,3.82E-12,7.84E-11
906,ENSG00000170142,UBE2E1,protein_coding,1655.15705,-0.577672689,0.085811289,-6.731896204,1.67E-11,3.07E-10
909,ENSG00000169403,PTAFR,protein_coding,415.5166577,-0.791022262,0.117633889,-6.724441978,1.76E-11,3.22E-10
941,ENSG00000119899,SLC17A5,protein_coding,341.7539499,0.838664193,0.126048865,6.653484665,2.86E-11,5.06E-10
1069,ENSG00000086061,DNAJA1,protein_coding,1722.759275,0.614677439,0.096753496,6.353025648,2.11E-10,3.28E-09
1131,ENSG00000171346,KRT15,protein_coding,956.5035383,0.758222759,0.121398658,6.245726031,4.22E-10,6.20E-09
1155,ENSG00000142166,IFNAR1,protein_coding,1230.411066,0.545072095,0.087884203,6.202162332,5.57E-10,8.01E-09
1192,ENSG00000136237,RAPGEF5,protein_coding,295.7479757,0.806298915,0.131488216,6.132100219,8.67E-10,1.21E-08
1235,ENSG00000075711,DLG1,protein_coding,1840.826458,-0.483639179,0.080269499,-6.02519243,1.69E-09,2.27E-08
1310,ENSG00000187123,LYPD6,protein_coding,148.4328547,1.025795201,0.174411265,5.881473321,4.07E-09,5.16E-08
1325,ENSG00000126803,HSPA2,protein_coding,78.08617877,1.373391712,0.234591436,5.854398335,4.79E-09,6.01E-08
1404,ENSG00000107625,DDX50,protein_coding,577.2916274,-0.609969303,0.106701559,-5.716592214,1.09E-08,1.29E-07
1416,ENSG00000125731,SH2D3A,protein_coding,1029.373823,-0.642463372,0.112761363,-5.697548839,1.22E-08,1.43E-07
1518,ENSG00000212719,C17orf51,protein_coding,150.0988452,-0.794593681,0.143890103,-5.522226095,3.35E-08,3.67E-07
1700,ENSG00000132952,USPL1,protein_coding,344.2165296,-0.558513393,0.105885274,-5.274703167,1.33E-07,1.30E-06
1701,ENSG00000008513,ST3GAL1,protein_coding,5020.906281,0.472654579,0.089620302,5.273967709,1.34E-07,1.31E-06
1746,ENSG00000011275,RNF216,protein_coding,830.2550103,-0.42980241,0.082655651,-5.199915602,1.99E-07,1.90E-06
1793,ENSG00000080824,HSP90AA1,protein_coding,24455.97423,0.610223364,0.118704769,5.140681089,2.74E-07,2.54E-06
1838,ENSG00000166938,DIS3L,protein_coding,518.2885994,-0.567188054,0.111728393,-5.076489864,3.84E-07,3.48E-06
1841,ENSG00000005700,IBTK,protein_coding,1028.119146,-0.543868556,0.107268398,-5.070165743,3.97E-07,3.59E-06
1881,ENSG00000180628,PCGF5,protein_coding,501.8243334,-0.503682935,0.100385741,-5.017474916,5.24E-07,4.63E-06
1898,ENSG00000143333,RGS16,protein_coding,11.34055186,-1.721455872,0.344329927,-4.999437277,5.75E-07,5.04E-06
