DB,ID,Symbol,Qualifier,GO ID,GO Name,Aspect,Evidence,Reference,With,Taxon,Date,Source,Splice
UniProtKB,A0A023I7F4,CYTB,-,GO:0016021,integral component of membrane,Component,IEA,GO_REF:0000038,UniProtKB-KW:KW-0812,9606,20160402,UniProt,-
UniProtKB,A0A023I7H2,ND5,-,GO:0016021,integral component of membrane,Component,IEA,GO_REF:0000038,UniProtKB-KW:KW-0812,9606,20160402,UniProt,-
UniProtKB,A0A023I7H5,ATP6,-,GO:0016021,integral component of membrane,Component,IEA,GO_REF:0000038,UniProtKB-KW:KW-0812,9606,20160402,UniProt,-
UniProtKB,A0A023I7J4,ND2,-,GO:0016021,integral component of membrane,Component,IEA,GO_REF:0000038,UniProtKB-KW:KW-0812,9606,20160402,UniProt,-
UniProtKB,A0A023I7N5,ND1,-,GO:0016021,integral component of membrane,Component,IEA,GO_REF:0000038,UniProtKB-KW:KW-0812,9606,20160402,UniProt,-
UniProtKB,A0A023I7W4,ND6,-,GO:0016021,integral component of membrane,Component,IEA,GO_REF:0000038,UniProtKB-KW:KW-0812,9606,20160402,UniProt,-
UniProtKB,A0A023I8C2,COX1,-,GO:0016021,integral component of membrane,Component,IEA,GO_REF:0000002,InterPro:IPR000883,9606,20160402,InterPro,-
UniProtKB,A0A023I8U4,ND4L,-,GO:0016021,integral component of membrane,Component,IEA,GO_REF:0000038,UniProtKB-KW:KW-0812,9606,20160402,UniProt,-
UniProtKB,A0A023I905,ND4,-,GO:0016021,integral component of membrane,Component,IEA,GO_REF:0000038,UniProtKB-KW:KW-0812,9606,20160402,UniProt,-
UniProtKB,A0A023JDV9,SLC6A8,-,GO:0016021,integral component of membrane,Component,IEA,GO_REF:0000002,InterPro:IPR000175,9606,20160402,InterPro,-
UniProtKB,A0A023JDW0,-,-,GO:0016021,integral component of membrane,Component,IEA,GO_REF:0000002,InterPro:IPR029583,9606,20160402,InterPro,-
