"","All.proteins.identfied.from.the.prostasome.fraction","X","X.1","X.2","X.3","X.4","V1"
"2","P31946","14-3-3 protein beta/alpha OS=Homo sapiens GN=YWHAB PE=1 SV=3","0.747366071","0.141272785","112","0.5436","YWHAB"
"3","P62258","14-3-3 protein epsilon OS=Homo sapiens GN=YWHAE PE=1 SV=1","0.711288889","0.103046023","45","0.36304","YWHAE"
"4","P61981","14-3-3 protein gamma OS=Homo sapiens GN=YWHAG PE=1 SV=2","0.9643","0.190154937","10","0.98513","YWHAG"
"5","P31947","14-3-3 protein sigma OS=Homo sapiens GN=SFN PE=1 SV=1","0.569666667","0.037872593","3","0.17956","SFN"
"6","P27348","14-3-3 protein theta OS=Homo sapiens GN=YWHAQ PE=1 SV=1","0.639666667","0.061151179","6","0.26426","YWHAQ"
"7","P63104","14-3-3 protein zeta/delta OS=Homo sapiens GN=YWHAZ PE=1 SV=1","0.646108108","0.159681495","74","0.02979","YWHAZ"
"8","P62191","26S protease regulatory subunit 4 OS=Homo sapiens GN=PSMC1 PE=1 SV=1","0.1165","0.028991378","2","0.00287","PSMC1"
"9","Q13200","26S proteasome non-ATPase regulatory subunit 2 OS=Homo sapiens GN=PSMD2 PE=1 SV=3","0.5825","0.245366053","2","0.24943","PSMD2"
"10","P62263","40S ribosomal protein S14 OS=Homo sapiens GN=RPS14 PE=1 SV=3","0.587666667","0.05021288","3","0.21304","RPS14"
"11","P62249","40S ribosomal protein S16 OS=Homo sapiens GN=RPS16 PE=1 SV=2","0.695428571","0.302283453","7","0.4449","RPS16"
"12","P15880","40S ribosomal protein S2 OS=Homo sapiens GN=RPS2 PE=1 SV=2","0.817","0.098994949","2","0.77039","RPS2"
"13","P23396","40S ribosomal protein S3 OS=Homo sapiens GN=RPS3 PE=1 SV=2","14.7045","19.64837613","2","0.0013","RPS3"
"14","P08195","4F2 cell-surface antigen heavy chain OS=Homo sapiens GN=SLC3A2 PE=1 SV=3","0.442428571","0.116382469","14","0.01487","SLC3A2"
"15","P10809","60 kDa heat shock protein, mitochondrial OS=Homo sapiens GN=HSPD1 PE=1 SV=2","1.352152174","3.708536279","46","0.5615","HSPD1"
"16","Q8NHW5","60S acidic ribosomal protein P0-like OS=Homo sapiens PE=1 SV=1","0.731571429","0.091155284","7","0.57831","RPLP0P6"
"17","P62906","60S ribosomal protein L10a OS=Homo sapiens GN=RPL10A PE=1 SV=2","0.705583333","0.342545673","12","0.44914","RPL10A"
"18","Q07020","60S ribosomal protein L18 OS=Homo sapiens GN=RPL18 PE=1 SV=2","0.7695","0.089802561","2","0.67739","RPL18"
"19","P49207","60S ribosomal protein L34 OS=Homo sapiens GN=RPL34 PE=1 SV=3","0.742","0.065053824","2","0.62037","RPL34"
"20","P36578","60S ribosomal protein L4 OS=Homo sapiens GN=RPL4 PE=1 SV=5","0.4125","0.147785317","2","0.05276","RPL4"
"21","P52209","6-phosphogluconate dehydrogenase, decarboxylating OS=Homo sapiens GN=PGD PE=1 SV=3","0.824","0.132881257","15","0.86849","PGD"
"22","P11021","78 kDa glucose-regulated protein OS=Homo sapiens GN=HSPA5 PE=1 SV=2","0.73188","0.234790186","75","0.46147","HSPA5"
"23","Q92688","Acidic leucine-rich nuclear phosphoprotein 32 family member B OS=Homo sapiens GN=ANP32B PE=1 SV=1","0.8038","0.094748087","5","0.77427","ANP32B"
"24","P62736","Actin, aortic smooth muscle OS=Homo sapiens GN=ACTA2 PE=1 SV=1","0.630724771","0.13393281","109","0.02445","ACTA2"
